N	4gram	Tiupa_Lite	KulturaY
1	до тех пор пока	2	7
2	в то же время	12	6
3	с этой точки зрения	3	5
4	не говоря уже о	2	5
5	состоит в том что	6	4
6	одного и того же	1	4
7	тех пор пока он	1	3
8	в том что он	1	3
9	но с другой стороны	3	3
10	лишь в той мере	1	2
11	когда речь идет о	1	2
12	поскольку речь идет о	2	2
13	и в то же	1	2
14	не только в том	2	2
15	одним и тем же	1	2
16	однако в том что	1	2
17	в конечном счете к	1	2
18	в виду не только	1	1
19	не говоря уже об	1	1
20	а то и вовсе	1	1
21	все более и более	1	1
22	одно и то же	1	1
23	дело в том что	2	1
24	и не может быть	1	1
25	если бы я был	1	1
26	с тем же успехом	1	1
27	не может и не	1	1
28	в войне и мире	1	1
29	только в том что	2	1
30	не выходит за рамки	1	1
31	есть не более чем	1	1
32	бы то ни было	1	1
33	в начале xix века	1	1
34	во всяком случае в	1	1
35	нечем кричать и разговаривать	1	1
36	приводит к тому что	1	1
37	тем что в ней	1	1
38	какой бы то ни	1	1
