N	3gram	Tiupa_Anal	Mirosoze
1	не может быть	2	28
2	в том что	12	9
3	но он не	1	9
4	для того чтобы	1	7
5	и в этой	1	6
6	о том что	7	6
7	до сих пор	1	5
8	что и в	1	5
9	но и в	2	5
10	после того как	1	5
11	что он не	2	4
12	по отношению к	9	4
13	в конце концов	1	4
14	не мог бы	1	4
15	в то время	1	4
16	не что иное	1	4
17	можно было бы	1	4
18	что иное как	1	4
19	и он же	2	3
20	в мире но	1	3
21	как бы не	1	3
22	том что он	2	3
23	есть не что	1	3
24	и той же	2	3
25	одной и той	2	3
26	в значительной степени	3	3
27	же как и	1	3
28	во всяком случае	6	3
29	как и в	6	3
30	в самом центре	1	2
31	он не видит	1	2
32	смысле этого слова	1	2
33	что она не	1	2
34	не только в	5	2
35	хотя бы и	1	2
36	ни у кого	1	2
37	по природе своей	3	2
38	именно потому что	1	2
39	между тем как	1	2
40	и во всем	1	2
41	никогда не бывает	1	2
42	и те же	1	2
43	так и не	5	2
44	ивана карамазова в	1	2
45	с самим собою	1	2
46	ли может быть	1	2
47	одно из самых	1	2
48	подобно тому как	3	2
49	не могут быть	1	2
50	по своей природе	1	2
51	как бы в	1	2
52	в этом отношении	3	2
53	и он сам	1	1
54	лишь в том	1	1
55	в самом начале	1	1
56	сойти с ума	1	1
57	этого слова как	1	1
58	и отличается от	1	1
59	не менее чем	1	1
60	жизни не в	1	1
61	одни и те	1	1
62	вряд ли может	1	1
63	в самом деле	1	1
64	природе своей не	1	1
65	в русской поэзии	2	1
66	они не могут	1	1
67	в этом втором	1	1
68	между свободой и	1	1
69	но они не	1	1
70	и каким образом	1	1
71	остается в тени	1	1
72	во втором случае	1	1
73	что у него	1	1
74	не знает личности	1	1
75	во многих отношениях	2	1
76	сам по себе	2	1
77	но и его	1	1
78	не в том	1	1
79	в себе самом	1	1
80	и не должно	1	1
81	а между тем	1	1
82	между мужским и	1	1
83	слова это и	1	1
84	своего отца и	1	1
85	свободного выбора в	1	1
86	речь идет о	2	1
87	в зависимости от	1	1
88	от свободы и	1	1
89	в этом мире	1	1
90	занимает центральное место	1	1
91	и тем самым	2	1
92	для всех но	1	1
93	по ту сторону	1	1
94	в отличие от	5	1
95	тех случаях когда	1	1
96	центральное место в	1	1
97	как бы и	1	1
98	верно по отношению	1	1
99	не только имеет	1	1
100	мужским и женским	1	1
101	с другой стороны	7	1
102	на земле ты	1	1
103	и в том	1	1
104	в тех случаях	1	1
105	это ведет к	1	1
106	в чистом виде	2	1
107	он так и	1	1
108	не мыслится как	1	1
109	той или иной	6	1
110	и как бы	2	1
111	ставит его в	1	1
112	что в конце	1	1
113	с точки зрения	2	1
114	а не как	1	1
115	лицом к лицу	1	1
116	которые могли бы	1	1
117	строя жизни это	1	1
118	хотя и в	1	1
119	в то же	7	1
120	до тех пор	1	1
121	не для того	1	1
122	то же время	7	1
123	знает личности как	1	1
124	на самом деле	1	1
125	и если он	1	1
126	искусство никогда не	1	1
127	к порядку и	1	1
128	жизни и смерти	1	1
129	я уже не	1	1
130	от всех и	1	1
131	и русской литературе	1	1
132	в каждом человеческом	1	1
133	и есть не	1	1
134	не есть ни	1	1
135	и все же	1	1
136	между тем в	2	1
137	с одной стороны	3	1
138	не мог быть	1	1
139	сама по себе	3	1
