N	2gram	Losev_Vesc	Sotsiolo
1	все это	7	7
2	в том	15	5
3	в этом	17	5
4	не только	48	3
5	как же	6	3
6	не в	14	3
7	и в	44	3
8	и только	11	3
9	но ведь	2	3
10	в его	5	3
11	для нас	2	3
12	литературы и	1	2
13	что в	11	2
14	ведь это	1	2
15	то что	47	2
16	таким образом	16	2
17	том что	13	2
18	дело не	4	2
19	как бы	19	2
20	в результате	9	2
21	было бы	24	2
22	как будто	2	2
23	в смысле	22	2
24	очевидно что	2	2
25	в частности	3	2
26	и мы	5	2
27	по природе	2	2
28	нужно было	3	2
29	но и	19	2
30	конце концов	2	2
31	может быть	37	2
32	по существу	3	2
33	она может	4	2
34	главным образом	3	2
35	и что	22	2
36	это и	12	2
37	им не	1	2
38	и заключается	1	2
39	в конце	3	2
40	как только	6	2
41	исторического развития	1	2
42	должна быть	8	2
43	далеко не	2	2
44	тем более	3	2
45	только в	23	2
46	к которому	1	2
47	только как	2	2
48	то же	12	2
49	метод и	2	2
50	еще не	12	2
51	как то	1	1
52	а в	6	1
53	что он	7	1
54	даже в	1	1
55	бы о	1	1
56	на что	1	1
57	быть не	5	1
58	в целом	3	1
59	в силу	4	1
60	на этот	1	1
61	что метод	1	1
62	это значит	30	1
63	что эти	2	1
64	более не	1	1
65	все эти	5	1
66	не один	1	1
67	не было	4	1
68	представить себе	1	1
69	сказать и	1	1
70	когда мы	6	1
71	а вот	3	1
72	связи с	1	1
73	точке зрения	4	1
74	кто не	3	1
75	только то	4	1
76	нет а	1	1
77	не мешает	4	1
78	в своей	6	1
79	раньше всего	1	1
80	во всяком	4	1
81	и потому	8	1
82	переходим к	1	1
83	все же	18	1
84	его слишком	1	1
85	научного исследования	1	1
86	что это	18	1
87	или не	7	1
88	еще и	11	1
89	поставить и	1	1
90	по крайней	10	1
91	иначе и	1	1
92	с другой	8	1
93	ни на	7	1
94	мы понимаем	1	1
95	мы должны	5	1
96	а тем	3	1
97	и стало	1	1
98	с ним	8	1
99	естествознания и	1	1
100	как совокупность	1	1
101	именно и	1	1
102	и более	4	1
103	но как	3	1
104	в этой	4	1
105	из себя	6	1
106	и его	4	1
107	только когда	1	1
108	ли не	1	1
109	никак не	7	1
110	в данном	6	1
111	на все	2	1
112	этих вопросов	1	1
113	и по	1	1
114	первый план	1	1
115	же самое	1	1
116	его собственная	1	1
117	один из	5	1
118	так и	4	1
119	только тогда	4	1
120	в то	11	1
121	может не	4	1
122	реализма и	1	1
123	в котором	4	1
124	именно на	1	1
125	не выходит	1	1
126	между собой	2	1
127	него и	1	1
128	мы переходим	1	1
129	должно было	1	1
130	же это	5	1
131	отнюдь не	8	1
132	и не	57	1
133	со своими	1	1
134	тогда и	1	1
135	объекта и	1	1
136	но она	3	1
137	всяком случае	2	1
138	же по	2	1
139	он ни	1	1
140	стоит только	1	1
141	оставаясь на	1	1
142	по самому	3	1
143	том как	4	1
144	или нет	1	1
145	и о	4	1
146	это вовсе	2	1
147	и история	1	1
148	но не	9	1
149	они не	1	1
150	невозможно ни	1	1
151	сущности есть	2	1
152	на точке	1	1
153	в те	1	1
154	в него	1	1
155	и им	1	1
156	она должна	4	1
157	для этого	5	1
158	прежде всего	17	1
159	построение не	1	1
160	тем что	7	1
161	что она	23	1
162	тем же	2	1
163	но сам	1	1
164	связь между	1	1
165	существу своему	1	1
166	в чем	10	1
167	не из	2	1
168	а с	3	1
169	мы еще	2	1
170	происходит не	1	1
171	ними в	2	1
172	новые и	1	1
173	же не	4	1
174	но только	4	1
175	и будет	1	1
176	не дает	1	1
177	тех кто	2	1
178	будет а	1	1
179	в сущности	7	1
180	он говорит	2	1
181	его в	8	1
182	же теперь	2	1
183	в наше	1	1
184	зависит от	1	1
185	крайней мере	10	1
186	между собою	12	1
187	я и	8	1
188	вовсе не	11	1
189	даже не	8	1
190	этот основной	1	1
191	с одной	3	1
192	больше того	6	1
193	и наконец	1	1
194	конечно не	2	1
195	о том	11	1
196	как науки	1	1
197	мы не	8	1
198	и понимает	2	1
199	метафизический дуализм	1	1
200	тому что	2	1
201	в заключение	1	1
202	но именно	3	1
203	эти вопросы	1	1
204	в этих	1	1
205	ровно ничего	1	1
206	сама по	7	1
207	у него	3	1
208	по себе	22	1
209	на отдельные	1	1
210	без необходимости	1	1
211	на первый	1	1
212	без этого	3	1
213	перед нами	3	1
214	бы он	1	1
215	это дает	1	1
216	всего не	1	1
217	себя по	1	1
218	все то	2	1
219	хотя бы	9	1
220	же время	4	1
221	наконец в	1	1
222	что на	2	1
223	даже больше	6	1
224	это не	9	1
225	специфическую природу	1	1
226	одной стороны	3	1
227	в связи	1	1
228	бы в	9	1
229	стало быть	3	1
230	в виде	3	1
231	именно в	2	1
232	вопросом о	1	1
233	никогда не	5	1
234	и есть	40	1
235	не может	44	1
236	между ними	6	1
237	и как	12	1
238	и какие	1	1
239	что все	2	1
240	случае только	1	1
241	как и	15	1
242	ничего не	12	1
243	в них	1	1
