N	3gram	Nazirov_Tr	DiskursI
1	в том что	2	28
2	в отличие от	2	26
3	не может быть	1	12
4	в данном случае	2	12
5	по природе своей	1	10
6	то же время	5	10
7	о том что	2	9
8	в то же	5	8
9	как и в	1	7
10	и все же	1	7
11	так и в	3	6
12	и как бы	2	5
13	но при этом	1	5
14	тем не менее	1	4
15	и не может	1	4
16	в этом случае	1	4
17	в обоих случаях	1	3
18	и в частности	2	3
19	во всяком случае	1	3
20	как и его	1	2
21	если можно так	1	2
22	в этом мире	1	2
23	можно так выразиться	1	2
24	в одном из	1	2
25	мысль о том	1	2
26	все же не	1	2
27	так обстоит дело	1	2
28	как и все	1	2
29	с самого начала	1	2
30	и то что	1	2
31	что он не	1	1
32	имеет в виду	1	1
33	в скрытом виде	1	1
34	в применении к	1	1
35	отнюдь не является	1	1
36	по сравнению с	1	1
37	но и на	1	1
38	в xix веке	1	1
39	и катастрофическая развязка	1	1
40	хотя бы и	1	1
41	быть отнесены к	1	1
42	в самом деле	1	1
43	общим местом в	1	1
44	в евангелии от	1	1
45	сам по себе	1	1
46	на всем протяжении	1	1
47	необходимо отметить что	1	1
48	а стало быть	1	1
49	приходит в голову	1	1
50	не только о	1	1
51	в связи с	1	1
52	но все же	2	1
53	несмотря на все	1	1
54	и в этом	1	1
55	и не быть	1	1
56	не только по	1	1
57	как своего рода	1	1
58	друг друга и	1	1
59	за то что	1	1
60	случае как и	1	1
61	и от литературы	1	1
62	в литературе это	1	1
63	может быть в	1	1
64	от всего что	1	1
65	в стихах и	1	1
66	прежде всего отметим	1	1
67	одну из своих	1	1
68	в этом состоит	1	1
69	как в первом	1	1
70	в этой связи	1	1
71	том что он	1	1
72	и до конца	1	1
73	и при этом	1	1
74	и то в	1	1
75	не могут быть	1	1
76	это не просто	1	1
77	позиции в мире	1	1
78	в известной степени	1	1
79	это и есть	1	1
80	ее к себе	1	1
81	и потому как	1	1
82	после того как	1	1
83	начала и до	1	1
