N	3gram	Berdyaev_O	Tvorches
1	в романах достоевского	3	29
2	в преступлении и	3	17
3	преступлении и наказании	3	16
4	в том что	1	11
5	преступление и наказание	1	10
6	записки из подполья	1	9
7	в братьях карамазовых	1	9
8	преступления и наказания	1	9
9	о том что	1	8
10	не может быть	2	6
11	в записках из	3	6
12	человек по природе	1	6
13	записок из подполья	5	5
14	в самом деле	1	5
15	записках из подполья	3	5
16	у достоевского не	1	5
17	о великом инквизиторе	6	5
18	у достоевского нет	1	4
19	что человек по	1	4
20	в своих романах	1	3
21	том что в	1	3
22	униженные и оскорбленные	1	3
23	во всяком случае	1	3
24	как и в	1	3
25	хотя и не	1	3
26	легенда о великом	2	3
27	и все же	1	3
28	и не может	1	3
29	может быть назван	1	2
30	бы он ни	1	2
31	он еще не	1	2
32	заключает в себе	1	2
33	для того чтобы	3	2
34	у него в	5	2
35	самим собой в	1	2
36	что у него	2	2
37	и в самом	1	2
38	не могут быть	2	2
39	из мертвого дома	2	2
40	не в силах	1	2
41	никогда не было	2	2
42	в дневнике писателя	2	2
43	с иваном карамазовым	1	2
44	мира в преступлении	1	2
45	бога и дьявола	1	2
46	достоевского не могут	1	2
47	не так как	1	2
48	достоевским в идиоте	1	1
49	в этот период	1	1
50	для человека и	1	1
51	и когда он	1	1
52	у достоевского всегда	1	1
53	мысли подпольного человека	1	1
54	как будто бы	1	1
55	с записок из	1	1
56	в противоречии с	1	1
57	начиная с записок	1	1
58	о том как	1	1
59	и в бесах	1	1
60	человека в его	2	1
61	от свободы от	1	1
62	нет ничего кроме	2	1
63	ничего не делает	1	1
64	легенде о великом	3	1
65	у достоевского есть	1	1
66	из подполья и	3	1
67	ведет к гибели	1	1
68	в каждом из	1	1
69	всегда и везде	1	1
70	достоевский так и	1	1
71	романов достоевского в	1	1
72	что он был	1	1
73	есть у достоевского	1	1
74	в других романах	1	1
75	достоевского нет ничего	1	1
76	потому что в	1	1
77	к творчеству достоевского	1	1
78	к человеку и	4	1
79	он ни был	1	1
80	что творчество достоевского	1	1
81	бросается в глаза	1	1
82	у него была	1	1
83	прежде всего и	1	1
84	и прежде всего	1	1
85	главное у достоевского	1	1
86	в самом последнем	1	1
87	приходит в голову	1	1
88	не приходит в	1	1
89	человека и все	1	1
90	достоевского преступление и	1	1
91	у него не	2	1
92	высокого и прекрасного	1	1
93	н к михайловского	1	1
94	в нем нет	3	1
95	и в том	1	1
96	и в этом	2	1
97	бытия но достоевский	1	1
98	но и в	2	1
99	из подполья достоевский	1	1
100	и ивана карамазова	2	1
101	о человеке которая	1	1
102	так и не	1	1
103	в другом месте	1	1
104	удар за ударом	1	1
105	то что в	1	1
106	и не в	1	1
107	себе что он	1	1
108	внутренней жизни человека	1	1
109	все та же	1	1
110	человеческой природы в	2	1
111	его образ и	1	1
112	которого не случайно	1	1
113	и никогда не	2	1
114	на земле к	1	1
115	достоевского всегда есть	1	1
116	и в преступлении	1	1
117	и он всегда	1	1
118	добро и зло	1	1
119	и в ее	1	1
120	искать ключ к	1	1
121	все эти писатели	1	1
122	кто бы он	1	1
123	на западе но	2	1
124	и в одно	1	1
