N	2gram	Bakhtin_KF	Russkaja
1	не может	29	22
2	и не	28	19
3	в этом	15	17
4	в том	6	17
5	и в	28	14
6	то что	7	13
7	то же	5	11
8	точки зрения	13	11
9	но и	9	10
10	же время	2	10
11	в то	3	10
12	не только	5	9
13	с точки	10	9
14	том что	4	9
15	во всяком	1	9
16	может быть	45	9
17	в себе	21	9
18	прежде всего	4	8
19	того чтобы	2	8
20	не будет	2	7
21	ни к	2	7
22	самом деле	3	7
23	к тому	1	7
24	о том	3	7
25	самого себя	1	7
26	в данном	2	7
27	мы должны	1	7
28	и с	1	7
29	отнюдь не	7	7
30	и к	1	6
31	для него	13	6
32	признать что	1	6
33	все это	10	6
34	на самом	3	6
35	в своих	4	6
36	если бы	8	6
37	и для	10	6
38	с тем	2	6
39	что он	2	6
40	для того	3	6
41	к которой	2	6
42	в своем	17	6
43	всяком случае	1	6
44	до сих	1	5
45	и на	3	5
46	из которых	2	5
47	только в	18	5
48	или иной	2	5
49	в своей	11	5
50	жизни в	5	5
51	себя и	5	5
52	между собой	1	5
53	во всех	11	5
54	сих пор	1	5
55	и только	7	5
56	вопрос о	2	5
57	хотя бы	5	5
58	потому что	2	5
59	в нем	32	5
60	между тем	4	5
61	он не	6	5
62	конечно не	7	5
63	а в	5	5
64	при этом	4	5
65	было бы	8	5
66	на то	1	5
67	лишь при	3	5
68	он должен	1	5
69	никогда не	5	5
70	что в	4	4
71	во всем	7	4
72	бы то	2	4
73	и то	2	4
74	все что	1	4
75	так как	1	4
76	тогда когда	3	4
77	в его	42	4
78	его в	5	4
79	отказаться от	2	4
80	не в	13	4
81	он будет	1	4
82	в корне	3	4
83	вместе с	1	4
84	как и	5	4
85	в мире	8	4
86	все же	5	4
87	приводит к	1	4
88	в их	9	4
89	со стороны	8	4
90	себе и	3	4
91	ли это	2	4
92	том случае	1	4
93	которой он	2	4
94	то ни	2	4
95	от того	3	4
96	а лишь	3	4
97	и т.д	4	4
98	как бы	9	4
99	в этой	2	4
100	себя в	8	4
101	жизни и	8	4
102	но не	12	4
103	в самом	1	3
104	собой и	1	3
105	и этот	3	3
106	может не	2	3
107	должно быть	6	3
108	несмотря на	1	3
109	что это	4	3
110	в качестве	2	3
111	что и	7	3
