N	2gram	Medvedev_I	Myslijsy
1	и в	1	121
2	что в	2	73
3	и не	2	73
4	в этом	2	59
5	если бы	1	53
6	того что	1	47
7	так и	1	37
8	тем что	1	33
9	по отношению	1	30
10	а в	1	30
11	для него	1	28
12	есть только	1	28
13	то и	1	26
14	отношению к	1	26
15	с другой	1	22
16	того же	1	19
17	для того	1	18
18	по поводу	1	18
19	очевидно что	1	18
20	только что	1	16
21	в них	1	16
22	стало быть	1	15
23	и без	1	14
24	другой стороны	1	12
25	никогда не	1	12
26	все это	1	12
27	только для	1	11
28	того чтобы	1	11
29	что для	1	11
30	и с	3	10
31	что при	1	10
32	бы в	1	10
33	он не	2	10
34	от нее	1	9
35	это было	1	9
36	в целом	1	9
37	и о	1	9
38	говорить о	1	8
39	не так	1	8
40	самого себя	2	7
41	все эти	1	7
42	на котором	1	7
43	в эту	1	7
44	и та	1	7
45	и тот	1	7
46	них не	1	7
47	могло бы	1	6
48	к нам	1	6
49	с а	1	6
50	жизни и	1	6
51	а с	1	5
52	человеке и	1	4
53	от этого	1	4
54	не дает	1	4
55	ничего не	2	4
56	более чем	1	4
57	произведения и	1	4
58	то она	1	4
59	во многом	1	4
60	доказать что	1	3
61	так то	1	3
62	бы что	2	3
63	и др	1	3
64	та и	1	3
65	утверждает что	1	3
66	как о	1	3
67	а если	1	3
68	нисколько не	1	3
69	должен быть	2	3
70	и сам	1	2
71	без этого	1	2
72	у и	1	2
73	и еще	1	2
74	следующим образом	1	2
75	себя в	1	2
76	видит в	1	2
77	я не	1	2
78	но когда	1	2
79	же это	1	2
80	для других	1	2
81	тех же	1	2
82	какую роль	1	1
83	бы все	1	1
84	и очень	1	1
85	бы искать	1	1
86	в художественном	1	1
87	как только	1	1
88	было не	1	1
89	о ней	1	1
90	творчества то	1	1
91	на памяти	1	1
92	не остается	1	1
93	не кто	1	1
94	а для	1	1
95	понятий и	1	1
96	знания нет	1	1
97	его личности	1	1
98	когда его	1	1
99	со всеми	1	1
100	нам в	1	1
101	следовательно в	1	1
102	ничего в	1	1
103	его произведения	1	1
104	и широко	1	1
105	фундамент на	1	1
106	и многое	1	1
107	и и	1	1
108	в огороде	1	1
109	стороны он	1	1
110	как смерть	1	1
111	многое другое	1	1
112	а также	1	1
113	о жизни	1	1
114	и со	1	1
115	бы его	1	1
116	это был	1	1
117	а по	1	1
118	не чужд	1	1
119	он с	1	1
