N	3gram	Voloshinov	Psycholo
1	в том что	1	78
2	для того чтобы	1	70
3	в самом деле	2	51
4	о том что	2	34
5	то же самое	1	31
6	с точки зрения	6	29
7	с одной стороны	1	28
8	все то что	2	23
9	не может быть	3	23
10	до сих пор	3	23
11	мы увидим что	1	19
12	на самом деле	4	17
13	с самого начала	4	16
14	так же как	2	14
15	во всяком случае	3	14
16	в этом отношении	1	14
17	можно было бы	1	13
18	и в этом	2	13
19	этой точки зрения	1	12
20	в конечном счете	2	11
21	по сравнению с	3	11
22	подобно тому как	1	11
23	с этой точки	1	10
24	вместе с тем	1	10
25	в данном случае	1	9
26	друг с другом	1	8
27	и таким образом	1	8
28	что в этой	1	8
29	мы знаем что	1	8
30	в этом смысле	3	7
31	а с другой	1	7
32	можно сказать что	3	7
33	именно то что	1	7
34	и та же	1	6
35	и может быть	2	6
36	не что иное	1	6
37	мы не можем	1	6
38	по его мнению	1	6
39	что иное как	1	6
40	в каком отношении	1	5
41	в том смысле	1	5
42	же как и	1	5
43	нам кажется что	2	5
44	в применении к	1	4
45	и того же	1	4
46	шаг за шагом	1	4
47	таким образом и	1	4
48	одного и того	1	4
49	том что мы	1	4
50	одна и та	1	4
51	и что он	1	4
52	как это делает	1	4
53	же самое и	1	4
54	это и есть	1	4
55	в себя и	1	3
56	по аналогии с	2	3
57	каждого из этих	1	3
58	и мы можем	1	3
59	на наших глазах	1	3
60	дело в том	1	3
61	не могут быть	2	3
62	за которой скрывается	1	3
63	может быть это	3	3
64	в полном согласии	1	3
65	случае не может	1	3
66	в нем нет	2	3
67	в высшей степени	1	3
68	полном согласии с	1	3
69	бы то ни	1	3
70	смысл и значение	1	3
71	есть в сущности	1	3
72	говорить о том	1	3
73	он может быть	1	3
74	увидим что оно	1	2
75	а может быть	1	2
76	мы уже знаем	1	2
77	психической энергии в	1	2
78	что в них	1	2
79	так и в	1	2
80	во многих случаях	1	2
81	уже знаем что	1	2
82	бессознательное по самому	1	2
83	в связи с	1	2
84	той или иной	1	2
85	вместе с ним	1	2
86	а на самом	1	2
87	прежде всего на	1	2
88	по крайней мере	3	2
89	от своего имени	1	2
90	как один из	1	2
91	или во всяком	1	2
92	самом деле в	1	2
93	мы узнаем о	1	2
94	мы имеем в	1	2
95	что может быть	1	2
96	таким образом с	1	2
97	и столь же	1	2
98	может быть только	1	2
99	все же в	1	2
100	может быть совершенно	1	2
101	то ни было	1	2
102	несмотря на это	1	2
103	мы видим и	1	2
104	но вместе с	1	2
105	так как он	1	2
106	на первый план	1	2
107	а потому не	1	2
108	имеем в виду	1	2
109	только для того	1	2
110	то что я	1	2
111	имеем дело с	1	2
112	в известных пределах	1	1
113	и со всеми	1	1
114	даже тогда когда	1	1
115	весь тот материал	1	1
116	мы на самом	1	1
117	в особом объяснении	1	1
118	только одна из	1	1
119	в чем не	3	1
120	свое отношение к	1	1
121	и представлениями и	1	1
122	с его помощью	1	1
123	форма и содержание	1	1
124	было бы по	1	1
125	время говорит о	1	1
126	в бессознательном и	1	1
127	это приводит к	1	1
128	в коем случае	1	1
129	из этих трех	1	1
130	мы еще не	1	1
131	совершенно так же	1	1
132	ли у нас	1	1
133	не следует что	1	1
134	этом отношении и	1	1
135	и не должна	1	1
136	все что угодно	1	1
137	так ли это?	1	1
138	а потому и	2	1
139	и только из	1	1
140	на две сферы	1	1
141	на две группы	2	1
142	ни разу не	1	1
143	любовь к матери	1	1
144	психологии а в	1	1
145	него все то	1	1
146	мы полагаем что	3	1
147	и т.п и	1	1
148	одну и ту	1	1
149	в переводе на	2	1
150	и говорить о	1	1
151	со стороны формы	1	1
152	только в одном	1	1
153	свой метод к	1	1
154	в области психологии	1	1
155	и ту же	1	1
156	как мы знаем	1	1
157	как это было	1	1
158	может быть даже	1	1
159	и связанная с	1	1
160	но к чему	1	1
161	ни в коем	1	1
162	нечего и говорить	2	1
163	и в чем	1	1
164	связи с этим	1	1
165	в этом и	1	1
166	зависит от того	1	1
167	уже не может	1	1
168	со всех сторон	1	1
169	к ним может	1	1
170	и в практике	1	1
171	что он действительно	1	1
172	все время говорит	1	1
173	едва ли от	1	1
174	она может быть	1	1
175	в каком направлении	1	1
176	и только для	2	1
177	мы сейчас же	1	1
178	в область бессознательного	1	1
179	ни в чем	3	1
180	не существует для	1	1
181	методом и с	1	1
182	сейчас же заметим	1	1
183	из всего сказанного	1	1
184	что эти два	1	1
185	не дает нам	1	1
186	же что и	1	1
187	и посвящена настоящая	1	1
188	в течение своей	1	1
189	на вопрос о	1	1
190	и как всякий	1	1
191	точки зрения может	1	1
192	сводится к следующему	1	1
193	то что можно	1	1
194	не ощущали бы	1	1
195	мы можем сказать	2	1
196	однако сказать что	1	1
197	все что есть	1	1
198	и художественного творчества	3	1
199	и прежде всего	1	1
200	с ним и	1	1
201	в душе человека	1	1
202	и как мы	1	1
203	как и всегда	1	1
204	и пр как	1	1
205	все эти понятия	1	1
206	к матери и	3	1
207	быть не может	1	1
208	мы можем теперь	2	1
209	мы должны перейти	1	1
210	черты своего происхождения	1	1
211	из того же	1	1
212	и аффектов с	1	1
213	это мы можем	1	1
214	между организмом и	1	1
215	и есть та	1	1
216	а вместе с	1	1
217	обратим внимание на	1	1
218	и его школы	1	1
219	можно определить как	2	1
220	в свое время	1	1
221	искусства в частности	1	1
222	остановимся прежде всего	1	1
223	и проч отсюда	1	1
224	будет как раз	1	1
225	теряет свой смысл	1	1
226	в нашем теле	1	1
227	почти во всем	1	1
228	же заметим что	1	1
229	во внешнем мире	1	1
230	может привести к	1	1
231	что на этом	1	1
232	есть прежде всего	1	1
233	и можно сказать	1	1
234	но несмотря на	1	1
235	на первый взгляд	1	1
236	самом деле есть	1	1
237	тому как мы	1	1
238	течение своей жизни	1	1
239	для этого на	1	1
240	было на самом	1	1
241	свой смысл и	1	1
242	знаем что и	1	1
