N	4gram	Losev_Prob	PoTuStor
1	ни в чем не	2	3
2	с этой точки зрения	1	1
3	подобно тому как мы	1	1
4	нечего и говорить о	2	1
5	не что иное как	6	1
6	и ни в чем	2	1
7	не чем иным как	2	1
8	только для того чтобы	1	1
9	очень мало общего с	1	1
10	дело в том что	3	1
11	сказать то же самое	1	1
12	бы то ни было	4	1
13	говорить о том что	2	1
14	так же как и	3	1
15	мы имеем в виду	1	1
16	во всяком случае не	2	1
17	одного и того же	1	1
18	в связи с этим	1	1
19	имеет очень мало общего	1	1
20	нам кажется что такие	1	1
21	каких бы то ни	1	1
22	и говорить о том	2	1
