N	4gram	Tiupa_Teor	formyVre
1	в то же время	8	18
2	одного и того же	4	9
3	и в то же	2	8
4	с одной стороны и	1	5
5	в том числе и	2	5
6	мы имеем в виду	3	5
7	одно и то же	2	5
8	в связи с этим	1	4
9	в той или иной	1	3
10	но в то же	2	3
11	дело в том что	1	2
12	не может быть и	1	2
13	в нашем случае в	1	2
14	включает в себя и	1	2
15	то же время они	1	2
16	и не могло быть	2	1
17	в осмысленном и конкретном	1	1
18	с этой точки зрения	2	1
19	жизни поколений ослабляет и	1	1
20	не было и не	1	1
21	и того же типа	1	1
22	в том что в	1	1
23	единство места жизни поколений	1	1
24	человека с самим собою	1	1
25	слияние пространственных и временных	1	1
26	хронотопе имеет место слияние	1	1
27	с самим собою в	1	1
28	место слияние пространственных и	1	1
29	временных примет в осмысленном	1	1
30	в том специфическом значении	1	1
31	все моменты быта лишает	1	1
32	поколений ослабляет и смягчает	1	1
33	моменты быта лишает их	1	1
34	осмысленном и конкретном целом	1	1
35	то же время оно	1	1
36	места жизни поколений ослабляет	1	1
37	в литературе нового времени	1	1
38	характера делает их существенными	1	1
39	их существенными событиями жизни	1	1
40	бы они ни были	1	1
41	только то что может	1	1
42	том что он не	1	1
43	одном и том же	1	1
44	было и не могло	1	1
45	делает их существенными событиями	1	1
46	в том что он	2	1
47	грани между индивидуальными жизнями	1	1
48	преображает все моменты быта	1	1
49	как раз в том	1	1
50	в одном и том	1	1
51	быта лишает их частного	1	1
52	примет в осмысленном и	1	1
53	с которыми он должен	1	1
54	но дело в том	1	1
55	которыми он должен слиться	1	1
56	пространственных и временных примет	1	1
57	и временных примет в	1	1
58	том числе и для	1	1
59	имеет место слияние пространственных	1	1
60	из уст в уста	1	1
