N	2gram	Tiupa_Disk	PoTuStor
1	может быть	29	17
2	и в	27	16
3	таким образом	4	9
4	в этом	29	9
5	прежде всего	17	9
6	мы можем	1	9
7	и только	1	9
8	точки зрения	6	8
9	и с	2	8
10	не может	17	8
11	и его	4	8
12	не только	36	7
13	сказать что	4	7
14	с его	9	7
15	и к	4	6
16	при этом	22	6
17	для него	9	6
18	самом деле	2	6
19	я и	3	6
20	и это	3	6
21	с точки	3	6
22	что такое	1	5
23	ни в	7	5
24	все эти	2	5
25	в чем	2	5
26	еще не	20	5
27	сознание и	1	5
28	как бы	9	5
29	отношение к	6	5
30	а потому	1	4
31	для всех	2	4
32	и на	8	4
33	все это	2	4
34	в его	9	4
35	художественного творчества	1	4
36	мысли и	2	4
37	так и	14	4
38	на самом	1	4
39	его в	1	4
40	и даже	4	4
41	и все	5	4
42	с ними	1	4
43	только в	9	4
44	и не	25	4
45	можно сказать	7	4
46	с самого	2	4
47	но и	22	4
48	хотя бы	3	4
49	и может	3	4
50	и их	1	4
51	самого начала	2	4
52	в этой	5	4
53	как мы	2	4
54	отнюдь не	11	4
55	в нем	16	4
56	с ее	3	4
57	и ее	5	4
58	и наконец	2	4
59	но в	15	4
60	до сих	1	3
61	на язык	1	3
62	в основном	1	3
63	к себе	2	3
64	в том	29	3
65	те же	1	3
66	с другими	1	3
67	с их	3	3
68	между ними	1	3
69	в конечном	2	3
70	их в	2	3
71	отношения к	2	3
72	этом смысле	1	3
73	учение о	1	3
74	и как	9	3
75	что в	8	3
76	том что	27	3
77	большинстве случаев	2	3
78	вместе с	3	3
79	на этом	3	3
80	в этих	4	3
81	мира и	3	3
82	и художественного	1	3
83	и оно	1	3
84	во всех	6	3
85	но оно	1	3
86	во всяком	3	3
87	и потому	3	3
88	реальности и	2	3
89	в основе	11	3
90	и притом	1	3
91	по крайней	3	3
92	и теперь	1	3
93	как это	2	3
94	только на	2	3
95	в одном	5	3
96	даже не	1	3
97	чем не	3	3
98	а в	5	3
99	в большинстве	3	3
100	то что	10	3
101	на две	1	3
102	и др	3	3
103	могут быть	5	3
104	и есть	2	3
105	сих пор	1	3
106	жизни и	2	3
107	в области	3	3
108	всяком случае	2	3
109	во время	1	3
110	крайней мере	3	3
111	едва ли	2	3
112	в самом	4	2
113	в свое	3	2
114	это делает	1	2
115	и мы	1	2
116	к другим	3	2
117	на протяжении	2	2
118	они не	2	2
119	т.е в	1	2
120	возникает в	1	2
121	мы не	2	2
122	два полюса	1	2
123	с этой	2	2
124	что это	1	2
125	можно определить	2	2
126	нашего времени	2	2
127	аналогии с	2	2
128	ее в	1	2
129	в область	1	2
130	но как	2	2
131	что и	5	2
132	сводится к	7	2
133	не на	3	2
134	не могут	2	2
135	со всеми	1	2
136	в них	6	2
137	поэтому и	1	2
138	и других	1	2
139	все то	1	2
140	не знает	4	2
141	остается и	1	2
142	всех его	1	2
143	по аналогии	2	2
144	что не	4	2
145	и действительно	1	2
146	конечном счете	2	2
147	здесь же	1	2
148	в жизни	2	2
149	можно назвать	2	2
150	является по	1	2
151	как и	27	2
152	что он	6	2
153	есть в	3	2
154	же как	1	2
155	не есть	3	2
156	только то	2	2
157	в своей	10	2
158	в одно	2	2
159	как с	1	2
160	по своему	3	2
161	себя и	2	2
162	с историей	1	2
163	войти в	1	2
164	не менее	6	2
165	на границе	1	2
166	в каком	1	2
167	нем нет	1	2
168	на первый	1	2
169	и вообще	2	2
170	не удается	1	2
171	на них	1	2
172	с этим	3	2
173	при всей	9	2
174	всей их	1	2
175	к этому	4	2
176	оно не	2	2
177	не существует	1	2
178	между собой	2	2
179	из этих	3	2
180	на друга	1	2
181	в этот	1	2
182	он не	4	2
183	и т.п	18	2
184	с помощью	1	2
185	в частности	18	2
186	не будет	1	2
187	но зато	2	2
188	и вся	1	2
189	говорить о	3	2
190	всех других	1	2
191	в науке	2	2
192	за пределы	2	2
193	в начале	2	2
194	но отнюдь	2	2
195	в пределах	4	2
196	как не	3	2
197	цели и	1	2
198	друг на	1	2
199	потому и	1	2
200	было бы	1	2
201	человеческого поведения	1	2
202	к ним	3	2
203	нет и	1	2
204	и о	4	2
205	своей жизни	1	2
206	что на	3	2
207	о том	12	2
208	в голову	2	2
209	момент в	3	2
210	на ранних	2	2
211	один из	3	2
212	и по	2	2
213	определить как	2	2
214	но это	3	2
215	для этого	1	2
216	того же	5	2
217	то же	12	2
218	за счет	1	2
219	никогда не	3	2
220	которому в	1	1
221	что было	1	1
222	жизни но	2	1
223	науки о	1	1
224	вырастает из	1	1
225	во всем	2	1
226	о поведении	1	1
227	читатель может	1	1
228	об их	1	1
229	мире и	2	1
230	по мнению	1	1
231	на почве	3	1
232	события и	1	1
233	представляет себе	2	1
234	что они	1	1
235	хорошо известны	1	1
236	в любви	1	1
237	и то	4	1
238	образом и	1	1
239	а другие	1	1
240	на языке	3	1
241	не позволяет	2	1
242	мы и	1	1
243	к их	2	1
244	мир в	1	1
245	же и	1	1
246	о двух	1	1
247	данном случае	6	1
248	различие между	3	1
249	современной культуры	2	1
250	в момент	2	1
251	как учение	1	1
252	сознания с	2	1
253	которая в	3	1
254	время и	2	1
255	и того	6	1
256	с одной	12	1
257	уже в	2	1
258	на ее	2	1
259	внимание на	5	1
260	мог бы	1	1
261	в состоянии	1	1
262	дело с	2	1
263	мы имеем	4	1
264	это и	2	1
265	потом и	2	1
266	несмотря на	1	1
267	но именно	1	1
268	говорит и	2	1
269	внешнем мире	1	1
270	для всего	1	1
271	хотя и	3	1
272	в разных	1	1
273	этом отношении	4	1
274	с тем	1	1
275	чрезвычайно сложный	1	1
276	имеем дело	3	1
277	в сущности	3	1
278	не должна	1	1
279	стали прообразом	1	1
280	как раз	1	1
281	в некоторых	1	1
282	основе этих	1	1
283	они определили	1	1
284	говорит о	1	1
285	о нем	3	1
286	как со	1	1
287	и эмоционально	1	1
288	историю не	1	1
289	в качестве	45	1
290	в году	3	1
291	интерес к	2	1
292	в полном	2	1
293	более позднее	1	1
294	нас в	2	1
295	энергии в	1	1
296	не являются	1	1
297	свое обычное	1	1
298	здесь в	4	1
299	или словами	1	1
300	для них	1	1
301	и делает	1	1
302	от остальной	1	1
303	в виду	2	1
304	я не	1	1
305	творчество как	1	1
306	подобно тому	4	1
307	всей ее	1	1
308	и желания	1	1
309	в своих	6	1
310	связи с	4	1
311	или во	1	1
312	в практике	1	1
313	особого рода	3	1
314	на этот	1	1
315	представляет собою	1	1
