N	2gram	Tiupa_Anal	ViktorSh
1	в конце	4	2
2	и в	30	2
3	в том	36	2
4	том что	21	2
5	в другом	4	1
6	говоря иначе	1	1
7	все время	1	1
8	но это	1	1
9	юноши в	1	1
10	одно и	2	1
11	столь же	7	1
12	том же	2	1
13	по существу	1	1
14	ведь это	2	1
15	заключается что	1	1
16	в самом	12	1
17	теории литературы	1	1
18	и т.д	4	1
19	предлагает нам	1	1
20	для них	1	1
21	хотел сказать	1	1
22	а только	1	1
23	от других	1	1
24	именно в	6	1
25	имеется в	1	1
26	самом деле	3	1
27	более чем	4	1
28	и составляет	2	1
29	речи и	2	1
30	говоря о	2	1
31	в частности	32	1
32	и то	4	1
33	крайней мере	4	1
34	и заключается	2	1
35	поэтического творчества	1	1
36	и его	9	1
37	сводится к	6	1
38	даже не	2	1
39	бы уже	1	1
40	значительной степени	1	1
41	хотя бы	4	1
42	по поводу	4	1
43	далеко не	6	1
44	тем более	2	1
45	по крайней	4	1
46	в которых	1	1
47	к этому	2	1
48	только в	8	1
49	потому что	3	1
50	в значительной	1	1
51	уже известно	1	1
52	в их	8	1
53	и только	1	1
54	то же	12	1
55	и не	33	1
56	деле как	1	1
57	я не	2	1
58	да и	2	1
59	в этом	31	1
60	так как	3	1
61	все это	2	1
62	сколь и	1	1
63	в устах	2	1
64	и способами	1	1
