N	4gram	Propp_Isto	Problemy
1	бы то ни было	2	6
2	в том что он	1	5
3	в то время как	3	3
4	и в этом смысле	1	3
5	в большей или меньшей	1	3
6	друг на друга и	1	2
7	мы можем сказать что	1	2
8	но тем не менее	1	2
9	дело в том что	2	2
10	какой бы то ни	1	2
11	а может быть даже	1	2
12	сводится к тому чтобы	1	2
13	что они не могут	1	1
14	на самом же деле	1	1
15	само по себе не	1	1
16	и т д он	1	1
17	с одной стороны и	1	1
18	уже с самого начала	2	1
19	мы не найдем ни	1	1
20	той почвой на которой	1	1
21	друг с другом что	1	1
22	как один из возможных	1	1
23	но в отличие от	3	1
24	и вместе с тем	2	1
25	один и тот же	2	1
26	мы должны были бы	2	1
27	иметь в виду что	1	1
28	не чем иным как	1	1
29	почвой на которой он	1	1
30	и т д и	2	1
31	само по себе но	1	1
32	тем не менее и	1	1
33	так же как и	1	1
34	по мере того как	4	1
35	и т д но	2	1
