N	2gram	Vygotskiy_	KulturaY
1	и т	19	143
2	т п	7	93
3	и в	65	84
4	в том	46	74
5	потому что	26	68
6	не только	16	60
7	точки зрения	19	59
8	в этом	37	57
9	было бы	22	53
10	и не	20	52
11	может быть	33	47
12	что в	36	44
13	том что	28	44
14	того чтобы	21	44
15	т д	6	42
16	в самом	41	41
17	для того	18	41
18	у нас	4	38
19	хотя бы	3	37
20	самом деле	33	37
21	так как	13	36
22	с точки	11	36
23	таким образом	21	33
24	а не	11	33
25	если бы	22	32
26	можно было	7	32
27	не в	12	30
28	в его	11	30
29	прежде всего	2	30
30	все же	10	29
31	не менее	1	28
32	того что	9	28
33	все эти	7	28
34	уже не	2	26
35	в языке	1	26
36	в силу	2	26
37	то что	61	25
38	вовсе не	11	25
39	не может	17	25
40	с другой	8	24
41	еще не	3	24
42	то же	17	23
43	только в	9	23
44	так и	3	23
45	по себе	5	20
46	во всяком	6	20
47	и что	29	20
48	но и	6	20
49	тем что	7	19
50	о том	17	19
51	обстоятельство что	1	19
52	что он	23	19
53	зависимости от	1	19
54	что же	3	19
55	всяком случае	6	19
56	но в	5	19
57	то обстоятельство	1	19
58	и с	4	18
59	с тем	14	18
60	к тому	18	18
61	в сущности	16	18
62	в качестве	2	18
63	связи с	2	18
64	между тем	10	18
65	вместе с	10	18
66	как бы	29	18
67	русском языке	1	18
68	все это	12	18
69	в той	8	17
70	другой стороны	5	17
71	как это	13	17
72	что это	19	17
73	слова и	3	17
74	как раз	14	17
75	это не	7	17
76	в виду	6	16
77	в зависимости	1	16
78	что и	7	16
79	что не	5	16
80	тот же	5	16
81	ничего не	4	16
82	в русском	1	16
83	но не	3	16
84	при этом	10	15
85	именно в	3	15
86	в данном	5	15
87	как на	9	15
88	том чтобы	2	15
89	не было	4	15
90	и тем	4	15
91	один из	7	15
92	ни к	1	15
93	целый ряд	6	15
94	того как	4	15
95	а в	9	15
96	должно быть	1	15
97	в них	4	14
98	и на	7	14
99	сказать что	14	14
100	хотя и	1	14
101	что такое	2	14
102	в связи	1	14
103	я не	9	14
104	сих пор	6	14
105	в ней	23	14
106	до сих	7	14
107	если мы	19	14
108	как мы	12	14
109	мы имеем	2	14
110	также и	1	14
111	что она	34	13
112	между прочим	1	13
113	в этой	20	13
114	там где	7	13
115	не могут	2	13
116	в которых	9	13
117	той же	6	13
118	для нас	14	13
119	это и	4	13
120	по существу	4	13
121	слово это	1	13
122	и его	8	13
123	с этой	5	12
124	говорить о	3	12
125	в результате	3	12
126	того же	4	12
127	ясно что	11	12
128	а только	1	12
129	этот вопрос	5	12
130	тогда когда	2	12
131	как в	8	12
132	не трудно	1	12
133	этого слова	5	12
134	однако не	3	12
135	для этого	9	12
136	те же	2	11
137	должен быть	4	11
138	в своем	8	11
139	он не	11	11
140	в нем	8	11
141	и здесь	9	11
142	должна быть	5	11
143	и то	10	11
144	еще и	2	11
145	совершенно не	8	11
146	из этих	6	11
147	и если	13	11
148	этом отношении	1	11
149	уже в	1	11
150	слова в	1	11
