N	3gram	Tiupa_Anal	VeschiIm
1	не может быть	2	24
2	не что иное	1	12
3	не есть ни	1	12
4	что иное как	1	12
5	тем не менее	3	11
6	по крайней мере	5	10
7	в том что	12	9
8	есть не что	1	8
9	в самом деле	1	7
10	сама по себе	3	7
11	с точки зрения	2	6
12	так или иначе	5	6
13	в свою очередь	7	5
14	в то же	7	5
15	и то что	2	5
16	подобно тому как	3	5
17	не только в	5	5
18	в то время	1	4
19	что не есть	1	4
20	сам по себе	2	4
21	не только не	3	4
22	дело в том	3	4
23	о том что	7	4
24	само по себе	1	4
25	то же время	7	4
26	но еще и	1	3
27	заключается в том	1	3
28	ту или иную	1	3
29	уже не может	1	3
30	можно сказать что	2	3
31	из того что	1	3
32	можно было бы	1	3
33	есть как бы	1	3
34	и есть не	1	3
35	только то что	1	3
36	с одной стороны	3	3
37	с другой стороны	7	3
38	имеем дело не	2	2
39	в той или	2	2
40	сводится к одному	1	2
41	не только к	2	2
42	в применении к	1	2
43	мы видим что	1	2
44	дело не с	1	2
45	в данном случае	11	2
46	в том чтобы	2	2
47	то что не	1	2
48	в свое время	4	2
49	хотя бы и	1	2
50	было бы сказать	1	2
51	в этом смысле	1	2
52	с самим собою	1	2
53	для того чтобы	1	2
54	крайней мере в	2	2
55	по природе своей	3	2
56	том что он	2	2
57	в том или	1	2
58	в первом случае	1	2
59	как раз в	1	2
60	в конце концов	1	2
61	тех или иных	1	2
62	как бы ни	1	2
63	в отдельности и	1	2
64	в связи с	1	2
65	во всяком случае	6	2
66	в этом отношении	3	2
67	вопрос о том	1	2
68	что же касается	1	2
69	как раз и	1	2
70	не мог бы	1	2
71	в основе своей	2	2
72	мы имеем дело	4	2
73	того же смысла	1	1
74	что он не	2	1
75	в полной мере	3	1
76	нести на себе	1	1
77	в самом начале	1	1
78	с тем же	1	1
79	и как бы	2	1
80	что она не	1	1
81	имени в его	1	1
82	т е к	2	1
83	и потому оно	1	1
84	и прежде всего	2	1
85	по себе а	1	1
86	вмещает в себя	1	1
87	неотделимо от сущности	1	1
88	все что мы	1	1
89	себя самого все	1	1
90	качестве одного из	1	1
91	и может быть	1	1
92	имя как раз	1	1
93	себя и что	1	1
94	но и в	2	1
95	по одному этому	1	1
96	ничего не говорит	1	1
97	и в особенности	1	1
98	здесь не только	4	1
99	не в состоянии	1	1
100	я уже не	1	1
101	однако и здесь	1	1
102	в себя момент	2	1
103	один и тот	1	1
104	здесь как и	1	1
105	дело не в	1	1
106	потому оно есть	1	1
107	ни у кого	1	1
108	перед нами как	1	1
109	и многих других	1	1
110	все это по	1	1
111	и тот же	1	1
112	что и в	1	1
113	один из наиболее	1	1
114	не в том	1	1
115	не имеющие никакого	1	1
116	есть он сам	1	1
117	не нуждается в	1	1
118	свое внимание на	1	1
119	во втором случае	1	1
120	что у него	1	1
121	в себе не	1	1
122	внутренней и внешней	2	1
123	из них в	1	1
124	до сих пор	1	1
125	именно потому что	1	1
126	одно из самых	1	1
127	одного и того	4	1
128	этих моментов в	1	1
129	и здесь мы	1	1
130	с этой стороны	1	1
131	смысле этого слова	1	1
132	в самой себе	1	1
133	самим собою в	1	1
134	прежде всего к	1	1
135	речь идет о	2	1
136	по своей природе	1	1
137	все же если	1	1
138	это уже не	1	1
139	то ни другое	1	1
140	и того же	4	1
141	в этом случае	1	1
142	в качестве одного	1	1
143	суть то что	1	1
144	я в свою	1	1
145	уже было сказано	2	1
146	а в том	2	1
147	и а и	1	1
148	в зависимости от	1	1
149	ни то ни	1	1
150	и все же	1	1
151	уже по одному	1	1
152	с тех пор	1	1
153	есть энергия сущности	1	1
154	из самого себя	1	1
155	относится не только	1	1
156	что несмотря на	2	1
157	тех пор как	1	1
158	но и к	1	1
159	в этой связи	1	1
160	с ними в	1	1
161	предстают перед нами	1	1
162	тот или иной	3	1
163	внутреннее и внешнее	1	1
