N	3gram	Ircho_Kome	Hudozhes
1	по отношению к	4	10
2	не сводится к	1	9
3	в том что	15	8
4	в то же	11	7
5	в отличие от	3	7
6	то же время	11	7
7	с другой стороны	2	6
8	более или менее	2	6
9	в конечном счете	2	5
10	для того чтобы	8	5
11	состоит в том	2	5
12	так или иначе	3	4
13	не может быть	1	4
14	так и не	1	4
15	мы имеем в	2	3
16	с точки зрения	6	3
17	имеем в виду	2	3
18	и в самом	7	3
19	в том числе	2	3
20	тем не менее	3	3
21	можно сказать что	1	3
22	одного и того	1	3
23	подобно тому как	1	3
24	и того же	1	3
25	в связи с	3	3
26	с одной стороны	4	3
27	в свою очередь	10	2
28	бы то ни	3	2
29	этой точки зрения	1	2
30	с этой точки	1	2
31	в самом деле	13	2
32	в противном случае	1	2
33	в отношении к	1	2
34	том числе и	2	2
35	и в то	2	2
36	том что он	1	2
37	то ни было	3	2
38	как уже говорилось	1	2
39	сама по себе	1	2
40	к тому что	1	2
41	в основе своей	2	2
42	точно так же	1	1
43	что он не	3	1
44	мере в какой	1	1
45	даже в том	1	1
46	себе в этом	1	1
47	принадлежат к числу	1	1
48	человека и его	1	1
49	если говорить о	1	1
50	в той мере	1	1
51	в соответствии с	1	1
52	на задний план	1	1
53	в известной степени	2	1
54	он не только	1	1
55	себе отчет в	1	1
56	по крайней мере	1	1
57	в самом начале	1	1
58	жизнь в которой	1	1
59	о том что	7	1
60	в последние десятилетия	2	1
61	в свое время	1	1
62	одной стороны и	2	1
63	не в состоянии	1	1
64	и тем более	2	1
65	как впрочем и	1	1
66	друг от друга	1	1
67	в настоящее время	1	1
68	в то время	3	1
69	том что она	2	1
70	бы ни был	1	1
71	в одной из	1	1
72	с первых же	3	1
73	и не могла	1	1
74	в себе самом	1	1
75	именно потому что	2	1
76	и в частности	1	1
77	а в ее	1	1
78	таким образом и	2	1
79	таким образом что	1	1
80	в лучшем случае	1	1
81	как раз в	1	1
82	в зависимости от	1	1
83	на второй план	1	1
84	так же как	1	1
85	а тем более	1	1
86	однако и в	1	1
87	и тем самым	1	1
88	речь идет о	3	1
89	не было и	1	1
90	в этом случае	2	1
91	той мере в	1	1
92	если он не	1	1
93	к тому же	9	1
94	каждой из них	2	1
95	она могла бы	1	1
96	так же точно	1	1
97	в первую очередь	2	1
98	и в пределах	1	1
99	то же самое	3	1
100	но только не	1	1
101	к более или	1	1
102	к вопросу о	1	1
103	как бы в	1	1
104	едва ли не	4	1
105	в такое же	1	1
106	и не дает	1	1
107	нового времени в	1	1
108	к окружающему его	1	1
109	со временем получает	1	1
110	не более чем	1	1
111	в виду что	1	1
112	и в том	1	1
113	со своей стороны	1	1
114	в полной мере	1	1
