N	2gram	Tiupa_Hudo	formyVre
1	и в	23	148
2	в этом	12	73
3	то есть	26	70
4	в романе	3	58
5	в нем	6	51
6	прежде всего	5	46
7	и не	16	37
8	в его	11	36
9	и его	12	36
10	вовсе не	2	35
11	но и	14	33
12	то же	12	32
13	частной жизни	2	32
14	не только	20	32
15	в литературе	2	32
16	но в	10	31
17	жизни и	1	31
18	так и	12	29
19	времени в	2	27
20	может быть	19	27
21	не в	9	26
22	как мы	1	26
23	как и	3	25
24	как бы	11	25
25	человеческой жизни	3	24
26	точки зрения	11	24
27	только в	7	23
28	в то	8	23
29	времени и	2	23
30	в том	20	22
31	то что	5	22
32	связи с	3	21
33	во всех	3	21
34	жизни в	2	21
35	же время	7	21
36	все эти	2	21
37	в своем	4	19
38	и др	2	19
39	и на	3	19
40	и для	3	19
41	таким образом	3	18
42	у него	2	18
43	еще не	4	18
44	при этом	19	17
45	те же	1	17
46	с этим	1	17
47	в особенности	1	17
48	так как	1	17
49	в пределах	3	17
50	человека и	2	17
51	все же	1	16
52	в условиях	1	16
53	новой жизни	1	16
54	в связи	3	16
55	того же	3	16
56	в основе	7	16
57	не может	9	16
58	в одном	3	15
59	в них	2	15
60	никогда не	2	15
61	с точки	3	15
62	с его	6	15
63	в пространстве	2	15
64	вместе с	1	15
65	лишь в	7	15
66	и как	4	14
67	так же	2	14
68	в конце	1	14
69	его жизни	1	14
70	а не	13	14
71	как раз	3	14
72	все это	2	14
73	в самом	7	13
74	в котором	1	13
75	для того	5	13
76	с ним	2	13
77	как в	2	13
78	роль в	2	13
79	в их	5	13
80	в частности	18	13
81	того чтобы	5	13
82	а в	13	13
83	же в	1	13
84	время в	1	12
85	не было	1	12
86	он не	4	12
87	отнюдь не	2	12
88	что в	7	12
89	потому что	3	12
90	в истории	1	12
91	но не	13	12
92	из них	1	11
93	хотя и	4	11
94	его в	4	11
95	между ними	5	11
96	ни в	5	11
97	мира и	2	11
98	смерти в	1	11
99	и другие	2	10
100	уже не	6	10
101	и того	3	10
102	входит в	4	10
103	в ее	6	10
104	также и	1	10
105	со смертью	1	10
106	на основе	2	10
107	здесь не	2	10
108	тот же	1	10
109	этом мире	2	10
110	и даже	1	9
111	их в	3	9
112	с другой	9	9
113	всего в	1	9
114	должно быть	1	9
115	и это	2	9
116	могут быть	5	9
117	отношения к	4	9
118	оно не	2	9
119	том что	9	9
120	в самой	2	9
121	для него	5	9
122	есть в	3	9
123	одного и	3	9
124	мира в	2	9
125	и к	3	8
126	в результате	1	8
127	в виду	5	8
128	в этих	4	8
129	к тому	4	8
130	и т.п	7	8
131	с одной	3	8
132	в произведении	3	8
133	что и	2	8
134	рядом с	1	8
135	в мире	24	8
136	героя и	5	8
137	здесь мы	1	8
138	и по	2	8
139	один из	2	8
140	в жизни	3	8
141	для себя	4	8
142	со всеми	1	8
143	если бы	3	8
144	хронотоп в	2	8
145	в хронотопе	1	8
146	до конца	1	8
147	здесь и	1	8
148	жизни но	2	8
149	и то	4	8
150	значение в	1	8
151	том числе	3	8
152	это не	4	8
153	и прежде	3	8
154	а также	6	8
155	на фоне	1	8
156	и потому	2	8
157	отношение к	7	8
158	отношению к	10	8
159	или иной	9	8
160	себе самому	1	8
161	в целом	3	8
162	в той	3	7
163	для всех	1	7
164	не как	2	7
