N	3gram	Berdyaev_N	SlovoVZh
1	не может быть	4	7
2	в том что	1	4
3	до сих пор	1	3
4	и не в	1	3
5	и не может	1	3
6	в зависимости от	1	2
7	с одной стороны	2	2
8	с другой стороны	2	2
9	в такой же	1	2
10	со всех сторон	3	1
11	сами по себе	1	1
12	должна быть понята	1	1
13	о том что	1	1
14	в том и	2	1
15	в высшей степени	6	1
16	мы отлично знаем	1	1
17	как и в	1	1
18	на протяжении всей	1	1
19	во всяком случае	1	1
20	она не может	2	1
21	и в истории	1	1
22	равно как и	2	1
23	подобно тому как	3	1
24	вступает в свои	1	1
25	же как и	1	1
26	самом себе и	1	1
27	а не к	1	1
28	можно было бы	1	1
29	так же как	2	1
30	и в формах	1	1
31	в свои права	2	1
32	но для этого	1	1
33	не должно быть	1	1
34	но и в	1	1
35	в значительной степени	1	1
36	то время как	1	1
37	ни в чем	1	1
38	в то время	1	1
39	в этом смысле	2	1
40	может быть только	1	1
41	к вопросу о	1	1
