N	3gram	Vygotskiy_	VeschiIm
1	это значит что	6	25
2	не может быть	5	24
3	бы то ни	1	12
4	не что иное	2	12
5	то ни было	1	12
6	что иное как	2	12
7	тем не менее	6	11
8	содержит в себе	2	11
9	в том что	41	9
10	есть не что	1	8
11	в самом деле	4	7
12	на то что	5	7
13	по сравнению с	4	7
14	сама по себе	1	7
15	ни в каком	1	6
16	с точки зрения	11	6
17	то и другое	5	6
18	и не только	1	6
19	так или иначе	1	6
20	в свою очередь	3	5
21	и то же	6	5
22	и то что	3	5
23	не потому что	1	5
24	одно и то	6	5
25	подобно тому как	1	5
26	не только в	1	5
27	что оно есть	1	5
28	о том как	1	4
29	то время как	5	4
30	этой точки зрения	4	4
31	с этой точки	4	4
32	в то время	5	4
33	более или менее	3	4
34	сам по себе	2	4
35	в каком случае	1	4
36	не только не	1	4
37	о том что	3	4
38	само по себе	3	4
39	мы видели что	4	3
40	сказать что она	1	3
41	вместе с тем	11	3
42	и даже не	1	3
43	указывает на то	2	3
44	заключается в том	18	3
45	ту или иную	1	3
46	если мы возьмем	1	3
47	можно сказать что	1	3
48	вообще не есть	1	3
49	все же не	2	3
50	из того что	3	3
51	сами по себе	4	3
52	если оно не	1	3
53	она не может	1	3
54	мы не можем	2	3
55	можно было бы	8	3
56	в собственном смысле	12	3
57	только то что	1	3
58	с одной стороны	8	3
59	то что мы	2	3
60	с другой стороны	5	3
61	так же как	9	2
62	имеем дело не	1	2
63	того что она	1	2
64	не только к	1	2
65	с чем мы	1	2
66	в применении к	1	2
67	мы видим что	2	2
68	бы сказать что	5	2
69	в данном случае	1	2
70	какого бы то	1	2
71	в том чтобы	2	2
72	взаимного понимания между	1	2
73	не имеет никакого	1	2
74	общения с ним	1	2
75	в свое время	2	2
76	хотя бы и	2	2
77	остановиться на этом	1	2
78	нельзя было бы	1	2
79	в этом смысле	7	2
80	для того чтобы	14	2
81	каких условиях не	1	2
82	друг с другом	10	2
83	том что он	1	2
84	что мы имеем	1	2
85	в конце концов	1	2
86	той и другой	2	2
87	тех или иных	1	2
88	и таким образом	1	2
89	как бы ни	1	2
90	равным образом и	1	2
91	но даже и	1	2
92	ни было но	1	2
93	в связи с	8	2
94	к тому что	1	2
95	но все же	1	2
96	во всяком случае	10	2
97	в этом отношении	9	2
98	и в этом	2	2
99	не мог бы	3	2
100	в этом и	2	2
101	то же название	1	2
102	что он не	2	1
103	одним из основных	2	1
104	в самом начале	1	1
105	как и во	1	1
106	в одинаковой мере	2	1
107	одной стороны и	1	1
108	и у нас	1	1
109	и что эти	1	1
110	что еще никогда	1	1
111	между ними в	1	1
112	в сущности в	1	1
113	с тем же	1	1
114	и как бы	2	1
115	кроме того что	1	1
116	вещи так как	1	1
117	что она не	1	1
118	не только то	1	1
119	и том же	2	1
120	том что это	1	1
121	оно вообще не	2	1
122	на том основании	1	1
123	по себе а	1	1
124	и во всяком	2	1
125	том смысле что	2	1
126	все что мы	4	1
127	и только в	1	1
128	но и в	1	1
129	в интересующей нас	1	1
130	того что они	3	1
131	не содержит в	1	1
132	к одному и	5	1
133	есть тот же	1	1
134	в том смысле	3	1
135	как мы говорили	1	1
136	едва ли можно	1	1
137	и тому же	5	1
138	и в результате	3	1
139	и более или	1	1
140	не в состоянии	1	1
141	что оно не	1	1
142	значит что в	1	1
143	когда речь идет	1	1
144	ни в какой	5	1
145	при каких условиях	2	1
146	однако и здесь	1	1
147	один и тот	6	1
148	здесь как и	1	1
149	таким образом получается	1	1
150	и не потому	1	1
151	самый вопрос о	1	1
152	и в самом	1	1
153	может быть самой	1	1
154	если мы скажем	1	1
155	в себе и	2	1
156	этого метода является	2	1
157	связанных друг с	1	1
158	мы подходим к	1	1
159	то что в	3	1
160	то что уже	1	1
161	и во всех	1	1
162	с этой характеристикой	1	1
163	по сравнению со	2	1
164	на этой стадии	3	1
165	в результате этого	1	1
166	непосредственного отношения к	1	1
167	есть в сущности	1	1
168	только в том	4	1
169	когда мы говорим	1	1
170	взаимное понимание и	1	1
171	должны сказать что	2	1
172	и мы будем	1	1
173	того что мы	2	1
174	и тот же	6	1
175	что и в	6	1
176	если бы оно	1	1
177	потому что она	1	1
178	как бы самостоятельный	1	1
179	и понятно что	1	1
180	тот же самый	1	1
181	абстрактное понятие и	1	1
182	независимо от того	3	1
183	к истине и	1	1
184	и в сфере	2	1
185	свое внимание на	1	1
186	иначе как в	1	1
187	мы будем говорить	1	1
188	так как она	2	1
189	в своей повседневной	1	1
190	вопрос об отношении	2	1
191	вещи как ее	1	1
192	видим таким образом	5	1
193	мы скажем что	1	1
194	до сих пор	3	1
195	может быть совершенно	1	1
196	этом и заключается	2	1
197	одного и того	5	1
198	этих моментов в	1	1
199	и здесь мы	1	1
200	мы можем установить	1	1
201	смысле этого слова	10	1
202	далеко не все	1	1
203	не мешает нам	1	1
204	таким образом что	6	1
205	что все эти	1	1
206	пониманию и уразумению	1	1
207	речь идет о	2	1
208	по своей природе	1	1
209	мы не знаем	2	1
210	один из основных	1	1
211	и вместе с	2	1
212	но только в	1	1
213	только потому что	2	1
214	не только потому	1	1
215	и того же	5	1
216	является не просто	2	1
217	потому что оно	2	1
218	одному и тому	5	1
219	в этом случае	4	1
220	мы видим таким	5	1
221	при современном состоянии	1	1
222	ничем не отличаются	1	1
223	выразить и иначе	1	1
224	отвлеченного понятия это	1	1
225	точки зрения что	1	1
226	мы должны сказать	2	1
227	то что нам	1	1
228	для этого метода	1	1
229	что как бы	2	1
230	в зависимости от	6	1
231	того что к	1	1
232	имеет дело с	2	1
233	с тем что	4	1
234	что у них	1	1
235	самим по себе	1	1
236	то же самое	9	1
237	языка или гортани	1	1
238	ни при каких	2	1
239	и все же	1	1
240	что с точки	1	1
241	та или иная	3	1
242	то обстоятельство что	4	1
243	в понятии и	1	1
244	время как другие	1	1
245	и что он	1	1
246	но само по	1	1
247	все же существует	1	1
248	бы его ни	1	1
249	но и к	1	1
250	на первый план	5	1
251	вместе с развитием	1	1
252	оба эти момента	3	1
253	оно все же	1	1
254	в настоящем смысле	1	1
255	точки зрения и	1	1
256	одном и том	2	1
257	является одним из	1	1
258	оно может быть	1	1
259	но так как	2	1
260	того же типа	2	1
261	с этим последним	1	1
262	тот или иной	1	1
263	только в своей	1	1
264	только в смысле	1	1
265	в себя уже	1	1
266	новые и новые	1	1
267	только и может	1	1
268	вовсе не в	1	1
269	а также и	1	1
270	предполагает в качестве	1	1
