N	2gram	Losev_Prob	Myshleni
1	в том	25	195
2	в этом	31	167
3	то что	26	166
4	и в	48	162
5	том что	29	161
6	таким образом	20	147
7	точки зрения	17	143
8	с помощью	2	131
9	что в	12	119
10	не только	28	116
11	того что	8	109
12	так же	7	100
13	и речи	2	96
14	потому что	21	95
15	того чтобы	3	91
16	может быть	11	89
17	с точки	13	89
18	что он	12	86
19	не может	6	81
20	как и	10	79
21	для того	4	78
22	так как	10	78
23	и не	29	78
24	только в	21	75
25	как мы	5	72
26	но и	21	70
27	заключается в	1	67
28	в его	19	67
29	сказать что	13	65
30	мы могли	1	65
31	как бы	10	64
32	вместе с	15	62
33	представляет собой	1	60
34	и что	9	60
35	было бы	12	60
36	в качестве	9	60
37	то же	6	58
38	в отношении	8	55
39	могли бы	2	54
40	в силу	6	53
41	что мы	4	53
42	в самом	7	52
43	в сущности	1	51
44	мы должны	1	50
45	ребенка и	1	49
46	к тому	7	49
47	что они	4	48
48	тем что	2	48
49	мы можем	5	48
50	тогда когда	4	47
51	на основе	1	47
52	мы не	7	47
53	если бы	2	46
54	по отношению	2	45
55	но не	12	45
56	с другой	8	45
57	с тем	7	43
58	тем самым	2	43
59	тому что	2	42
60	как это	5	42
61	отношению к	2	42
62	не является	2	41
63	о том	17	40
64	по своей	3	40
65	одной стороны	5	40
66	никогда не	7	39
67	говорит он	1	39
68	с одной	5	39
69	так и	15	39
70	мы видели	2	38
71	в области	3	38
72	и к	9	37
73	вопрос о	2	37
74	если мы	2	37
75	не в	16	37
76	в этой	14	37
77	с самого	3	36
78	в своем	16	36
79	все эти	12	36
80	самого начала	3	36
81	как в	3	36
82	а не	7	36
83	и его	11	36
84	того же	7	35
85	можно было	4	35
86	в себе	7	35
87	в которой	7	35
88	он не	4	35
89	для себя	6	35
90	связи с	11	34
91	и как	10	34
92	прежде всего	15	33
93	при этом	6	33
94	по себе	5	33
95	именно в	11	32
96	и на	9	32
97	что оно	2	32
98	нас к	1	32
99	по своему	3	32
100	же самое	2	32
101	что и	8	32
102	и тем	4	32
103	но в	17	32
104	слова и	1	32
105	развития и	2	31
106	все же	12	31
107	и то	6	31
108	на то	2	30
109	этом отношении	4	30
110	между тем	2	29
111	могут быть	2	29
112	от того	1	29
113	с этим	3	28
114	самом деле	3	28
115	только что	2	27
116	с этой	4	27
117	в результате	11	27
118	другой стороны	8	27
119	в то	6	27
120	и с	10	27
121	в своей	29	27
122	что все	1	27
123	перед нами	14	27
124	в их	4	26
125	что это	4	26
126	для него	2	26
127	мысли в	2	26
128	в частности	5	26
129	в чем	3	25
130	что она	2	25
131	еще не	4	25
132	уже в	4	25
133	все это	8	25
134	можно сказать	10	25
135	только не	1	25
136	мы уже	2	25
137	это не	8	25
138	в смысле	8	24
139	тот же	6	24
140	понятия и	2	24
141	того как	5	24
142	в какой	5	24
143	так что	18	24
144	что эта	3	24
145	в нем	8	24
146	друг друга	1	23
147	этот вопрос	1	23
148	состоит в	1	23
149	речи с	1	23
150	бы в	2	23
151	ни в	17	23
152	как он	2	23
153	во всяком	7	22
154	не могут	3	22
155	то время	4	22
156	столь же	1	22
157	в известном	2	22
158	к этому	2	21
159	и следовательно	1	21
160	и ее	2	21
161	представление о	2	21
162	в нашем	5	21
163	его в	9	21
164	все время	5	21
165	там где	1	21
166	и все	12	21
167	не имеет	3	21
168	в истории	1	21
169	в сознании	3	21
170	ее в	2	21
171	и более	3	21
172	отношений между	1	21
173	отношение к	3	21
174	в виду	3	20
175	не менее	8	20
176	в котором	5	20
177	в другом	6	20
178	из них	4	20
179	время как	4	20
180	из этих	2	20
181	в такой	3	20
182	и других	1	20
183	а в	8	20
184	говорит что	1	20
185	едва ли	13	20
186	как раз	7	20
187	к выводу	1	20
188	как показывает	2	20
189	на этом	1	20
190	должно быть	1	20
191	по существу	2	20
192	их развития	1	20
193	и их	7	20
194	в связи	11	19
195	во всех	2	19
196	а с	4	19
197	и по	2	19
198	один из	2	19
199	в данном	6	19
200	в той	5	19
201	мы и	2	19
202	как на	1	19
203	с ним	4	19
204	из которых	2	19
205	во всем	5	18
206	к действительности	1	18
207	во всей	1	18
208	но это	7	18
209	и другое	6	18
210	приходит к	2	18
211	этом смысле	4	18
212	всяком случае	6	18
213	чем в	1	18
214	в этих	3	17
215	в своих	3	17
216	их в	1	17
217	казалось бы	1	17
218	в одном	6	17
219	я не	3	17
220	не есть	3	17
221	сих пор	3	17
222	до сих	3	17
223	в свою	4	17
224	в совершенно	1	17
225	тем же	4	17
226	до конца	4	17
227	и для	11	17
228	нам думается	1	17
229	для этого	2	17
230	все что	2	17
231	у него	13	17
232	не станем	1	17
233	этой точки	2	17
234	и от	7	17
235	и есть	4	17
236	то и	7	17
237	обе эти	1	17
238	мы находим	9	17
239	и только	4	17
240	и другие	4	16
241	значение в	1	16
242	мы имеем	3	16
243	вовсе не	18	16
244	такой же	1	16
245	выводу что	1	16
246	которые не	1	16
247	и даже	24	16
248	на этой	2	16
249	по поводу	2	16
250	то в	4	16
251	в мысли	1	16
252	перехода от	1	16
253	мысль что	1	16
254	для нас	14	16
255	которые в	3	16
256	которую мы	2	16
257	таким же	1	16
258	является в	1	15
259	в них	5	15
260	от этого	4	15
261	и это	3	15
262	и является	6	15
263	со всеми	5	15
264	что если	1	15
265	данном случае	5	15
266	на все	1	15
267	тем более	2	15
268	хотя бы	11	15
269	в начале	6	15
270	те же	1	15
271	к мысли	1	15
272	но как	3	15
273	известном смысле	1	15
274	значит что	3	15
275	том же	2	15
276	ничего не	3	15
277	вообще не	1	15
278	как она	1	15
279	является не	2	15
280	который мы	1	15
281	когда он	3	15
282	по этому	5	15
