N	2gram	Savitsky_P	IolandNe
1	и с	2	3
2	что в	4	2
3	должен быть	1	2
4	бы что	1	2
5	и не	12	2
6	в этом	10	2
7	говорить о	2	1
8	для того	3	1
9	и очень	1	1
10	а в	4	1
11	и о	5	1
12	только что	1	1
13	от нее	1	1
14	с другой	5	1
15	более чем	2	1
16	значительной мере	2	1
17	в эту	2	1
18	другой стороны	1	1
19	себя в	1	1
20	и еще	1	1
21	что при	1	1
22	если бы	4	1
23	того что	2	1
24	а с	1	1
25	а также	4	1
26	в значительной	2	1
27	того чтобы	1	1
28	и без	3	1
29	и в	14	1
30	никогда не	1	1
31	и и	2	1
32	все это	2	1
33	и дети	2	1
34	нисколько не	1	1
35	в них	2	1
