N	4gram	Vinokur_Vv	VeschiIm
1	не что иное как	5	12
2	бы то ни было	1	12
3	и т д и	1	11
4	есть не что иное	3	8
5	одно и то же	2	5
6	и тем не менее	3	5
7	с этой точки зрения	2	4
8	дело в том что	3	4
9	в то же время	6	4
10	заключается в том что	2	2
11	в том что он	1	2
12	было бы сказать что	1	2
13	в чем же отличие	1	1
14	это значит не только	1	1
15	и как раз в	1	1
16	так как она есть	1	1
17	и не потому что	1	1
18	и в самом деле	3	1
19	только в том что	1	1
20	все же это не	1	1
21	в том смысле что	1	1
22	какой бы то ни	1	1
23	одном и том же	1	1
24	с другой стороны как	1	1
25	в этом смысле и	1	1
26	как та или иная	1	1
27	может быть и речи	1	1
28	с одной стороны и	3	1
29	в одном и том	1	1
30	и т д а	2	1
31	и т д таким	1	1
32	одного и того же	2	1
33	и т д хотя	1	1
34	т д таким образом	1	1
35	и т д словом	1	1
36	и т д в	2	1
37	ответ на вопрос о	1	1
38	и здесь как и	1	1
39	но в то же	3	1
40	другой стороны как это	1	1
41	и т д но	5	1
42	и т д все	2	1
43	не может быть и	1	1
44	т д все это	1	1
45	т е не только	1	1
46	заключается в том чтобы	1	1
47	еще и потому что	1	1
48	и в этом отношении	1	1
49	также и то что	1	1
50	если бы оно было	1	1
