N	2gram	Berdyaev_M	NovoeSre
1	новой истории	4	67
2	а не	36	17
3	не может	39	16
4	и в	61	16
5	во имя	26	15
6	совсем не	3	12
7	и не	26	11
8	и есть	21	10
9	что в	12	9
10	истории и	2	9
11	в эпоху	2	9
12	в том	9	8
13	как не	1	8
14	жизни и	6	8
15	он не	34	8
16	в этом	34	7
17	может быть	42	7
18	в новой	1	7
19	не будет	3	7
20	это есть	4	7
21	культуры и	2	7
22	как и	14	7
23	к новому	2	7
24	возврат к	1	6
25	воля к	1	6
26	новая история	1	6
27	ни в	3	6
28	не знает	12	6
29	не в	16	6
30	лишь в	8	6
31	от бога	1	6
32	кризис культуры	1	6
33	высшей степени	4	6
34	с его	6	6
35	но это	8	6
36	в высшей	4	6
37	никогда не	30	6
38	и к	9	5
39	не только	42	5
40	в ней	23	5
41	истории в	2	5
42	все это	6	5
43	xix века	4	5
44	в жизни	7	5
45	в нем	26	5
46	должен быть	4	5
47	культуры в	1	5
48	перестает быть	1	4
49	и потому	17	4
50	к старому	1	4
51	жизни к	1	4
52	и мы	2	4
53	по своему	3	4
54	быть может	9	4
55	в час	1	4
56	не во	1	4
57	должно быть	5	4
58	потому что	25	4
59	большую роль	1	4
60	это не	10	4
61	прежде всего	18	4
62	в них	5	4
63	то что	10	4
64	не было	25	4
65	есть лишь	23	4
66	и все	13	4
67	не менее	1	4
68	не имеет	7	4
69	значит что	4	4
70	античного мира	1	4
71	и для	7	4
72	о том	5	4
73	наше время	1	4
74	исторической эпохи	1	3
75	верить в	1	3
76	во всех	3	3
77	вопрос о	7	3
78	не означает	2	3
79	в наше	2	3
80	должна быть	7	3
81	имя свободы	2	3
82	она не	9	3
83	тому как	2	3
84	в ее	3	3
85	смысле слова	7	3
86	что такое	2	3
87	в прошлом	1	3
88	ночной стихии	1	3
89	было такого	1	3
90	за пределы	5	3
91	старого мира	1	3
92	конечно не	3	3
93	подобно тому	2	3
94	в истории	2	3
95	не существует	5	3
96	в духе	6	3
97	с другой	1	3
98	в основе	4	3
99	нашей эпохи	2	3
100	к ним	1	3
101	в россии	2	3
102	бога и	13	3
103	сказать что	5	3
104	французской революции	1	3
105	царства божьего	1	3
106	гуманистическое самоутверждение	2	3
107	наряду с	1	3
108	разлагается и	2	3
109	духа и	6	3
110	с тем	10	3
111	не значит	2	3
112	к жизни	1	3
113	не есть	21	3
114	волю к	1	3
115	в своей	18	3
116	в мире	12	3
117	как в	9	3
118	жизни в	3	3
119	революции и	5	3
120	но и	34	3
121	это было	1	3
122	к ее	1	3
123	жизни не	2	3
124	к тому	6	3
125	человека и	19	3
126	еще не	1	3
127	от всякого	2	2
128	с этим	4	2
129	к подлинному	1	2
130	все они	1	2
131	и от	3	2
132	в религиозном	1	2
133	еще до	2	2
134	и весь	1	2
135	свободы человека	2	2
136	это и	7	2
137	ни к	2	2
138	к духовному	1	2
139	не человек	1	2
140	в центре	4	2
141	стремиться к	1	2
142	и что	4	2
143	возвращается к	2	2
144	не могли	1	2
145	на протяжении	2	2
146	свои права	1	2
147	к революции	5	2
148	на путях	4	2
149	это связано	1	2
150	что она	5	2
151	личность в	1	2
152	права и	1	2
153	не имеют	2	2
154	в религии	1	2
155	духовной жизни	3	2
156	и заключается	1	2
157	на гибель	3	2
158	хотя бы	8	2
159	в судьбах	3	2
160	такого рода	1	2
161	мы не	2	2
162	нем нет	1	2
163	будет уже	1	2
164	русской революции	3	2
165	того чтобы	4	2
166	на вершинах	1	2
167	хотя и	2	2
168	свобода духа	5	2
169	духовного мира	1	2
170	так и	5	2
171	самой жизни	1	2
172	этот мир	2	2
173	если нет	9	2
174	но она	3	2
175	сама жизнь	1	2
176	человека во	1	2
177	думать что	4	2
178	она порождает	2	2
179	можно было	1	2
180	и должно	3	2
181	свободы от	1	2
182	каждого человека	3	2
183	с их	2	2
184	в русском	1	2
185	у него	38	2
186	место в	4	2
187	свободы и	13	2
188	а в	4	2
189	в будущем	1	2
190	в обществе	1	2
191	свободы в	12	2
192	все время	3	2
193	когда мы	2	2
194	и даже	1	2
195	всемирной истории	2	2
196	люди не	1	2
197	в свои	2	2
198	и с	6	2
199	мы говорим	1	2
200	связана с	9	2
201	жизни как	1	2
202	для этого	3	2
203	нет и	6	2
204	могут быть	2	2
205	в себе	12	2
206	и на	9	2
207	быть в	1	2
208	уже не	8	2
209	я не	4	2
210	не знал	7	2
211	что все	5	2
212	время как	2	2
213	глубины и	1	2
214	учителей церкви	1	2
215	духа в	5	2
216	все эти	3	2
217	есть в	3	2
218	же как	1	2
219	вместе с	7	2
220	в духовной	2	2
221	но я	1	2
222	божественной жизни	2	2
223	мира и	6	2
224	роль в	2	2
225	как будто	4	2
226	в природе	1	2
227	но не	8	2
228	из глубины	5	2
229	в то	2	2
230	том что	7	2
231	и социализм	2	2
232	не будут	2	2
233	ведь и	1	2
234	мир и	3	2
235	и социализмом	1	2
236	так же	5	2
237	для нового	1	2
238	xix век	1	2
239	и это	16	2
240	можно назвать	1	2
241	в смысле	1	2
242	но для	2	2
243	себя в	6	2
244	к богу	5	2
245	но в	12	2
246	мысли в	1	2
247	мысли и	2	2
248	может уже	3	2
249	обращение к	1	2
250	средневековья и	1	2
251	не к	6	2
252	к более	1	2
253	связаны с	1	2
254	в той	3	1
255	и греческой	1	1
256	все в	7	1
257	всех своих	1	1
258	мир не	2	1
259	и мир	2	1
260	возврата к	4	1
261	в самом	15	1
262	ближе к	1	1
263	во всем	5	1
264	к одному	2	1
265	своей первооснове	1	1
266	но те	1	1
267	нет ничего	9	1
268	ее на	1	1
269	неизбежно должна	1	1
270	от нее	5	1
271	что совершается	1	1
272	всегда была	2	1
273	попал в	1	1
274	сами не	1	1
275	был и	1	1
276	привело к	1	1
277	бесконечность не	1	1
278	шекспира и	1	1
279	и хочет	1	1
280	государство не	1	1
281	том случае	1	1
282	и мысли	1	1
283	то он	3	1
284	все что	5	1
285	человек как	1	1
286	человека так	1	1
287	человека в	26	1
288	это мало	1	1
289	это одна	1	1
290	творчества не	1	1
291	начинается в	4	1
292	но оно	1	1
293	на человека	2	1
294	силы но	2	1
295	не терпит	2	1
