N	2gram	Nazirov_Vr	Stilisti
1	и в	8	42
2	как бы	4	30
3	не только	9	28
4	и т.п	2	25
5	прежде всего	1	22
6	и т.д	1	21
7	то же	5	16
8	но и	7	16
9	и не	5	14
10	может быть	4	13
11	не может	2	13
12	как и	6	12
13	точки зрения	2	11
14	в этом	8	10
15	в себе	2	10
16	и как	3	10
17	отнюдь не	2	10
18	при этом	4	9
19	все же	6	9
20	эти слова	3	9
21	то что	7	9
22	в то	5	9
23	таким образом	2	8
24	и это	2	8
25	в ней	4	8
26	тем самым	1	8
27	что же	1	8
28	с его	3	8
29	ничего не	1	8
30	так и	1	7
31	и его	3	7
32	потому что	1	7
33	же время	5	7
34	было бы	1	7
35	той же	1	7
36	и от	1	7
37	никогда не	2	7
38	во всех	1	6
39	в его	3	6
40	в нем	6	6
41	в конце	3	6
42	в процессе	1	6
43	но ведь	1	6
44	бы в	1	6
45	в свою	2	6
46	с помощью	1	6
47	одно и	1	6
48	в форме	1	6
49	в этой	2	6
50	в той	2	5
51	в самом	1	5
52	уже в	4	5
53	и их	1	5
54	с точки	2	5
55	и с	6	5
56	но в	6	5
57	вместе с	2	5
58	а с	2	5
59	а в	2	5
60	у которого	1	5
61	и то	2	5
62	независимо от	1	5
63	и наконец	1	5
64	один из	1	4
65	что это	1	4
66	все это	4	4
67	в качестве	1	4
68	в одном	1	4
69	его в	3	4
70	и все	7	4
71	да и	1	4
72	уже не	2	4
73	о том	4	4
74	было в	1	4
75	о своей	1	4
76	свою очередь	1	4
77	на это	2	4
78	так же	4	4
79	в целом	1	4
80	не забудем	1	4
81	себя в	1	4
82	не просто	1	4
83	того что	1	4
84	ответ на	2	3
85	короче говоря	1	3
86	что у	3	3
87	вот так	1	3
88	приближается к	1	3
89	для нас	4	3
90	в том	3	3
91	отношения к	2	3
92	несмотря на	4	3
93	для него	2	3
94	хотя и	1	3
95	в ее	1	3
96	забудем что	1	3
97	из которых	1	3
98	и уже	3	3
99	в виду	4	3
100	быть может	1	3
101	связи с	3	3
102	и даже	6	3
103	но вот	1	3
104	но для	1	3
105	вряд ли	1	3
106	как в	1	3
107	по своему	1	3
108	том что	3	3
109	роль в	1	3
110	об этом	5	3
111	конце концов	1	3
112	еще не	2	3
113	до того	1	3
114	но при	1	3
115	его и	2	3
116	то он	1	3
117	выражение в	1	3
118	в котором	6	3
119	между тем	5	3
120	во второй	1	3
121	в частности	1	3
122	не с	1	3
123	о своем	1	3
124	в начале	6	3
125	целый ряд	4	3
126	от того	1	3
127	их в	2	3
128	не будет	1	3
129	жизни и	1	3
130	не мог	2	3
131	это не	4	3
132	из них	2	3
133	и всего	1	2
134	для всех	1	2
135	в душе	1	2
136	и он	2	2
137	и этот	1	2
138	отражает и	1	2
139	каждый из	1	2
140	еще более	1	2
141	этом отношении	1	2
142	с ним	4	2
143	о чем	2	2
144	но как	2	2
145	это слово	1	2
146	иными словами	1	2
147	следует искать	1	2
148	но это	2	2
149	в их	1	2
150	в своих	4	2
151	не было	5	2
152	на этот	1	2
153	из героев	1	2
154	том же	2	2
155	из двух	1	2
156	равно как	1	2
157	но не	1	2
158	тем что	3	2
159	в жизни	1	2
160	несколько позже	1	2
161	в связи	3	2
162	ясно что	1	2
163	что он	4	2
164	не есть	1	2
165	в своей	2	2
166	человеком в	1	2
167	в мире	2	2
168	в этих	1	2
169	это же	1	2
170	ли не	1	2
171	и сам	1	2
172	ли он	1	2
173	по своей	1	2
174	в каком	1	2
175	тому же	1	2
176	но мы	1	2
177	почувствовал что	1	2
178	на первый	2	2
179	сих пор	1	2
180	и вообще	1	2
181	первый взгляд	1	2
182	с этим	1	2
183	нет ничего	1	2
184	к этому	3	2
185	человека в	3	2
186	вошел в	1	2
187	также и	1	2
188	не всегда	1	2
189	он не	3	2
190	этот процесс	1	2
191	в него	2	2
192	нужно было	1	2
193	в нашей	2	2
194	но об	1	2
195	у человека	1	2
196	человека с	2	2
197	человека и	1	2
198	отношение к	2	2
199	у себя	1	2
200	он сказал	1	2
201	и первым	1	2
202	до конца	1	2
203	к которому	1	2
204	в первой	1	2
205	роль играет	1	2
206	место в	2	2
207	однако в	1	2
208	друг друга	1	2
209	к нему	1	2
210	в особенности	1	1
211	к сожалению	1	1
212	что в	7	1
213	ближе к	1	1
214	с большими	1	1
215	то в	1	1
216	как к	1	1
217	именно к	1	1
218	дает нам	1	1
219	которую они	1	1
220	только не	1	1
221	в другой	1	1
222	все что	1	1
223	до сих	1	1
224	он уже	1	1
225	еще раз	1	1
226	можно говорить	1	1
227	которым он	1	1
228	человека к	1	1
229	ему в	1	1
230	одним словом	1	1
231	как нам	1	1
232	был очень	1	1
233	русской литературе	3	1
234	если в	1	1
235	также что	1	1
236	в романе	6	1
237	того как	1	1
238	время и	2	1
239	эту историю	1	1
240	в основном	1	1
241	и уж	1	1
242	писателя не	1	1
243	через несколько	1	1
244	которой не	1	1
245	об одном	1	1
246	его с	2	1
247	что я	2	1
248	связан с	1	1
249	творческой фантазии	1	1
250	которых он	1	1
251	из всех	1	1
252	этот момент	2	1
253	как говорит	1	1
254	людей было	1	1
255	как раз	2	1
256	души и	1	1
257	действительной истории	1	1
258	тем не	1	1
259	россию и	1	1
260	такое же	1	1
261	в литературе	1	1
262	нашего времени	2	1
263	о нем	6	1
264	искать в	1	1
265	о которой	2	1
266	в предшествующей	1	1
267	одному из	1	1
268	не являются	1	1
269	это будет	1	1
270	х годов	4	1
271	с исторической	1	1
272	другой стороны	1	1
273	вы только	1	1
274	себе не	1	1
275	предположить что	1	1
276	у него	5	1
277	все равно	1	1
278	что слово	1	1
279	что самые	1	1
280	указания на	1	1
281	похож на	1	1
282	в мысли	1	1
283	как же	2	1
284	был похож	1	1
285	и другом	1	1
286	а о	1	1
287	и почувствовал	1	1
288	сказал что	1	1
289	крайней мере	1	1
290	одним из	3	1
291	же как	2	1
292	движением руки	1	1
293	именно в	1	1
294	общественное положение	1	1
295	и какая	1	1
296	он у	1	1
297	в таком	1	1
298	может в	1	1
299	в числе	1	1
300	и эстетический	1	1
301	своих литературных	2	1
302	я не	3	1
303	уж конечно	1	1
304	доступ в	1	1
305	несравненно более	1	1
306	же быть	1	1
307	одном из	1	1
308	внимание к	1	1
309	они как	1	1
310	следовательно и	1	1
