N	4gram	Voloshinov	Myslijsy
1	в то же время	7	13
2	одного и того же	1	9
3	одной и той же	4	7
4	одно и то же	5	7
5	о происхождении языка и	1	4
6	не что иное как	2	4
7	вместе с тем и	2	4
8	то что мы называем	2	4
9	одним и тем же	1	4
10	в одном и том	1	3
11	по себе не может	1	3
12	и в этом случае	1	3
13	к одной и той	1	3
14	одном и том же	2	3
15	в том и другом	1	3
16	заключает в себе все	1	2
17	вопроса о происхождении языка	1	2
18	и то же слово	2	2
19	одна и та же	1	2
20	так а не иначе	1	2
21	то же время и	1	2
22	вопрос о происхождении языка	1	2
23	и по отношению к	1	2
24	само по себе не	1	1
25	человек не только не	1	1
26	и тем самым не	1	1
27	что в одном и	1	1
28	допустим что перед нами	1	1
29	нет и не может	1	1
30	а не наоборот то	1	1
31	но этого еще мало	1	1
32	в процессе образования новых	1	1
33	о том что такое	1	1
34	в том что язык	1	1
35	тем не менее и	1	1
36	не может обойтись без	1	1
37	сих пор говоря о	1	1
38	но даже и в	1	1
39	и не может быть	1	1
40	он в то же	1	1
41	вопрос о том какое	1	1
42	иметь в виду что	1	1
43	распадаются на две группы	1	1
44	ничем не связанных между	1	1
45	но вместе с тем	1	1
46	то же время служит	1	1
47	одну и ту же	2	1
48	вопрос только в том	1	1
49	в отношении языка это	1	1
50	есть не что иное	2	1
