N	4gram	Trubetskoy	TeoriaLi
1	в то же время	2	8
2	состоит в том что	1	5
3	одного и того же	1	4
4	мы имеем в виду	1	3
5	в том числе и	4	2
6	с этой точки зрения	2	2
7	бы то ни было	2	2
8	но в то же	1	2
9	и в то же	1	2
10	слове о полку игореве	1	2
11	в слове о полку	1	2
12	и те и другие	2	1
13	для того чтобы такое	1	1
14	в области духовной культуры	1	1
15	в одном и том	1	1
16	а с другой стороны	1	1
17	одном и том же	1	1
18	еще и потому что	1	1
19	ни к чему не	1	1
20	точно так же как	2	1
21	в том или ином	1	1
22	неизбежно заключает в себе	1	1
