1	в первый раз	2	3
2	все что есть	1	3
3	к тому что	5	3
4	за то что	1	3
5	то что мы	6	3
6	в том что	47	2
7	не в силах	1	2
8	никогда еще не	1	2
9	и т д	15	2
10	но и в	9	2
11	том что он	3	2
12	то что я	10	2
13	а между тем	13	2
14	во что бы	1	1
15	оно не имеет	2	1
16	в человеке и	3	1
17	жизни и потому	2	1
18	в последних словах	1	1
19	по крайней мере	17	1
20	в сознании и	3	1
21	и до того	1	1
22	и вместе с	1	1
23	и все это	2	1
24	тому что все	1	1
25	т д и	1	1
26	давно уже не	1	1
27	в этих словах	2	1
28	хотя бы и	3	1
29	по сравнению с	1	1
30	вместе с тем	8	1
31	так и в	8	1
32	его если не	1	1
33	что бы то	1	1
34	что не всегда	1	1
35	не могут быть	9	1
36	есть одна из	1	1
37	что истина не	1	1
38	то ни стало	1	1
39	и что в	4	1
40	потому что оно	3	1
41	даже что в	1	1
42	не могут и	1	1
43	и в этом	12	1
44	есть прежде всего	2	1
45	д и т	1	1
46	что на том	1	1
47	что все в	1	1
48	и есть уже	1	1
49	но все же	2	1
50	в человека в	1	1
51	что мы забыли	1	1
52	в одно целое	5	1
53	после того как	6	1
54	бы то ни	3	1
55	том пути на	1	1
56	состояние человеческого духа	1	1
57	сама она и	1	1
58	то и другое	9	1
59	с другой стороны	12	1
60	если б и	1	1
61	другой стороны в	1	1
62	его связь с	2	1
63	и то и	4	1
64	с которым это	1	1
65	есть то что	3	1
66	я представляю себе	2	1
67	на том пути	1	1
68	имеет своим предметом	1	1
69	будем говорить о	1	1
70	в истории и	1	1
71	как и в	7	1
72	и есть то	1	1
73	того что он	1	1
74	которые не могли	1	1
75	законы по которым	1	1
76	и теперь еще	1	1
77	и вообще в	1	1
78	нашего времени с	1	1
79	и в жизни	3	1
