N	3gram	Vygotskiy_	Sotsiolo
1	по отношению к	11	2
2	дело не в	1	2
3	в том что	30	2
4	но ведь это	1	2
5	в конце концов	1	2
6	не в том	1	2
7	и в то	1	1
8	в то же	2	1
9	по существу дела	4	1
10	друг от друга	4	1
11	что в них	1	1
12	в конечном счете	4	1
13	с одной стороны	14	1
14	в связи с	3	1
15	то же самое	4	1
16	том и заключается	1	1
17	на первый план	3	1
18	то что в	2	1
19	по крайней мере	1	1
20	о том как	1	1
21	в этой области	1	1
22	то же время	2	1
23	только то что	2	1
24	в результате его	1	1
25	в любой области	1	1
26	между тем именно	1	1
27	ведь это же	1	1
28	сама по себе	3	1
29	благодаря тому что	3	1
30	а с другой	6	1
31	во всяком случае	5	1
32	и в этом	1	1
33	в том и	1	1
34	не может не	1	1
35	что все это	1	1
36	тотчас же по	1	1
