N	2gram	Medvedev_F	Vladivir
1	и в	54	116
2	то что	14	71
3	и не	34	67
4	в году	2	65
5	у него	1	65
6	не только	14	65
7	в этом	39	53
8	в том	17	52
9	том что	3	51
10	что в	10	48
11	но и	18	47
12	в конце	2	41
13	в его	30	40
14	и с	17	39
15	и даже	7	36
16	сказать что	3	36
17	также и	1	36
18	учение о	4	35
19	так что	2	35
20	потому что	2	33
21	что он	8	32
22	не может	26	31
23	о том	1	30
24	только в	6	30
25	как мы	10	29
26	никогда не	6	29
27	для него	9	29
28	вовсе не	18	27
29	а в	11	27
30	не было	7	26
31	а к	2	25
32	в себе	4	25
33	но в	9	25
34	в то	14	25
35	и то	1	25
36	и его	27	25
37	а также	1	24
38	даже и	5	24
39	точки зрения	21	23
40	между прочим	1	23
41	он не	8	23
42	может быть	30	23
43	что же	6	23
44	кроме того	3	22
45	он был	1	22
46	ни в	3	22
47	так как	4	22
48	в виде	2	22
49	в своей	16	21
50	вместе с	8	21
51	а именно	3	20
52	и что	2	20
53	в своем	12	20
54	для нас	1	20
55	прежде всего	34	20
56	не менее	12	19
57	в дальнейшем	3	19
58	по поводу	1	19
59	как раз	8	19
60	тем не	2	19
61	таким образом	28	19
62	так и	24	19
63	и потому	9	19
64	как и	18	18
65	не мог	1	18
66	не в	16	18
67	не был	1	18
68	хотя и	3	18
69	как это	8	18
70	с его	12	18
71	то это	1	17
72	что и	10	17
73	в этой	10	17
74	едва ли	3	17
75	и если	2	17
76	а не	11	17
77	у нас	6	17
78	все же	8	16
79	уже не	9	16
80	к тому	6	16
81	не есть	4	16
82	совсем не	2	16
83	и все	9	16
84	было бы	10	16
85	того что	7	16
86	в котором	2	16
87	а н	3	16
88	и к	7	15
89	то же	16	15
90	в своих	3	15
91	к этому	3	15
92	в эти	1	15
93	несмотря на	2	15
94	в связи	11	15
95	иной раз	2	15
96	до конца	9	15
97	но это	4	15
98	это было	3	15
99	того же	1	14
100	все эти	12	14
101	раз и	6	14
102	его жизни	1	14
103	же касается	1	14
104	мы уже	1	14
105	и на	10	14
106	с а	1	14
107	уже в	1	14
108	и как	6	14
109	во всем	3	13
110	в результате	8	13
111	с тем	11	13
112	можно сказать	2	13
113	так же	5	13
114	на этот	1	13
115	и от	9	13
116	что это	1	13
117	да и	1	13
118	дело в	1	13
119	жизни и	10	13
120	по себе	10	12
121	только на	8	12
122	и это	4	12
123	и по	3	12
124	в нем	25	12
125	то в	3	12
126	если не	1	12
127	всяком случае	6	12
128	ничего не	5	12
129	во всяком	6	12
130	есть только	3	12
131	связи с	12	12
132	учения о	2	12
133	при этом	14	11
134	но что	2	11
135	более или	7	11
136	в данном	2	11
137	хотя бы	10	11
138	в которой	5	11
139	на то	2	11
140	он уже	1	11
141	и здесь	8	11
142	в основном	3	11
143	в отношении	3	11
144	еще в	2	11
145	все это	11	11
146	то он	1	11
147	или менее	7	11
148	и о	3	11
149	конце концов	2	11
150	в самом	17	10
151	даже в	2	10
152	такого рода	1	10
153	с точки	17	10
154	в качестве	2	10
155	что его	1	10
156	можно было	1	10
157	что для	3	10
158	отнюдь не	13	10
159	к нему	3	10
160	с ним	3	10
161	в россии	4	10
162	еще не	6	10
163	собственно говоря	1	10
164	которую он	1	10
165	в истории	10	10
166	здесь не	5	10
167	он и	3	10
168	о нем	1	10
169	в ней	15	10
170	но не	5	10
171	и сам	1	9
172	именно в	12	9
173	с этим	6	9
174	смысле слова	1	9
175	и психологии	1	9
176	с другой	8	9
177	мы знаем	3	9
178	и притом	2	9
179	но он	2	9
180	а только	4	9
181	но как	2	9
182	а с	1	9
183	не будет	2	9
184	этом смысле	3	9
185	мы будем	1	9
186	из этого	2	9
187	это время	1	9
188	отношения к	6	9
189	что если	2	9
190	это не	4	9
191	же время	13	9
192	по существу	8	9
193	что касается	1	9
194	в целом	7	9
195	с этой	4	8
196	это значит	1	8
197	не столько	5	8
198	в этих	3	8
199	тем что	6	8
200	в это	1	8
201	в этот	2	8
202	конечно не	5	8
203	себя в	1	8
204	в смысле	2	8
205	в чем	2	8
206	значит что	1	8
207	и особенно	3	8
208	как в	12	8
209	со стороны	7	8
210	должно быть	13	8
211	как бы	10	8
212	и для	5	8
213	xix века	1	8
214	только и	7	8
215	когда он	3	8
216	из этих	4	8
217	отношение к	4	8
218	мы и	1	7
219	к этой	4	7
220	в одном	2	7
221	в них	4	7
222	но все	4	7
223	к ней	3	7
224	а а	1	7
225	на первый	1	7
226	но даже	2	7
227	на первом	1	7
228	в нашем	2	7
229	за пределы	2	7
230	даже не	2	7
231	о его	1	7
232	и есть	1	7
233	который был	1	7
234	мы видели	5	7
235	если бы	8	7
236	к его	3	7
237	не имеет	2	7
238	в каком	1	7
239	философии но	1	7
240	ничего общего	2	7
241	бы и	1	7
242	и вот	2	7
243	того чтобы	4	7
244	из его	2	7
245	при помощи	2	7
246	но если	1	7
247	нисколько не	2	7
248	на его	2	7
249	первый план	1	7
250	в таком	2	7
251	то и	2	7
252	другими словами	1	7
253	и ни	2	7
254	е в	2	7
255	как он	2	7
256	мы бы	1	7
257	по этому	2	7
258	же в	4	7
259	был и	2	6
260	можно говорить	2	6
261	и очень	1	6
262	же и	2	6
263	тому что	3	6
264	те же	1	6
265	в виду	2	6
266	другой стороны	5	6
267	его на	1	6
268	для того	3	6
269	то как	1	6
270	в отличие	2	6
271	настоящее время	11	6
272	на него	3	6
273	если мы	5	6
274	той же	2	6
275	указать на	2	6
276	по мнению	1	6
277	его в	5	6
278	чем в	1	6
279	на себя	1	6
280	под влиянием	3	6
281	и речи	2	6
282	но только	1	6
283	по своей	1	6
284	он пишет	2	6
285	она была	3	6
286	не раз	1	6
287	главным образом	5	6
288	не с	2	6
289	и из	1	6
290	и вполне	1	6
291	должен был	3	6
292	так или	1	6
293	в в	2	6
294	учении о	1	6
295	в настоящее	11	6
296	данном случае	2	6
297	мы не	6	6
298	которых он	1	6
299	а это	1	6
300	и тут	1	6
301	и всегда	1	6
302	здесь в	2	6
303	или иначе	2	6
304	в общем	8	6
305	к своему	1	6
306	по своему	1	6
307	не говоря	1	6
308	жизнь и	3	6
309	тем более	1	6
310	отличие от	2	6
311	в жизни	3	6
312	есть и	1	6
313	от того	2	6
314	такой же	2	6
315	и наконец	7	6
316	что на	3	6
317	есть не	1	6
318	говоря уже	1	5
319	еще более	6	5
320	говорит о	1	5
321	весь этот	1	5
322	и до	8	5
323	отношением к	2	5
324	на эту	1	5
325	вопрос о	3	5
326	в каких	1	5
327	не вполне	1	5
328	как на	5	5
329	и еще	1	5
330	без всякого	1	5
331	из них	5	5
332	вся эта	2	5
333	бы то	4	5
334	что они	4	5
335	во всех	9	5
336	что у	1	5
337	а наоборот	3	5
338	говорит в	3	5
339	эти три	1	5
340	то ни	5	5
341	и тем	3	5
342	что бы	6	5
343	он в	3	5
344	вера в	1	5
345	однако и	3	5
346	в частности	4	5
347	один из	4	5
348	сводится к	6	5
349	все то	1	5
350	жизни в	2	5
351	в свою	8	5
352	и больше	1	5
353	мы имеем	1	5
354	по преимуществу	6	5
355	только при	2	5
356	друг друга	4	5
357	ее в	3	5
358	первом плане	1	5
359	место в	8	5
360	в их	16	5
361	этого не	1	5
362	и без	1	5
363	на все	3	5
364	со своей	1	5
365	но уже	1	5
366	с самого	2	5
367	эти последние	1	5
368	она не	8	5
369	но она	1	5
370	учение об	1	5
371	далеко не	2	5
372	только то	1	5
373	во многом	2	5
374	бытия и	1	5
375	и прежде	3	5
376	в области	6	5
377	и только	5	5
378	не удалось	1	5
379	не к	2	5
380	с которыми	1	4
381	и другие	3	4
382	только что	1	4
383	ровно ничего	1	4
384	глубоко и	2	4
385	нужно сказать	1	4
386	все дело	3	4
387	представление о	2	4
388	их в	2	4
389	по своим	1	4
390	поскольку он	1	4
391	относиться к	2	4
392	мы с	1	4
393	не могли	2	4
394	мы увидим	5	4
395	уже о	1	4
396	уже и	1	4
397	не что	1	4
398	наряду с	1	4
399	том чтобы	3	4
400	с этими	2	4
401	были в	1	4
402	она есть	2	4
403	крайней мере	1	4
404	не то	3	4
405	сам по	2	4
406	только не	2	4
407	что иное	1	4
408	с одной	5	4
409	время в	4	4
410	на этих	1	4
411	в теории	1	4
412	нет и	2	4
413	или не	1	4
414	не о	7	4
415	но для	4	4
416	и всего	1	4
417	идеализм и	1	4
418	и всю	2	4
419	ясно что	3	4
420	больше всего	1	4
421	всех своих	2	4
422	если оно	1	4
423	на этом	2	4
424	чтобы он	2	4
425	о необходимости	2	4
426	в духе	1	4
427	вещь и	1	4
428	кажется что	1	4
429	в тех	1	4
430	понимает как	1	4
431	независимо от	5	4
432	нам кажется	2	4
433	в статье	5	4
434	в особенности	7	4
435	не так	4	4
436	и против	1	4
437	как с	2	4
438	в сущности	3	4
439	не на	3	4
440	не могут	8	4
441	с ней	1	4
442	заключается в	1	4
443	по истории	2	4
444	и просто	1	4
445	и т	22	4
446	с начала	2	4
447	возникает вопрос	1	4
448	ведь если	1	4
449	по крайней	1	4
450	перед нами	3	4
451	только одно	1	4
452	это и	7	4
453	ни к	1	4
454	совершенно не	5	4
455	и более	4	4
456	тех же	2	4
457	вполне понятно	2	4
458	лишь в	15	4
459	для нее	2	4
460	знаем что	2	4
461	мог бы	1	4
462	и во	2	4
463	одной из	2	4
464	т д	11	4
465	только с	1	4
466	у них	3	4
467	как к	5	4
468	в более	2	4
469	ему в	1	4
470	тем самым	5	4
471	не будем	1	4
472	всех этих	6	4
473	этом отношении	7	4
474	как у	1	4
475	на самом	8	4
476	этом не	2	4
477	себе в	2	4
478	и вовсе	1	4
479	но нельзя	1	4
480	в такой	3	4
481	это конечно	1	4
482	во второй	3	4
483	в науке	2	4
484	одной стороны	5	4
485	можно найти	1	4
486	оно должно	3	4
487	знаем в	1	4
488	с бытием	1	4
489	и других	4	4
490	так в	3	4
491	и эта	2	4
492	же это	2	4
493	иное как	1	4
494	от него	2	3
495	говорит здесь	1	3
496	здесь же	1	3
497	в последнее	1	3
498	можно и	2	3
499	к такому	1	3
500	очень много	1	3
501	ни стало	4	3
502	строго говоря	1	3
503	не как	7	3
504	с известной	1	3
505	самом же	1	3
506	его от	5	3
507	исходить из	4	3
508	правда в	3	3
509	ранний период	1	3
510	притом в	1	3
511	роль в	2	3
512	является для	2	3
513	отличается от	4	3
514	прочим и	1	3
515	так например	3	3
516	бы сказали	1	3
517	не существует	1	3
518	и такие	1	3
519	это последнее	3	3
520	только как	3	3
521	в другом	2	3
522	отметить что	2	3
523	самого начала	2	3
524	свою очередь	6	3
525	именно так	1	3
526	находится в	1	3
527	связи со	3	3
528	для понимания	1	3
529	который в	1	3
530	на котором	2	3
531	к этим	2	3
532	точка зрения	3	3
533	гораздо более	1	3
534	влияние на	3	3
535	него как	1	3
536	первого же	1	3
537	здесь нет	1	3
538	но из	2	3
539	время и	2	3
540	можно думать	1	3
541	начала и	2	3
542	тогда и	1	3
543	и через	2	3
544	и всякой	1	3
545	не была	2	3
546	одним из	1	3
547	и чисто	2	3
548	что не	4	3
549	между ними	3	3
550	же как	3	3
551	в мире	4	3
