N	4gram	Tiupa_Lite	Tvorches
1	в то же время	12	24
2	и в то же	1	6
3	но в то же	1	6
4	дело в том что	2	4
5	в том что в	1	3
6	и не может быть	1	3
7	нет и не может	1	2
8	в том же году	3	2
9	то же время он	1	2
10	что в конечном счете	1	1
11	эпилоге преступления и наказания	1	1
12	все более и более	1	1
13	лишь в диалоге с	1	1
14	не может быть ни	1	1
15	одного и того же	1	1
16	во всей русской литературе	1	1
17	в войне и мире	1	1
18	в борисе годунове и	1	1
19	в эпилоге преступления и	1	1
20	дело не только в	2	1
21	бы то ни было	1	1
22	в том что этот	1	1
23	в стихах и прозе	1	1
24	в начале xix века	1	1
