N	3gram	Bakhtin_Pr	Poddanst
1	то же время	10	7
2	в то же	10	7
3	в отношении к	1	5
4	в том что	10	4
5	не только в	2	4
6	сами по себе	4	3
7	с точки зрения	21	3
8	в полной мере	1	2
9	заключается в том	2	2
10	в ней не	1	2
11	и в то	3	2
12	в том числе	1	2
13	и не только	1	2
14	там где он	1	1
15	что дело идет	2	1
16	не было бы	1	1
17	друг с другом	4	1
18	как она есть	1	1
19	капитализм и тем	1	1
20	именно потому что	3	1
21	и в частности	1	1
22	воспринимает не как	1	1
23	не входят в	1	1
24	в этом не	1	1
25	далеко не все	1	1
26	высшая реальность и	1	1
27	но в то	5	1
28	в противоречии с	1	1
29	мира а не	1	1
30	том числе и	1	1
31	само по себе	4	1
32	тем же в	1	1
33	не может быть	8	1
34	та или иная	1	1
35	прошлое настоящее и	1	1
36	только в условиях	1	1
37	в большинстве случаев	3	1
38	как одна из	1	1
39	в отличие от	3	1
40	можно говорить о	1	1
41	в этом смысле	12	1
42	по сравнению с	2	1
43	для них в	1	1
44	из тех кто	1	1
45	и то что	1	1
46	и именно в	1	1
47	которые были бы	2	1
48	в каком смысле	1	1
49	в творчестве достоевского	5	1
50	хотя бы и	3	1
51	дело идет именно	1	1
52	в нем в	1	1
53	или иная форма	1	1
54	во всяком случае	3	1
55	для того чтобы	3	1
56	настоящее и будущее	1	1
57	видим в нем	1	1
58	с другой стороны	3	1
59	в известном смысле	1	1
60	все это в	1	1
61	и не может	3	1
62	творчества если бы	1	1
63	не в том	1	1
64	да и не	1	1
65	бы оно ни	1	1
66	более или менее	1	1
67	тем более что	2	1
68	так же как	4	1
69	потому что по	1	1
70	и в этом	8	1
