N	2gram	Losev_Dial	Retstnzi
1	не может	29	4
2	и в	34	3
3	может и	3	1
4	в особенности	9	1
5	несмотря на	2	1
6	может быть	30	1
7	и истории	4	1
8	не только	35	1
9	точки зрения	43	1
10	с точки	25	1
11	может не	4	1
12	для него	4	1
13	в ней	4	1
14	явление если	1	1
15	тех же	2	1
16	связи с	3	1
17	не из	1	1
18	бы на	1	1
19	на месте	1	1
20	можно и	6	1
21	с другими	1	1
22	лучше всего	1	1
23	больше ничего	6	1
24	его от	2	1
25	в анализе	1	1
26	если бы	10	1
27	конечно и	2	1
28	смысл и	2	1
29	вещей и	6	1
30	в его	6	1
31	ничего кроме	1	1
32	влияния на	1	1
33	не менее	11	1
34	именно с	1	1
35	но и	14	1
36	впадает в	1	1
37	мы видим	4	1
38	к тому	4	1
39	не смог	1	1
40	сравнении с	5	1
41	можно назвать	3	1
42	тому что	5	1
43	и можно	5	1
44	вопрос что	1	1
45	теми или	2	1
46	рождается вопрос	1	1
47	в то	9	1
48	из этих	5	1
49	и больше	5	1
50	и событий	1	1
51	он в	1	1
52	ни один	2	1
53	же время	5	1
54	то же	9	1
55	а не	39	1
56	бы в	5	1
57	нет и	5	1
58	и должно	1	1
59	и не	50	1
60	и все	17	1
61	истории но	1	1
62	и на	6	1
