1	один и тот же	2	3
2	есть на самом деле	1	2
3	в то же время	14	2
4	одна и та же	1	2
5	ни к чему не	1	2
6	бы то ни было	3	2
7	эмоционально-волевое мышление интонирующее мышление	1	1
8	только в том что	1	1
9	тем не менее в	1	1
10	в противном случае мы	1	1
11	во всех этих случаях	1	1
12	несмотря на то что	1	1
13	позицию по отношению к	1	1
14	только тогда когда оно	1	1
15	есть эмоционально-волевое мышление интонирующее	1	1
16	и не в том	1	1
17	вступает в противоречие с	1	1
18	одного и того же	6	1
19	и в этом смысле	1	1
20	той или иной культурной	1	1
21	ведь один и тот	1	1
22	противном случае мы имеем	1	1
23	то же самое что	1	1
24	включает в себя момент	2	1
25	дело в том что	3	1
26	бы оно ни было	1	1
27	но в то же	2	1
28	само по себе а	1	1
