N	2gram	Voloshinov	Hudozhes
1	в качестве	4	31
2	то есть	5	26
3	в мире	2	24
4	и в	42	23
5	не только	28	20
6	в том	3	20
7	при этом	9	19
8	может быть	13	19
9	в частности	3	18
10	и не	14	16
11	но и	16	14
12	внутренней речи	18	14
13	а не	7	13
14	но не	2	13
15	а в	5	13
16	в себе	10	13
17	в этом	10	12
18	то же	16	12
19	так и	7	12
20	и его	7	12
21	представляет собой	2	11
22	как бы	30	11
23	точки зрения	11	11
24	в его	6	11
25	по отношению	2	10
26	но в	5	10
27	отношению к	2	10
28	в душе	2	9
29	или иной	6	9
30	том что	3	9
31	с другой	1	9
32	не в	6	9
33	не может	13	9
34	себя в	4	8
35	в области	6	8
36	в то	9	8
37	что в	1	7
38	в самом	5	7
39	только в	7	7
40	в своей	2	7
41	в основе	3	7
42	и т.п	25	7
43	же время	7	7
44	я и	2	7
45	как это	5	7
46	по своей	2	7
47	лишь в	4	7
48	отношение к	2	7
49	другой стороны	1	6
50	более или	1	6
51	уже не	4	6
52	можно сказать	4	6
53	художественного творчества	5	6
54	с его	8	6
55	мы имеем	2	6
56	в ее	3	6
57	или менее	1	6
58	в нем	6	6
59	искусства в	1	6
60	ни в	1	5
61	в виду	3	5
62	конечном счете	1	5
63	что он	2	5
64	в художественном	1	5
65	не менее	1	5
66	не является	5	5
67	того чтобы	7	5
68	для того	9	5
69	со стороны	1	5
70	как к	1	5
71	для него	3	5
72	того что	4	5
73	прежде всего	22	5
74	с другими	2	5
75	в их	2	5
76	а на	2	5
77	в конечном	1	5
78	между ними	3	5
79	той или	4	5
80	и одновременно	1	5
81	высказывания в	3	5
82	тем самым	8	5
83	то что	9	5
84	место в	2	5
85	слова как	4	5
86	например в	1	4
87	отношения к	3	4
88	в слове	4	4
89	из которого	1	4
90	еще не	3	4
91	языка в	2	4
92	в другом	1	4
93	говорить о	1	4
94	и т.д	21	4
95	сказать что	3	4
96	жизни как	1	4
97	к которому	2	4
98	в своем	1	4
99	к тому	4	4
100	и то	5	4
101	это не	3	4
102	в отношении	2	4
103	его в	4	4
104	не знает	3	4
105	и как	10	4
106	в этих	2	4
107	в себя	1	4
108	того или	5	4
109	между тем	3	4
110	речи и	6	4
111	он не	2	4
112	и тем	7	4
113	и что	1	4
114	в форме	6	4
115	со своей	1	4
116	и о	1	4
117	однако в	2	4
118	художественного произведения	1	4
119	в силу	1	4
120	или иного	5	4
121	хотя и	3	4
122	в той	5	3
123	и к	4	3
124	к действительности	1	3
125	и на	7	3
126	с этой	1	3
127	даже в	1	3
128	была бы	1	3
129	о чем	2	3
130	если бы	4	3
131	и сам	2	3
132	есть в	1	3
133	в романе	1	3
134	в жизни	2	3
135	общения людей	2	3
136	как и	12	3
137	их в	3	3
138	в иной	1	3
139	тем не	1	3
140	художественное произведение	1	3
141	и того	1	3
142	в противоположность	1	3
143	к нему	2	3
144	потому что	7	3
145	в одном	4	3
146	имеем в	1	3
147	мог бы	1	3
148	за пределами	1	3
149	во всей	1	3
150	и внешней	3	3
151	из этих	2	3
152	и для	3	3
153	он должен	3	3
154	таким образом	8	3
155	на языке	1	3
156	человека к	1	3
157	в произведении	1	3
158	с точки	5	3
159	как раз	1	3
160	несет в	1	3
161	внешнего мира	1	3
162	связи с	3	3
163	в таком	1	3
164	как говорит	1	3
165	в связи	2	3
166	или даже	2	3
167	по своему	3	3
168	во всех	6	3
169	в русской	1	3
170	как уже	2	3
171	тому как	1	3
172	принадлежит к	1	3
173	в свою	6	3
174	с языком	1	3
175	в которой	7	3
176	не будет	3	3
177	одно и	6	3
178	говоря о	1	3
179	в пределах	2	3
180	того же	1	3
181	перед лицом	1	3
182	человека с	2	3
183	тот или	2	3
184	одного и	1	3
185	слова в	6	3
186	в целом	4	3
187	и другие	1	2
188	один из	4	2
189	русской литературе	1	2
190	от имени	1	2
191	для возникновения	1	2
192	с ним	2	2
193	из которых	3	2
194	не как	1	2
195	а затем	1	2
196	одно из	1	2
197	том и	1	2
198	по себе	1	2
199	самом деле	5	2
200	на свою	1	2
201	все эти	3	2
202	к более	1	2
203	именно в	1	2
204	значительной степени	2	2
205	из тех	1	2
206	либо в	2	2
207	с ними	1	2
208	в одно	1	2
209	как в	3	2
210	сознания при	1	2
211	дома и	1	2
212	роль в	3	2
213	бы не	2	2
214	вследствие этого	3	2
215	всей своей	1	2
216	в каком	2	2
217	своей жизни	5	2
218	о том	4	2
219	мы легко	3	2
220	при всем	2	2
221	свою очередь	4	2
222	это и	1	2
223	еще и	2	2
224	ни к	2	2
225	при условии	2	2
226	между собой	2	2
227	внешней речи	4	2
228	совершенно иной	1	2
229	совпадает с	1	2
230	высказывания и	3	2
231	не всегда	2	2
232	слова и	5	2
233	между двумя	2	2
234	и больше	2	2
235	воздействия на	1	2
236	весьма существенно	1	2
237	или иных	3	2
238	вслед за	1	2
239	и это	8	2
240	превращается в	1	2
241	времени и	2	2
242	так же	4	2
243	еще один	1	2
244	автора с	1	2
245	в глаза	1	2
246	об этом	3	2
247	должен быть	2	2
248	с самим	2	2
249	если мы	4	2
250	в нашем	5	2
251	одна из	1	2
252	этого слова	3	2
253	здесь не	2	2
254	глаза в	1	2
255	не просто	4	2
256	в самой	1	2
257	только о	1	2
258	никогда не	7	2
259	и по	1	2
260	то в	1	2
261	художественного высказывания	2	2
262	одной из	2	2
263	наших глазах	1	2
264	несмотря на	3	2
265	но от	1	2
266	к нашему	1	2
267	внутренней и	3	2
268	которого он	1	2
269	в литературе	1	2
270	что такое	4	2
271	ее в	1	2
272	все это	4	2
273	что и	3	2
274	или иную	4	2
275	с их	1	2
276	слова не	2	2
277	у него	1	2
278	высказывания не	2	2
279	от всех	1	2
280	или в	2	2
281	в организации	1	2
282	одним из	1	2
283	тому что	5	2
284	во внутренней	4	2
285	в какой	2	2
286	я не	1	2
287	большей части	1	2
288	мира и	1	2
289	к своему	4	2
290	первой части	1	2
291	анекдот не	1	2
292	в сторону	1	2
293	в чем	1	2
294	вовсе не	2	2
295	тем более	1	2
296	и потому	2	2
297	только лишь	1	2
298	по большей	1	2
299	но как	2	2
300	а с	5	2
301	на этом	1	2
302	определенным образом	1	2
303	ту или	4	2
304	на всех	1	2
305	дело не	1	2
306	в значительной	2	2
307	не с	3	2
308	за пределы	1	2
309	между внутренней	2	2
310	от своего	1	2
311	человека и	2	2
312	с человеком	1	2
313	собственно говоря	1	2
314	могла бы	1	2
315	жизни однако	1	2
316	в этой	6	2
317	что может	1	2
318	роман и	1	2
319	в общественном	1	2
320	то чему	1	2
321	столь же	1	2
322	тех или	4	2
323	отнюдь не	10	2
324	не сумеет	1	2
325	однако все	1	2
326	чтобы не	1	2
327	в особенности	1	1
328	это на	1	1
329	к такому	1	1
330	все что	1	1
331	вошло в	1	1
332	для всех	2	1
333	можно говорить	1	1
334	и здесь	3	1
335	за ним	1	1
336	одним словом	1	1
337	и конечно	2	1
338	же и	1	1
339	как с	2	1
340	если в	1	1
341	в хх	1	1
342	возможной или	1	1
343	между этими	1	1
344	граница между	1	1
345	утратит свою	1	1
346	теперь в	3	1
347	дело с	1	1
348	и дает	1	1
349	во внешних	1	1
350	чего-то другого	1	1
351	что это	4	1
352	содержит в	1	1
353	с внутренним	1	1
354	тем как	1	1
355	в сущности	1	1
356	одном и	2	1
357	в другой	1	1
358	говорит о	1	1
359	те же	5	1
360	времени когда	1	1
361	переживание переживание	1	1
362	одному из	1	1
363	общения не	2	1
364	и делает	1	1
365	принадлежит какой-то	1	1
366	в результате	1	1
367	фразы в	2	1
368	быть может	3	1
369	и само	3	1
370	на всякое	1	1
371	не могут	1	1
372	должен был	1	1
373	быть так	1	1
374	оглядывается на	1	1
375	и даже	3	1
376	если не	3	1
377	он уже	1	1
378	к какому-нибудь	1	1
379	все то	2	1
380	в собственном	1	1
381	говорящего и	6	1
382	высказывания но	5	1
383	двух моментов	1	1
384	языка без	1	1
385	речи хотя	1	1
386	является знаком	2	1
387	так называемый	1	1
388	выбор слова	1	1
389	мысль о	1	1
390	можно даже	1	1
391	тем что	2	1
392	от всего	1	1
393	из всего	2	1
394	и будет	1	1
395	и действительно	1	1
396	знак но	1	1
397	если он	3	1
398	значений но	1	1
399	знаком в	1	1
400	с ума	1	1
401	мы встречаемся	1	1
402	необходимо для	1	1
403	переживания как	1	1
404	вместе с	5	1
405	все же	9	1
406	жизни ее	1	1
407	создает и	1	1
408	а этот	2	1
409	речь в	1	1
410	да и	4	1
411	обращения к	2	1
412	ему и	1	1
413	о котором	1	1
414	другому человеку	1	1
415	и формой	1	1
416	зависимости от	7	1
417	и слово	3	1
418	жизни если	1	1
419	обладает значением	1	1
420	у достоевского	1	1
421	на каждом	1	1
422	которой не	1	1
423	общения язык	1	1
424	нет в	1	1
425	но мы	2	1
426	на первый	2	1
427	по крайней	1	1
428	обратное влияние	5	1
429	перед нами	3	1
430	дело со	1	1
431	языка мы	2	1
432	вследствие своей	1	1
433	первый взгляд	2	1
434	любая вещь	1	1
435	с этим	2	1
436	все они	1	1
437	одним и	1	1
438	тем в	1	1
439	нам не	1	1
440	бы и	2	1
441	не существует	4	1
442	истории не	1	1
443	в котором	3	1
444	зависит от	2	1
445	в действительности	1	1
446	и такие	1	1
447	и пр	4	1
448	уже до	1	1
449	языка и	4	1
450	между несколькими	1	1
451	в любом	1	1
452	сливается с	1	1
453	голос или	1	1
454	более чем	1	1
455	мира как	1	1
456	заключать в	1	1
457	каким бы	1	1
458	завершение и	1	1
459	не должно	2	1
460	только мы	1	1
461	и поэтому	3	1
462	внутри себя	2	1
463	действительность в	1	1
464	с нашим	1	1
465	оно является	2	1
466	и книги	1	1
467	с которой	1	1
468	хх веке	1	1
469	и теперь	1	1
470	жизни и	3	1
471	к объективной	1	1
472	чего не	1	1
473	значение для	1	1
474	только на	3	1
475	к одному	1	1
476	этим словом	1	1
477	знака и	1	1
478	о своем	3	1
479	не так	3	1
480	и те	2	1
481	не что	4	1
482	в истории	1	1
483	и находит	1	1
484	значения этого	1	1
485	является как	1	1
486	каждый из	2	1
487	себе в	2	1
488	до того	3	1
489	и исторически	1	1
490	перед ним	3	1
491	и тоже	1	1
492	язык язык	1	1
493	иной интонации	1	1
494	этот язык	1	1
495	принадлежащих к	1	1
496	обычно говорят	1	1
497	к ним	1	1
498	языку в	1	1
499	человек должен	1	1
500	языка не	1	1
501	в комнате	1	1
502	без его	1	1
503	у себя	2	1
504	в реальной	2	1
505	ее не	1	1
506	нас на	1	1
507	тем же	4	1
508	ключ к	1	1
509	той же	7	1
510	и оценки	1	1
511	именно так	1	1
512	за него	1	1
513	до конца	2	1
514	раз и	1	1
515	входят в	1	1
516	том же	2	1
517	к миру	2	1
518	в сознании	5	1
519	всего к	1	1
520	что говорит	1	1
521	и внутренняя	3	1
522	но если	1	1
523	не внешним	1	1
524	общения как	1	1
525	литературное произведение	2	1
526	друг друга	2	1
527	совпадает со	1	1
528	то или	4	1
529	слова ни	1	1
530	к языку	1	1
531	крайней мере	1	1
532	из них	3	1
533	тот же	2	1
534	конечно с	1	1
535	чтобы этот	1	1
536	даже его	1	1
537	жанра в	1	1
538	человека но	1	1
539	может как	1	1
540	необходимым условием	4	1
541	другими людьми	1	1
542	всего в	4	1
543	внутренней жизни	3	1
544	ситуации и	10	1
545	представить себе	3	1
546	не происходит	1	1
547	глядя на	1	1
548	именно к	1	1
549	этом случае	3	1
550	только не	1	1
551	которой я	1	1
552	мы видим	4	1
553	в более	1	1
554	процесс их	1	1
555	общения в	4	1
556	нами не	1	1
557	так как	8	1
558	многих других	1	1
559	в христианском	1	1
560	самой ситуации	2	1
561	что иное	2	1
562	может не	1	1
563	себя только	1	1
564	на вопрос	1	1
565	со знаковым	1	1
566	статье о	1	1
567	высказывания с	3	1
568	свидетельствует о	1	1
569	должно быть	2	1
570	время и	1	1
571	же этот	1	1
572	который может	1	1
573	своей сути	1	1
574	и процесс	1	1
575	человек это	1	1
576	общение с	1	1
577	в состоянии	1	1
578	явлений жизни	1	1
579	обе эти	1	1
580	а тот	1	1
581	материала и	1	1
582	здесь остается	1	1
583	иной ситуации	1	1
584	материалом а	1	1
585	ее можно	1	1
586	иного языка	1	1
587	мы конечно	2	1
588	души и	1	1
589	что несмотря	1	1
590	для нас	3	1
591	у нас	4	1
592	сознания и	1	1
593	жизнь мою	2	1
594	не обладает	2	1
595	и от	7	1
596	иными словами	2	1
597	им с	1	1
598	слово в	2	1
599	и есть	1	1
600	сколько бы	1	1
601	весь мир	1	1
602	высшей ценностью	1	1
603	не путем	1	1
604	и развития	3	1
605	тому же	2	1
606	сознания к	1	1
607	сказать не	2	1
608	в таких	1	1
609	даже вовсе	1	1
610	не было	2	1
611	это всегда	1	1
612	законы но	1	1
613	целого высказывания	1	1
614	как видно	1	1
615	к чему	2	1
616	несколько значений	1	1
617	что его	1	1
618	всех его	2	1
619	и где	1	1
620	это еще	1	1
621	виду что	1	1
622	такое слово	1	1
623	но для	3	1
624	это возможно	1	1
625	высказывания как	3	1
626	такое же	1	1
627	по ту	1	1
628	этого события	1	1
629	зрения каждый	1	1
630	в конце	6	1
631	стадии и	1	1
632	или иная	1	1
633	организации конечно	1	1
634	не остается	1	1
635	и эстетический	1	1
636	такого понимания	1	1
637	с той	1	1
638	и без	4	1
639	и последующих	1	1
640	всякое высказывание	3	1
641	его элементом	1	1
642	вследствие того	1	1
643	же как	1	1
644	и произведения	1	1
645	не есть	2	1
646	является не	1	1
647	же точно	1	1
648	высказывание мы	1	1
649	общественных отношений	1	1
650	сознания как	1	1
651	это происходит	1	1
652	этот круг	1	1
653	ли не	2	1
654	как ее	1	1
655	от этого	1	1
656	зрения не	1	1
657	форма внутренней	1	1
658	знаком и	1	1
659	и оказывается	1	1
660	зрения и	1	1
661	связь со	1	1
662	больше и	2	1
663	его жизни	1	1
664	служит для	1	1
665	действительности которая	2	1
666	именно эта	1	1
667	и художественного	1	1
668	структуры художественного	1	1
669	тех же	1	1
670	на его	6	1
671	и ситуации	2	1
672	себе и	2	1
673	точек зрения	5	1
674	в каждой	1	1
675	путь к	1	1
676	и строго	1	1
677	в одной	1	1
678	при виде	1	1
679	связаны с	4	1
