N	2gram	Tiupa_Hudo	VerxiiNi
1	и в	23	26
2	таким образом	3	22
3	в этом	12	15
4	вместе с	1	15
5	точки зрения	11	13
6	как бы	11	12
7	в том	20	11
8	не только	20	10
9	может быть	19	10
10	из этих	3	10
11	что в	7	9
12	так как	1	9
13	связи с	3	9
14	но и	14	9
15	в области	8	9
16	и не	16	8
17	с другой	9	8
18	но не	13	8
19	с одной	3	7
20	том что	9	7
21	потому что	3	7
22	одной стороны	3	7
23	а с	2	7
24	то что	5	7
25	но в	10	7
26	из них	1	7
27	к нему	3	7
28	так и	12	6
29	в конце	1	6
30	несмотря на	2	6
31	все это	2	6
32	что и	2	6
33	в отношении	4	6
34	все эти	2	6
35	все же	1	6
36	к тому	4	6
37	о том	2	6
38	и потому	2	6
39	и т.д	4	6
40	с точки	3	6
41	в себе	13	6
42	того же	3	6
43	и к	3	5
44	том числе	3	5
45	в его	11	5
46	к жизни	2	5
47	тому же	1	5
48	более или	6	5
49	в мире	24	5
50	не имеет	1	5
51	или менее	6	5
52	по крайней	1	5
53	того чтобы	5	5
54	для того	5	5
55	так же	2	5
56	лишь в	7	5
57	отношение к	7	5
58	одной из	2	5
59	в силу	4	5
60	а не	13	5
61	и для	3	5
62	крайней мере	1	5
63	никогда не	2	5
64	в самом	7	4
65	то есть	26	4
66	и по	2	4
67	то же	12	4
68	из которых	2	4
69	только в	7	4
70	в этих	4	4
71	должен был	1	4
72	с другими	5	4
73	что он	5	4
74	в котором	1	4
75	он не	4	4
76	и что	4	4
77	далеко не	4	4
78	а в	13	4
79	в этой	2	4
80	числе и	2	4
81	и от	1	4
82	не может	9	4
83	что все	1	4
84	в то	8	4
85	в нем	6	4
86	и другие	2	3
87	с этой	3	3
88	при этом	19	3
89	для него	5	3
90	что это	1	3
91	тем не	3	3
92	в качестве	31	3
93	в результате	1	3
94	то с	1	3
95	духовной культуры	2	3
96	так или	4	3
97	и даже	1	3
98	если бы	3	3
99	в которой	3	3
100	или иначе	5	3
101	на нее	1	3
102	в таком	3	3
103	случае не	2	3
104	в связи	3	3
105	и как	4	3
106	же как	1	3
107	если в	1	3
108	не менее	5	3
109	из которого	4	3
110	путь к	1	3
111	можно сказать	6	3
112	но с	1	3
