N	3gram	Vygotskiy_	Myshleni
1	в том что	20	133
2	с точки зрения	11	89
3	для того чтобы	17	78
4	заключается в том	10	51
5	мы могли бы	4	48
6	по сравнению с	1	45
7	так же как	2	39
8	с одной стороны	6	39
9	с самого начала	10	36
10	друг с другом	2	35
11	то же самое	12	31
12	в этом отношении	1	30
13	можно было бы	6	28
14	в этом случае	1	27
15	вместе с тем	3	26
16	с другой стороны	5	26
17	на то что	16	25
18	о том что	8	25
19	не может быть	3	23
20	смысле этого слова	5	22
21	в то время	4	22
22	к тому что	5	22
23	в высшей степени	1	22
24	в зависимости от	1	22
25	не только не	3	21
26	можно сказать что	1	21
27	то время как	3	20
28	в самом деле	29	19
29	и тем самым	1	19
30	так же точно	4	19
31	из того что	1	19
32	в отличие от	1	18
33	состоит в том	2	18
34	во всяком случае	6	18
35	до сих пор	6	17
36	и того же	1	17
37	этой точки зрения	2	17
38	как мы видели	2	17
39	одного и того	1	17
40	же как и	1	17
41	с этой точки	2	16
42	бы сказать что	1	15
43	и то что	3	15
44	в данном случае	5	15
45	и той же	3	15
46	одной и той	3	15
47	на этот вопрос	1	14
48	мы уже говорили	4	14
49	потому что он	3	14
50	мы видели что	2	14
51	в свою очередь	3	14
52	к выводу что	1	14
53	могли бы сказать	1	14
54	подобно тому как	1	14
55	в сущности говоря	10	14
56	это значит что	2	13
57	точно так же	3	13
58	а с другой	1	13
59	то и другое	3	13
60	и то же	3	12
61	таким образом что	2	12
62	в том чтобы	2	12
63	один и тот	1	12
64	и тот же	1	12
65	одно и то	3	12
66	как мы уже	1	11
67	мы не можем	2	11
68	с таким образом	4	11
69	в такой же	1	11
70	том что в	1	11
71	то обстоятельство что	1	11
72	не иначе как	1	10
73	такой же мере	1	10
74	то что в	5	10
75	тот факт что	3	10
76	от того что	1	10
77	вместо того чтобы	3	10
78	на каждом шагу	1	10
79	так как она	1	9
80	мы видим в	2	9
81	ни в какой	2	9
82	как и в	1	9
83	с тем что	3	9
84	более или менее	1	9
85	в конечном счете	1	9
86	в силу того	1	9
87	на самом деле	3	9
88	том что он	3	9
89	то что он	3	8
90	только в том	5	8
91	сам по себе	2	8
92	более и более	4	8
93	речь идет о	5	8
94	мы говорили выше	1	8
95	по самой своей	1	8
96	что он не	4	8
97	того же самого	2	8
98	все более и	4	8
99	в целом мы	1	8
100	о том как	3	7
101	и вместе с	3	7
102	шаг за шагом	3	7
103	по этому поводу	1	7
104	к тому чтобы	4	7
105	как раз в	3	7
106	же самое что	2	7
107	в том виде	2	7
108	если мы обратимся	1	7
109	благодаря тому что	1	7
110	по своему значению	2	7
111	в первом случае	1	7
112	с тем и	1	7
113	имеет в виду	1	6
114	ничего общего с	2	6
115	те же самые	1	6
116	в этом и	1	6
117	и таким образом	1	6
118	и в частности	1	6
119	то что мы	3	6
120	заключает в себе	1	6
121	потому что в	2	6
122	самой своей природе	1	6
123	в лучшем случае	2	6
124	если бы мы	1	6
125	только то что	3	6
126	и не может	1	6
127	мы находим в	1	6
128	в том смысле	2	6
129	мы обратимся к	1	6
130	не что иное	1	6
131	в том и	2	6
132	что иное как	1	6
133	лежит в основе	1	6
134	все больше и	2	5
135	мере в какой	1	5
136	и как бы	2	5
137	чем перейти к	1	5
138	указывает на то	4	5
139	не совпадает с	2	5
140	мы должны были	1	5
141	кроме того что	2	5
142	мы никогда не	1	5
143	как если бы	3	5
144	что в этом	2	5
145	но все же	1	5
146	больше и больше	2	5
147	со всеми остальными	1	5
148	мы нашли что	1	5
149	мы будем иметь	2	5
150	и что в	2	5
151	том что они	2	5
152	как мы увидим	2	5
153	том смысле что	1	5
154	в той же	2	5
155	то что с	2	5
156	таким образом мы	1	5
157	сами по себе	3	5
158	что все эти	2	5
159	так как он	1	5
160	показывает что в	1	5
161	и в этом	6	5
162	в какой мере	3	5
163	мы знаем что	2	5
164	относительно того что	1	5
165	ответ на этот	1	5
166	все эти три	1	5
167	между этими двумя	1	5
168	а отнюдь не	1	4
169	мы видим что	7	4
170	о которых мы	5	4
171	в одной и	1	4
172	самом деле если	2	4
173	как это мы	1	4
174	не потому что	1	4
175	должны были бы	2	4
176	по аналогии с	2	4
177	которых мы говорили	2	4
178	таким образом и	1	4
179	не то что	4	4
180	но так как	1	4
181	в тех случаях	1	4
182	того чтобы показать	2	4
183	было бы назвать	1	4
184	что оба эти	2	4
185	как и все	1	4
186	самого начала что	1	4
187	тем и другим	1	4
188	между тем и	1	4
189	в его основе	4	4
190	так что в	1	4
191	том виде как	1	4
192	то же слово	1	4
193	в сущности это	1	4
194	что в сущности	2	4
195	мы увидим что	9	4
196	до какой степени	1	4
197	есть в сущности	1	4
198	если бы оно	1	4
199	той же мере	1	4
200	тому или иному	1	4
201	и в своей	1	4
202	нового по сравнению	1	4
203	в предисловии к	2	4
204	до того как	1	3
205	чем идет речь	1	3
206	он говорит что	2	3
207	в применении к	1	3
208	никак не может	3	3
209	полагает что если	1	3
210	и в другом	2	3
211	том и другом	1	3
212	она не может	2	3
213	если мы хотим	1	3
214	потому что эта	1	3
215	но при этом	1	3
216	та же самая	3	3
217	надо сказать что	4	3
218	к тому же	2	3
219	они представляют собой	1	3
220	имеет место в	2	3
221	ничего не может	2	3
222	что в действительности	1	3
223	в его самых	1	3
224	или во всяком	2	3
225	во всех остальных	1	3
226	говорит он в	1	3
227	не имеет никакого	3	3
228	в целом ряде	1	3
229	какой мере не	1	3
230	но и не	1	3
231	потому что его	1	3
232	того что оно	1	3
233	если мы проследим	1	3
234	то что является	1	3
235	одна и та	2	3
236	мы только что	1	3
237	показать что все	1	3
238	того или иного	2	3
239	что если бы	1	3
240	мы имеем в	1	3
241	хотя бы в	1	3
242	не только как	1	3
243	это было бы	2	3
244	уже говорили что	1	3
245	он полагает что	1	3
246	бы показать что	1	3
247	и столь же	1	3
248	к которому мы	1	3
249	как это делают	1	3
250	и что мы	1	3
251	не можем не	2	3
252	здесь мы видим	2	3
253	и во всех	2	3
254	но если мы	1	3
255	так например в	2	3
256	перед нами в	1	3
257	представить себе что	1	3
258	том что она	3	3
259	то что она	3	3
260	и в конце	2	3
261	все же в	2	3
262	по самому своему	1	3
263	нашего исследования и	1	3
264	мы старались показать	2	3
265	в приложении к	1	3
266	что оно является	1	3
267	ребенка и что	1	3
268	том что оно	1	3
269	совершенно очевидно что	3	3
270	анализ показывает что	1	3
271	не мог бы	1	3
272	внимание на то	3	3
273	к тому или	1	3
274	не имеют ничего	1	3
275	говорит что в	1	3
276	так как мы	2	3
277	и в самом	15	3
278	имеют ничего общего	1	3
279	о которых говорит	1	3
280	и что следовательно	1	3
281	я не могу	3	3
282	и та же	3	3
283	о чем идет	1	3
284	так как они	1	3
285	того что в	1	3
286	указывают на то	1	3
287	имеем в виду	2	3
288	то что для	1	3
289	как мы постараемся	1	3
290	потому что они	2	3
291	всего сказанного выше	1	3
292	в историческом развитии	1	2
293	это и значит	1	2
294	только частный случай	1	2
295	до самого конца	1	2
296	в одном и	1	2
297	сущности говоря это	1	2
298	что она не	1	2
299	не только то	1	2
300	том что это	1	2
301	ни в каком	2	2
302	не могло бы	1	2
303	согласны в том	1	2
304	что при такой	1	2
305	прямо говорит что	1	2
306	постараемся показать ниже	1	2
307	к этому вопросу	1	2
308	задачи стоящей перед	1	2
309	с ним в	2	2
310	потому что она	1	2
311	с целым рядом	2	2
312	в достаточной мере	1	2
313	же самое относится	1	2
314	именно в этой	1	2
315	дело идет о	2	2
316	сказать что оно	1	2
317	таким образом если	1	2
318	том и заключается	1	2
319	мы встречаемся с	1	2
320	как это имеет	1	2
321	это на примере	1	2
322	но только в	1	2
323	что в этой	3	2
324	и я не	1	2
325	мы остановились на	2	2
326	но в этом	1	2
327	одновременно с этим	1	2
328	и других авторов	1	2
329	тем самым мы	1	2
330	мы говорили уже	1	2
331	относится и ко	1	2
332	только в самом	1	2
333	быть столь же	1	2
334	но он еще	1	2
335	того чтобы с	1	2
336	мы не имеем	1	2
337	нам не только	1	2
338	за то что	1	2
339	на действительность и	1	2
340	как правильно указывает	1	2
341	была в том	1	2
342	видим что все	1	2
343	но и это	1	2
344	и может быть	3	2
345	таким образом все	1	2
346	нам о том	1	2
347	мы можем с	1	2
348	что не только	1	2
349	другой стороны мы	1	2
350	не только у	1	2
351	что для нее	1	2
352	когда он начинает	1	2
353	здесь мы имеем	1	2
354	мы будем говорить	1	2
355	как и на	1	2
356	и в своем	1	2
357	тем же самым	1	2
358	уже и в	1	2
359	в полном согласии	1	2
360	мы уже видели	1	2
361	том что всякое	1	2
362	и все же	1	2
363	никогда не может	2	2
364	тех слов которые	1	2
365	при этом она	1	2
366	с каждой новой	2	2
367	как бы в	1	2
368	же точно как	1	2
369	прав в том	1	2
370	новые и новые	1	2
371	в самом конце	3	2
372	совпадает с тем	1	2
373	не могли бы	1	2
374	это имеет место	2	2
375	в одном слове	1	2
376	своим собственным законам	2	2
377	если обратиться к	1	2
378	мы увидим ниже	2	2
379	что оно не	1	2
380	в которой они	1	2
381	он не может	1	2
382	вовсе не в	2	2
383	которые могли бы	1	2
384	иметь ничего общего	1	2
385	до некоторой степени	1	2
386	что у него	2	2
387	говорит один из	1	2
388	в том случае	4	2
389	на основании этого	1	2
390	как это имело	1	2
391	может быть не	2	2
392	чтобы показать что	1	2
393	легко заметить что	1	2
394	к одной и	1	2
395	и что эти	1	2
396	и никогда не	2	2
397	и как мы	1	2
398	заключать в себе	1	2
399	видит в этом	1	2
400	стрекоза и муравей	2	2
401	и там где	1	2
402	со всеми присущими	1	2
403	полном согласии с	1	2
404	или хотя бы	1	2
405	что с одной	1	2
406	из которых складывается	1	2
407	том случае если	4	2
408	снизу вверх от	1	2
409	тем что в	2	2
410	в противоречие с	2	2
411	едва ли можно	1	2
412	может быть понято	1	2
413	результатов к которым	1	2
414	и только после	4	2
415	и только что	1	2
416	во всем этом	1	2
417	в ее основе	3	2
418	и что только	1	2
419	и с точки	1	2
420	говорит нам о	1	2
421	когда речь идет	1	2
422	и ничего не	1	2
423	в их основе	1	2
424	только для того	1	2
425	не то же	1	2
426	в этой фразе	1	2
427	этого слова и	2	2
