N	3gram	Propp_Russ	DiskursI
1	в том что	27	28
2	в отличие от	4	26
3	по отношению к	1	17
4	с одной стороны	1	14
5	не может быть	1	12
6	в данном случае	7	12
7	о том что	6	9
8	состоит в том	16	8
9	в этом отношении	1	8
10	как и в	1	7
11	тогда как в	1	7
12	с точки зрения	3	6
13	и как бы	1	5
14	в первую очередь	1	5
15	в свою очередь	2	5
16	не только в	1	5
17	подобно тому как	3	5
18	тем не менее	3	4
19	можно сказать что	1	4
20	одного и того	1	4
21	и того же	1	4
22	в этом случае	9	4
23	как будто бы	1	3
24	более или менее	1	3
25	по аналогии с	1	3
26	можно говорить о	1	3
27	в равной степени	2	3
28	на первый взгляд	1	3
29	пока еще не	1	3
30	том что в	7	3
31	во всяком случае	1	3
32	в большинстве случаев	2	2
33	по своему происхождению	2	2
34	в предыдущей главе	1	2
35	ни одно из	2	2
36	в е годы	2	2
37	в научной литературе	1	2
38	потому что в	1	2
39	на этом основании	1	2
40	из них в	1	2
41	но в данном	1	2
42	значении этого слова	1	2
43	и в том	2	2
44	в одном из	1	2
45	то что и	1	2
46	но и в	1	2
47	в том чтобы	2	2
48	все же не	2	2
49	ни одна из	2	2
50	как мы видели	1	2
51	тех случаях когда	2	2
52	в тех случаях	2	2
53	и не только	1	2
54	время от времени	1	1
55	выступают в роли	1	1
56	что одно из	1	1
57	с этим связан	1	1
58	а как раз	1	1
59	в применении к	1	1
60	в лесу они	1	1
61	но и на	2	1
62	одни и те	1	1
63	так например в	1	1
64	это приводит к	1	1
65	для того чтобы	6	1
66	представление будто именно	1	1
67	некоторые из них	1	1
68	говорит о том	1	1
69	следующим образом в	1	1
70	в таком случае	1	1
71	по нескольку раз	1	1
72	об этом так	1	1
73	не может так	1	1
74	приходит к выводу	1	1
75	в такой же	1	1
76	иметь в виду	2	1
77	но ни одна	1	1
78	легко заметить что	1	1
79	в одном ряду	1	1
80	состояло в том	2	1
81	и таким образом	1	1
82	в россии в	1	1
83	но не с	1	1
84	не только на	3	1
85	еще в е	1	1
86	дело в этом	1	1
87	не может не	1	1
88	в связи с	4	1
89	но все же	2	1
90	несмотря на все	1	1
91	в другом месте	1	1
92	к этому времени	2	1
93	из того что	1	1
94	одном и том	1	1
95	имея в виду	1	1
96	но это не	3	1
97	еще и в	1	1
98	можно рассматривать как	1	1
99	и в этом	2	1
100	в своем значении	1	1
101	прежде всего как	1	1
102	в тексте и	1	1
103	не только по	2	1
104	из значений слова	1	1
105	во второй половине	1	1
106	смены времен года	1	1
107	в этих случаях	1	1
108	только по отношению	1	1
109	встречается и в	1	1
110	и потому что	2	1
111	и могут быть	1	1
112	можно предположить что	2	1
113	вместе с тем	10	1
114	и том же	1	1
115	отдельности может быть	1	1
116	в своего рода	1	1
117	и те же	1	1
118	следует обратить внимание	1	1
119	на то что	2	1
120	но она не	1	1
121	в это время	3	1
122	в одно целое	1	1
123	а иногда и	4	1
124	представляет собой как	1	1
125	в себе и	1	1
126	что не только	1	1
127	в греко-римской античности	1	1
128	в целом ряде	1	1
129	то что в	1	1
130	что с ними	1	1
131	там же с	1	1
132	но и потому	1	1
133	на некоторое время	1	1
134	быть и не	1	1
135	но она имела	1	1
136	при этом не	1	1
137	тем более что	1	1
138	о чем свидетельствует	1	1
139	и один из	1	1
140	хотя и не	1	1
141	в противном случае	1	1
142	на самом деле	1	1
143	они ничего не	1	1
144	это как будто	1	1
145	это пока еще	1	1
146	не что иное	3	1
147	тому как в	1	1
148	далеко не полностью	1	1
149	когда он пишет	1	1
150	можно было бы	2	1
151	между собой и	1	1
152	только потому что	1	1
153	и это не	1	1
154	не только потому	1	1
155	данном случае мы	1	1
156	особый интерес представляет	1	1
157	во всех этих	1	1
158	что каждый из	2	1
159	в этой связи	1	1
160	распространенное представление о	1	1
161	с ней и	1	1
162	в этом ряду	1	1
163	том что они	1	1
164	что иное как	3	1
165	сюда же относятся	1	1
166	одна из них	1	1
167	брать на себя	1	1
168	еще в xix	2	1
169	это и есть	1	1
170	ее к себе	1	1
171	в виду что	2	1
172	к этому же	3	1
173	после того как	3	1
174	одно из значений	1	1
175	сближает его с	2	1
