N	2gram	Ircho_Kome	SlovoVZh
1	не может	9	16
2	может быть	14	14
3	точки зрения	8	14
4	как бы	7	13
5	и его	10	13
6	таким образом	16	12
7	и в	37	12
8	отношению к	4	11
9	по отношению	6	11
10	в нашем	1	11
11	и не	28	10
12	так как	16	9
13	если бы	18	9
14	прежде всего	7	8
15	для нас	7	7
16	сказать что	4	7
17	все время	3	6
18	в ней	7	6
19	слова и	1	6
20	с помощью	4	6
21	в том	24	6
22	только в	3	6
23	в нем	8	6
24	при этом	11	6
25	можно сказать	1	5
26	что мы	4	5
27	хотя бы	5	5
28	должна быть	2	5
29	то же	14	5
30	а не	5	5
31	в виду	3	5
32	то что	5	5
33	в жизни	1	5
34	как и	10	5
35	как в	4	5
36	отнюдь не	5	5
37	том что	22	5
38	но в	7	5
39	никогда не	5	5
40	в самом	17	4
41	и к	4	4
42	и на	6	4
43	не только	13	4
44	ни было	3	4
45	и является	1	4
46	за пределы	3	4
47	от того	2	4
48	его в	9	4
49	с другой	5	4
50	не в	7	4
51	дело в	1	4
52	отношение к	7	4
53	что не	5	4
54	так и	4	4
55	жизни и	1	4
56	в этом	18	4
57	все же	9	4
58	зависимости от	1	4
59	к нему	8	4
60	бы то	3	3
61	как к	3	3
62	и с	5	3
63	ее и	1	3
64	до сих	12	3
65	это как	1	3
66	и более	1	3
67	в котором	6	3
68	и по	3	3
69	мы не	6	3
70	то ни	4	3
71	или не	1	3
72	между тем	6	3
73	для него	1	3
74	отношении к	1	3
75	с ним	10	3
76	того что	1	3
77	быть и	1	3
78	и уже	1	3
79	когда он	5	3
80	тем не	3	3
81	в некоторых	1	3
82	все это	7	3
83	он должен	1	3
84	ни в	14	3
85	в пределах	3	3
86	конечно не	4	3
87	по себе	1	3
88	так же	8	3
89	в них	6	3
90	из общего	1	3
91	в каком	1	3
92	в творчестве	1	3
93	этой точки	1	3
94	самом деле	13	3
95	только на	1	3
96	в себе	4	3
97	слово в	1	3
98	ясно что	12	3
99	все эти	1	3
100	о том	21	3
101	в своей	6	3
102	здесь не	2	3
103	не менее	9	3
104	из этого	2	3
105	в такой	1	3
106	нуждается в	2	3
107	да и	3	3
108	но и	18	3
109	ведь и	1	3
110	и для	7	3
111	и ее	3	3
112	и наконец	1	3
113	сих пор	12	3
114	формы и	1	3
115	не к	1	3
116	еще не	10	3
117	что в	11	2
118	этих двух	2	2
119	все они	1	2
120	нет ничего	4	2
121	не так	4	2
122	и потому	2	2
123	действия и	2	2
124	и другие	1	2
125	выражение в	3	2
126	мы можем	7	2
127	героя или	1	2
128	в душе	1	2
129	в то	14	2
130	еще раз	1	2
131	находит в	1	2
132	в момент	1	2
133	в основном	1	2
134	с одной	5	2
135	уже в	3	2
136	в его	12	2
137	с этой	5	2
138	она не	3	2
139	это не	3	2
140	одной стороны	4	2
141	относится к	1	2
142	как уже	1	2
143	дело с	4	2
144	с точки	6	2
145	мы имеем	4	2
146	была бы	2	2
147	словом и	1	2
148	на него	6	2
149	тем как	2	2
150	кроме того	1	2
151	в себя	1	2
152	от всех	1	2
153	как это	5	2
154	те же	1	2
155	но все	5	2
156	мы в	3	2
157	если же	2	2
158	и та	1	2
159	и что	8	2
160	что и	12	2
161	в отношении	4	2
162	же самое	3	2
163	конечно в	2	2
164	на примере	2	2
165	другой стороны	2	2
166	и те	1	2
167	как не	2	2
168	в этих	2	2
169	можно найти	1	2
170	тому же	11	2
171	ней как	2	2
172	а к	1	2
173	как же	2	2
174	и притом	1	2
175	ко всем	1	2
176	но этот	1	2
177	на это	3	2
178	имеем в	2	2
179	общей для	1	2
180	к ним	5	2
181	выходят за	2	2
182	и здесь	11	2
183	как на	1	2
184	и все	6	2
185	но не	9	2
186	общего с	2	2
187	быть только	1	2
188	могут быть	3	2
189	героев и	1	2
190	с другими	2	2
191	звучит так	1	2
192	до конца	4	2
193	не остается	3	2
194	стороны и	4	2
195	в своем	9	2
196	за его	1	2
197	в какой	4	2
198	вместе с	16	2
199	между ними	4	2
200	место в	1	2
201	в зависимости	1	2
202	к его	4	2
203	настоящее время	1	2
204	такой же	2	2
205	в атмосфере	1	2
206	и так	1	2
207	можем сказать	1	2
208	со словом	1	2
209	с его	6	2
210	себя и	2	2
211	его к	1	2
212	известной степени	2	2
213	к этому	11	2
214	бы не	3	2
215	между собой	5	2
216	и психологическая	1	2
217	он не	11	2
218	независимо от	4	2
219	эта последняя	1	2
220	в чем	7	2
221	в настоящее	1	2
222	и совершенно	1	2
223	но мы	1	2
224	точку зрения	1	2
225	как только	2	2
226	едва ли	16	2
227	ничего не	6	2
228	он пользуется	1	1
229	ситуации и	1	1
230	на которую	1	1
231	к одному	1	1
232	это на	1	1
233	остается в	3	1
234	жизнь и	1	1
235	себе в	6	1
236	то в	1	1
237	события и	1	1
238	одной точки	1	1
239	во всяком	3	1
240	нам не	1	1
241	от него	2	1
242	и тех	1	1
243	что они	3	1
244	даже совершенно	1	1
245	его и	3	1
246	нему в	1	1
247	ситуации в	3	1
248	знают что	1	1
249	во всех	4	1
250	не зная	5	1
251	которого и	2	1
252	не является	5	1
253	а с	2	1
254	только к	1	1
255	того в	3	1
256	и он	5	1
257	явно не	2	1
258	это делает	2	1
259	было в	2	1
260	с самого	5	1
261	выходит за	1	1
262	остается места	1	1
263	которой было	1	1
264	итоги нашему	1	1
265	основе своей	2	1
266	на эти	1	1
267	на этом	3	1
268	она должна	2	1
269	них в	1	1
270	само собой	5	1
271	и люблю	1	1
272	в лучшем	2	1
273	мы уже	1	1
274	к одной	2	1
275	ли он	1	1
276	мы увидим	1	1
277	находившихся в	1	1
278	в свидетели	1	1
279	и того	1	1
280	и вот	3	1
281	все остальные	2	1
282	от нее	5	1
283	не знают	1	1
284	но при	2	1
285	она могла	1	1
286	героя в	1	1
287	в свою	12	1
288	нашей работы	1	1
289	входит в	1	1
290	только как	2	1
291	того чтобы	9	1
292	не должен	1	1
293	в основе	3	1
294	и их	1	1
295	еще более	4	1
296	в другом	2	1
297	а из	1	1
298	тому как	1	1
299	несмотря на	7	1
300	это только	1	1
301	вопросу о	1	1
302	на что	2	1
303	конечно на	1	1
304	признать что	5	1
305	обстоит дело	3	1
306	второй план	1	1
307	обычно не	1	1
308	в противном	1	1
309	хотя и	6	1
310	речи так	1	1
311	этом отношении	2	1
312	в новой	2	1
313	эта же	1	1
314	о чем	11	1
315	мы должны	1	1
316	в согласии	2	1
317	в ее	3	1
318	и тем	4	1
319	в руках	3	1
320	остается только	2	1
321	не требует	1	1
322	один шаг	2	1
323	в частности	4	1
324	говорит о	2	1
325	нашего времени	1	1
326	для нее	1	1
327	в изучении	1	1
328	не как	2	1
329	аналогии с	2	1
330	остаться в	1	1
331	со всей	1	1
332	увидим что	1	1
333	и вся	1	1
334	совпадают с	4	1
335	в слово	1	1
336	в качестве	4	1
337	и некоторые	1	1
338	не хочет	6	1
339	то мы	2	1
340	пор не	3	1
341	в одном	3	1
342	в области	3	1
343	одно из	3	1
344	у нас	1	1
345	на которой	1	1
346	с жизнью	1	1
347	отказывается от	1	1
348	можно было	3	1
349	определенной публики	1	1
350	входящего в	1	1
351	быть ни	1	1
352	бы они	1	1
353	кто не	1	1
354	же не	3	1
355	в результате	2	1
356	и это	4	1
357	участникам и	1	1
358	же он	1	1
359	стороны его	1	1
360	ни одной	2	1
361	этот разговор	1	1
362	сводится к	1	1
363	для них	1	1
364	образом каждая	1	1
365	деле и	1	1
366	с ней	1	1
367	участие в	1	1
368	подобно тому	1	1
369	во времени	1	1
