N	4gram	Trubetskoy	Istorich
1	во всех этих случаях	1	11
2	мы уже знаем что	1	9
3	точно так же как	1	6
4	и вместе с тем	2	5
5	до сих пор мы	1	5
6	точно так же и	1	3
7	но мы уже знаем	1	3
8	бы то ни было	1	3
9	мы должны себе представить	1	2
10	завело бы нас слишком	1	2
11	и то и другое	1	2
12	бы нас слишком далеко	1	2
13	дело в том что	1	2
14	указывает на то что	1	2
15	и не может быть	1	2
16	в том числе и	1	2
17	в этом случае совершенно	1	2
18	это завело бы нас	1	2
19	во всяком случае не	1	1
20	заключается в том что	1	1
21	мог бы привести к	1	1
22	несмотря на то что	1	1
23	в том случае когда	1	1
24	положение по сравнению со	1	1
25	друг с другом и	2	1
26	как бы то ни	1	1
27	а в том что	1	1
28	в китае и в	1	1
29	связаны друг с другом	1	1
30	но дело совершенно меняется	1	1
31	нас слишком далеко и	1	1
32	таким образом оказывается что	1	1
33	не подлежит никакому сомнению	1	1
34	о которых идет речь	1	1
35	только для того чтобы	1	1
36	именно так как это	1	1
37	в то же время	10	1
