N	3gram	Nazirov_Vr	Psycholo
1	в том что	2	78
2	на то что	1	55
3	заключается в том	1	36
4	о том что	1	34
5	с точки зрения	2	29
6	не может быть	2	23
7	до сих пор	1	23
8	и в самом	1	22
9	с другой стороны	1	20
10	не только не	1	16
11	так же как	1	14
12	во всяком случае	1	14
13	в то время	1	14
14	в этом отношении	1	14
15	и в этом	1	13
16	в конце концов	1	12
17	и то что	1	10
18	и что в	2	9
19	точно так же	1	9
20	и то же	1	8
21	речь идет о	1	8
22	что в этой	1	8
23	что в нем	1	8
24	в этом смысле	1	7
25	а с другой	1	7
26	в свою очередь	1	7
27	одно и то	1	7
28	тем не менее	1	6
29	что у него	1	6
30	о том как	1	5
31	не было бы	1	5
32	как бы в	1	5
33	как раз в	2	5
34	а между тем	1	4
35	каждый из них	1	4
36	шаг за шагом	1	4
37	это то что	1	4
38	но и это	1	4
39	это не просто	1	4
40	и никогда не	1	4
41	и не может	1	4
42	и что он	1	4
43	это и есть	1	4
44	что в ней	1	3
45	имел в виду	3	3
46	он не только	2	3
47	может быть и	1	3
48	в высшей степени	1	3
49	то же время	4	3
50	в это время	1	3
51	едва ли не	1	3
52	в то же	4	3
53	речь идет не	1	3
54	он как бы	1	2
55	а следовательно и	1	2
56	у него в	1	2
57	но при этом	1	2
58	при этом он	1	2
59	к вопросу о	1	2
60	все же не	1	2
61	но в этом	1	2
62	в связи с	3	2
63	в ответ на	1	2
64	по крайней мере	1	2
65	и все же	5	2
66	в той же	1	2
67	записи в дневнике	1	2
68	я не знаю	1	2
69	только при помощи	1	2
70	все же в	1	2
71	они как бы	1	2
72	на первый план	1	2
73	равно как и	1	2
74	мы знаем о	1	2
75	то что я	1	2
76	тем самым он	1	1
77	все равно не	1	1
78	следует искать в	1	1
79	в этой сцене	1	1
80	цель которой он	1	1
81	в страшной мести	1	1
82	не забудем что	1	1
83	но и как	1	1
84	не имеет никаких	1	1
85	на этот раз	1	1
86	но это не	1	1
87	подчиняется тому же	1	1
88	нет ничего общего	1	1
89	есть все основания	1	1
90	уже в конце	1	1
91	связи с этим	1	1
92	независимо от того	1	1
93	идет не об	1	1
94	в комментариях к	1	1
95	что я хотел	1	1
96	что для нас	1	1
97	он и не	1	1
98	в каком направлении	1	1
99	ли не самым	1	1
100	не только как	1	1
101	бы его в	1	1
102	в письме к	2	1
103	в том же	1	1
104	мыслей и чувств	1	1
105	а также в	1	1
106	что он сам	1	1
107	в глубине души	1	1
108	которых не было	1	1
109	и в то	1	1
110	чтобы разобраться в	1	1
111	которые до сих	1	1
112	в третий раз	1	1
113	тем что он	1	1
114	с помощью которых	1	1
115	в русской литературе	3	1
116	как он сам	1	1
117	в мировой литературе	1	1
118	но об этом	1	1
119	и в ней	1	1
120	знали что он	1	1
121	в известном смысле	1	1
122	далеко не все	1	1
123	в своих собственных	1	1
124	на первый взгляд	1	1
125	что в начале	2	1
126	во второй раз	1	1
127	он сказал что	1	1
128	то что они	1	1
129	и о которой	1	1
