N	3gram	Vinokur_Vv	VrazhdaK
1	то же время	6	4
2	в то же	6	4
3	в связи с	2	3
4	имел в виду	1	3
5	в том что	15	2
6	не может быть	10	2
7	но в то	3	2
8	как раз в	1	2
9	с точки зрения	4	2
10	все же в	1	1
11	не было бы	1	1
12	о котором уже	1	1
13	во внимание в	1	1
14	в свою очередь	2	1
15	а между тем	2	1
16	приняты во внимание	1	1
17	в конце концов	2	1
18	одно и то	2	1
19	это не просто	1	1
20	точно так же	2	1
21	так же как	1	1
22	что в ней	1	1
23	в своих собственных	1	1
24	быть и речи	1	1
25	в соответствии с	2	1
26	уже в начале	1	1
27	по крайней мере	4	1
28	и никогда не	1	1
29	в этом смысле	10	1
30	заключается в том	3	1
31	что в нем	2	1
32	имеется в виду	1	1
33	и то что	3	1
34	о том что	13	1
35	но и как	1	1
36	до сих пор	7	1
37	но в этом	1	1
38	может быть применено	1	1
39	его отношение к	1	1
40	в том же	1	1
41	важнее всего то	1	1
42	во всяком случае	5	1
43	тем не менее	9	1
44	все равно не	1	1
45	как он сам	1	1
46	и в самом	3	1
47	с другой стороны	5	1
48	это сказалось в	2	1
49	в известном смысле	3	1
50	далеко не последнее	1	1
51	целого ряда других	1	1
52	связи с этим	1	1
53	именно в связи	1	1
54	у него в	1	1
55	не последнее место	1	1
56	и из него	1	1
57	всего то что	2	1
58	но в известном	1	1
59	не только как	4	1
60	и о которой	1	1
61	и то же	2	1
62	между прочим и	1	1
63	в этом отношении	4	1
64	и в этом	4	1
65	может быть и	2	1
