N	2gram	Bakhtin_Pr	VrazhdaK
1	не только	9	9
2	в этом	15	8
3	и в	38	8
4	и что	2	8
5	что в	7	7
6	и все	3	7
7	но и	9	7
8	то что	8	7
9	как и	7	6
10	и даже	3	6
11	и с	17	6
12	в романе	4	6
13	все же	6	6
14	в котором	2	6
15	в начале	2	6
16	в нем	15	6
17	но в	4	6
18	то же	5	5
19	в россии	2	5
20	и не	42	5
21	между тем	7	5
22	не было	2	5
23	же время	3	5
24	в то	4	5
25	это не	5	4
26	при этом	5	4
27	несмотря на	3	4
28	с ним	5	4
29	для нас	1	4
30	все это	3	4
31	в виду	4	4
32	в своих	2	4
33	что он	2	4
34	о том	4	4
35	может быть	26	4
36	в ней	4	4
37	целый ряд	1	4
38	в истории	2	4
39	как бы	22	4
40	так же	1	4
41	что у	1	3
42	в его	43	3
43	в том	8	3
44	его в	9	3
45	связи с	2	3
46	но он	1	3
47	в связи	2	3
48	я не	2	3
49	и как	8	3
50	далеко не	5	3
51	тем что	2	3
52	в чем	2	3
53	и у	2	3
54	человека в	2	3
55	том что	3	3
56	он не	3	3
57	и уже	1	3
58	и о	5	3
59	что есть	1	3
60	из подполья	1	3
61	в своем	5	3
62	на то	2	3
63	с его	2	3
64	и его	16	3
65	к этому	2	3
66	который был	1	3
67	и во	2	3
68	в той	1	2
69	таким образом	10	2
70	и он	2	2
71	в момент	1	2
72	его с	1	2
73	к себе	2	2
74	с точки	6	2
75	для него	1	2
76	его и	1	2
77	этот момент	2	2
78	о чем	1	2
79	в них	5	2
80	а также	1	2
81	отношения к	6	2
82	в мире	3	2
83	в в	1	2
84	в своей	7	2
85	рядом с	5	2
86	вместе с	1	2
87	не менее	4	2
88	и это	3	2
89	на первый	2	2
90	еще не	7	2
91	но как	2	2
92	это в	1	2
93	в свою	2	2
94	на основе	6	2
95	личность и	1	2
96	в этой	1	2
97	в нашей	2	2
98	человека с	1	2
99	а в	6	2
100	к ним	1	2
101	отношение к	10	2
102	в одну	1	2
103	уже не	1	2
104	из них	1	2
105	в себе	4	2
106	в глазах	1	2
107	не может	27	2
108	место в	8	2
109	с которым	1	2
110	столь же	2	2
111	том же	2	2
112	точки зрения	8	2
113	одна из	2	2
114	чувств и	1	2
115	отнюдь не	19	2
116	но это	3	2
117	в него	2	2
118	и ее	2	2
119	никогда не	5	2
120	могли быть	1	2
121	души и	2	1
122	на большую	1	1
123	в особенности	2	1
124	в самом	7	1
125	во всем	2	1
126	то в	1	1
127	как к	2	1
128	этого и	1	1
129	связан с	1	1
130	так и	5	1
131	в свое	1	1
132	художник как	1	1
133	все что	3	1
134	для всех	1	1
135	до сих	1	1
136	в душе	1	1
137	можно говорить	2	1
138	из которых	2	1
139	они не	3	1
140	ни с	2	1
141	только что	1	1
142	если в	1	1
143	но поэзия	1	1
144	к этой	1	1
145	каковы же	1	1
146	которой не	1	1
