N	2gram	Bakhtin_sl	Morfolog
1	и т	56	62
2	может быть	40	61
3	т д	7	60
4	таким образом	16	26
5	действующих лиц	2	22
6	могут быть	25	21
7	так как	7	20
8	мы имеем	1	19
9	не может	27	19
10	в этом	21	18
11	в этих	8	17
12	и в	69	17
13	и не	32	16
14	мы видим	2	15
15	этих случаях	2	15
16	перед нами	7	14
17	с этим	5	14
18	прежде всего	14	14
19	эта форма	3	14
20	по существу	3	13
21	видим что	1	12
22	связи с	4	12
23	и др	17	12
24	а не	29	11
25	чаще всего	1	11
26	что в	3	10
27	то же	17	10
28	а затем	1	10
29	мы увидим	2	10
30	не всегда	1	10
31	но если	1	10
32	этом случае	4	10
33	в том	7	10
34	так и	22	10
35	что и	2	10
36	в связи	2	10
37	то что	2	10
38	все же	10	9
39	с другой	8	9
40	но и	37	9
41	не только	37	8
42	в результате	4	8
43	имеем в	1	8
44	иногда в	2	8
45	мы не	4	8
46	в качестве	4	8
47	но не	7	8
48	а в	10	8
49	как мы	15	8
50	во втором	1	7
51	один из	9	7
52	и здесь	5	7
53	не могут	7	7
54	не менее	4	7
55	том что	6	7
56	потому что	2	7
57	по отношению	2	7
58	точки зрения	24	7
59	как это	3	7
60	тем не	2	7
61	и этим	3	7
62	или же	1	7
63	а также	5	7
64	отношению к	2	7
65	и другие	3	6
66	о том	5	6
67	как бы	16	6
68	не все	2	6
69	но это	3	6
70	это не	8	6
71	с точки	11	6
72	в нашем	1	6
73	или в	10	6
74	и как	3	6
75	вовсе не	16	6
76	во всех	25	6
77	если мы	2	6
78	очень часто	1	6
79	также и	5	6
80	в форме	3	6
81	героя в	2	5
82	другой стороны	5	5
83	в первом	3	5
84	по их	1	5
85	этот элемент	2	5
86	что он	2	5
87	как в	18	5
88	со стороны	1	5
89	хотя бы	6	5
90	было бы	3	5
91	к тому	3	5
92	ничего не	5	5
93	что они	2	5
94	хотя и	4	5
95	то мы	1	5
96	прежде чем	1	5
97	тому что	2	5
98	все эти	15	5
99	одна из	6	5
100	между собой	3	5
101	на его	9	5
102	об этом	1	5
103	в других	4	5
104	там где	10	5
105	мы можем	1	5
106	между тем	5	5
107	он не	5	5
108	то перед	1	5
109	если же	1	5
110	далеко не	7	5
111	в целом	3	5
112	и ее	3	5
113	и к	9	4
114	смысле слова	2	4
115	в некоторых	3	4
116	есть и	1	4
117	на этом	4	4
118	нами в	3	4
119	как и	8	4
120	но все	2	4
121	тем что	1	4
122	уже не	5	4
123	еще не	9	4
124	не является	3	4
125	тех же	1	4
126	входит в	8	4
127	того чтобы	1	4
128	говорить о	2	4
129	на пути	1	4
130	так же	2	4
131	сказать что	4	4
132	на него	1	4
133	на котором	3	4
134	и для	7	4
135	из них	3	4
136	но в	13	4
137	несмотря на	2	4
138	на самом	2	4
139	его в	7	4
140	что его	1	4
141	с теми	1	4
142	случае не	2	4
143	к этому	3	4
144	в то	17	4
145	мы уже	4	4
146	как таковые	3	4
147	можно было	2	4
148	от того	1	4
149	в иных	2	4
150	могла бы	1	4
151	оно может	3	4
152	независимо от	1	4
153	утверждать что	1	3
154	собственном смысле	2	3
155	то время	2	3
156	та же	1	3
157	в последнем	1	3
158	предметы и	1	3
159	с этой	3	3
160	и при	2	3
161	в сущности	18	3
162	о формах	2	3
163	в живых	1	3
164	одному из	2	3
165	ни в	4	3
166	этого момента	1	3
167	то с	1	3
168	с собой	1	3
169	только в	9	3
170	в плоскости	1	3
171	время как	2	3
172	или на	2	3
173	и другим	4	3
174	в собственном	2	3
175	состоит из	1	3
176	но мы	2	3
177	на первый	1	3
178	первом случае	2	3
179	и что	2	3
180	связана с	2	3
181	для того	2	3
182	но эти	3	3
183	целый ряд	2	3
184	и вне	3	3
185	здесь не	6	3
186	с его	8	3
187	в отдельных	1	3
188	кроме того	6	3
189	что при	1	3
190	он должен	1	3
191	к нему	7	3
192	бы то	1	3
193	то в	2	3
194	они не	3	3
195	сам он	1	3
196	который может	1	3
197	или с	1	3
198	того что	4	3
199	что такое	1	3
200	но как	2	3
201	у нас	2	3
202	это и	1	3
203	и есть	2	3
204	в ином	1	3
205	в виде	4	3
206	а на	3	3
207	в таких	1	3
208	в какой	2	3
209	большинстве случаев	11	3
210	даже не	1	3
211	это было	2	3
212	и у	2	3
213	реагирует на	1	3
214	героя и	5	3
215	формы передачи	4	3
216	как уже	2	3
217	для наших	1	3
218	то ни	1	3
219	совсем не	1	3
220	если бы	1	3
221	иное чем	1	3
222	друг друга	3	3
223	и тем	3	3
224	не в	14	3
225	в которой	4	3
226	на нем	2	3
227	и их	6	3
228	в начале	1	3
229	в пределах	27	3
230	в большинстве	16	3
231	в этой	1	3
232	вступают в	1	3
233	к ней	2	3
234	приводит к	2	3
235	но есть	1	3
236	приводят к	1	3
237	не значит	2	3
238	же в	2	3
239	на то	2	3
240	и его	45	3
241	и по	3	3
242	и только	2	3
243	встречается и	1	3
244	в один	2	3
245	от него	5	2
246	является в	1	2
247	могут иметь	1	2
248	а потому	1	2
249	которой все	1	2
250	как таковой	1	2
251	всегда ли	1	2
252	если он	1	2
253	должна быть	3	2
254	и становятся	1	2
255	и дает	1	2
256	не с	5	2
257	или нет	1	2
258	которое может	1	2
259	потому не	1	2
260	все действие	1	2
261	формах в	2	2
262	лишь на	3	2
263	и тот	1	2
264	не на	6	2
265	но такое	1	2
266	передачи и	10	2
