N	2gram	Vinokur_Vv	Tragedij
1	и в	35	18
2	в этом	35	9
3	не только	26	8
4	и на	3	7
5	и не	13	7
6	может быть	30	7
7	и с	2	7
8	как бы	7	7
9	он сам	3	7
10	что он	5	6
11	у него	1	6
12	же время	6	6
13	но в	10	6
14	и его	6	6
15	это не	8	5
16	несмотря на	2	5
17	что это	3	5
18	так и	2	5
19	все же	9	5
20	в дальнейшем	2	5
21	то же	11	5
22	как и	7	5
23	не может	19	5
24	в то	6	5
25	что в	13	4
26	в себе	4	4
27	и даже	6	4
28	все это	6	4
29	прежде всего	10	4
30	и все	1	4
31	этот образ	1	4
32	об этом	6	4
33	еще не	4	4
34	но и	7	4
35	том что	30	4
36	и что	6	4
37	так же	3	4
38	то что	19	4
39	в этой	3	4
40	в нем	13	4
41	но это	2	4
42	в целом	5	4
43	своего рода	3	3
44	что с	3	3
45	один из	6	3
46	достоевского в	1	3
47	должно быть	2	3
48	уже в	5	3
49	в его	12	3
50	для него	1	3
51	в своем	3	3
52	с ним	1	3
53	о чем	4	3
54	и сам	3	3
55	в конце	3	3
56	и как	9	3
57	как в	3	3
58	при этом	3	3
59	жизнь и	1	3
60	как это	5	3
61	мог бы	2	3
62	как будто	3	3
63	все эти	3	3
64	к нему	3	3
65	о жизни	1	2
66	в самом	13	2
67	и то	7	2
68	человеческой личности	1	2
69	еще раз	2	2
70	и здесь	3	2
71	данном случае	5	2
72	и за	1	2
73	в том	38	2
74	это уже	2	2
75	он и	2	2
76	с тем	6	2
77	в ее	11	2
78	говорит о	3	2
79	что и	5	2
80	бы и	3	2
81	к области	1	2
82	в русском	1	2
83	по словам	1	2
84	что все	1	2
85	не могут	6	2
86	в виде	4	2
87	его в	6	2
88	этим объясняется	1	2
89	как же	1	2
90	не в	10	2
91	в первом	5	2
92	но все	4	2
93	из самых	1	2
94	еще в	1	2
95	в таком	1	2
96	вопрос о	10	2
97	вряд ли	3	2
98	состоит из	1	2
99	знает что	1	2
100	и это	6	2
101	теперь и	1	2
102	уже не	6	2
103	к тому	4	2
104	о том	16	2
105	с первого	1	2
106	не имеет	4	2
107	что эти	1	2
108	и я	1	2
