N	4gram	Losev_Prob	slovoVRo
1	в той или иной	1	13
2	но в то же	1	7
3	и в то же	1	6
4	как мы уже сказали	1	4
5	с одной стороны и	2	4
6	всегда в той или	1	4
7	не выходит за пределы	1	3
8	одно и то же	1	3
9	и в этом случае	3	2
10	в том и в	1	2
11	том и в другом	1	2
12	и в том и	1	2
13	не для того чтобы	1	2
14	в точном смысле слова	1	2
15	с точки зрения самого	1	2
16	и с другой стороны	1	2
17	и не может быть	1	2
18	в то время как	2	2
19	и в другом случае	1	2
20	о которых мы говорили	1	2
21	уходит своими корнями в	1	2
22	на самом же деле	1	1
23	мы имеем в виду	1	1
24	если бы он был	1	1
25	в том случае если	1	1
26	ни при каких условиях	1	1
27	здесь перед нами в	1	1
28	во всяком случае не	1	1
29	все дело в том	1	1
30	и до наших дней	1	1
31	дело в том что	3	1
32	так и в отношении	1	1
33	в том что в	1	1
34	необходимо иметь в виду	1	1
35	можно сказать что к	1	1
36	одной и той же	1	1
37	в связи с этим	2	1
38	а не только в	1	1
39	то есть только в	1	1
40	которые лежат в основе	1	1
41	xix и xx веков	1	1
42	в том числе и	2	1
43	xix и начала xx	2	1
44	бы оно ни было	1	1
45	в пространстве и времени	1	1
46	и начала xx века	2	1
47	тем не менее очень	1	1
48	и с точки зрения	1	1
49	он не может быть	1	1
50	прежде чем перейти к	2	1
51	во всех этих случаях	1	1
52	может быть и более	1	1
53	так же как и	1	1
54	но в таких случаях	1	1
