N	3gram	Kanaev_Sov	OGranits
1	с точки зрения	5	5
2	не может быть	4	4
3	по отношению к	1	3
4	в том что	1	2
5	не что иное	1	2
6	в зависимости от	4	2
7	в данном случае	1	2
8	есть не что	1	2
9	мы можем поставить	1	2
10	в самом деле	1	2
11	что иное как	1	2
12	с одной стороны	1	2
13	с самого начала	3	2
14	не было бы	1	1
15	громадную роль играет	1	1
16	на самом деле	1	1
17	и тот же	1	1
18	точки зрения своего	1	1
19	равно как и	1	1
20	ничего общего не	1	1
21	в конечном счете	1	1
22	так же как	1	1
23	что в ней	1	1
24	быть и речи	1	1
25	известный промежуток времени	1	1
26	не из готовых	1	1
27	в каждом отдельном	5	1
28	все эти три	1	1
29	но тем не	1	1
30	и категорический ответ	1	1
31	которая нужна для	1	1
32	один и тот	1	1
33	в отличие от	2	1
34	и есть не	1	1
35	само собою разумеется	2	1
36	в связи с	1	1
37	то же самое	2	1
38	через известный промежуток	1	1
39	тем не менее	2	1
40	в одном случае	1	1
41	точки зрения и	1	1
42	то же время	1	1
43	общего не имеет	1	1
44	в то же	1	1
45	его и не	1	1
46	можно было бы	1	1
47	те или иные	1	1
48	мы не можем	6	1
49	каждом отдельном случае	5	1
50	и не может	1	1
51	может быть и	2	1
