N	2gram	Vygotskiy_	IolandNe
1	и с	10	3
2	что в	25	2
3	самого себя	1	2
4	он не	11	2
5	должен быть	6	2
6	бы что	4	2
7	ничего не	6	2
8	и не	15	2
9	в этом	32	2
10	говорить о	4	1
11	все эти	6	1
12	для того	19	1
13	а в	4	1
14	и о	1	1
15	же это	2	1
16	к нам	1	1
17	понятий и	4	1
18	утверждает что	3	1
19	это было	1	1
20	и со	2	1
21	и та	1	1
22	что для	8	1
23	для него	5	1
24	не остается	3	1
25	вплоть до	1	1
26	тех же	3	1
27	тем что	7	1
28	только что	7	1
29	ибо и	1	1
30	когда его	1	1
31	того же	1	1
32	доказательство того	1	1
33	и др	5	1
34	первую очередь	3	1
35	жизни и	2	1
36	с другой	16	1
37	в целом	29	1
38	он с	1	1
39	точно и	2	1
40	очевидно что	4	1
41	в эту	4	1
42	другой стороны	10	1
43	я не	4	1
44	с любым	2	1
45	могло бы	2	1
46	то и	4	1
47	и еще	2	1
48	в первую	3	1
49	что при	3	1
50	как только	3	1
51	если бы	10	1
52	она ничего	1	1
53	отношению к	11	1
54	в руки	1	1
55	бы все	1	1
56	следующим образом	2	1
57	доказать что	1	1
58	по существу	8	1
59	и сам	2	1
60	того что	28	1
61	а с	8	1
62	стало быть	2	1
63	только для	6	1
64	по поводу	5	1
65	так то	1	1
66	и тот	1	1
67	и многое	1	1
68	а также	1	1
69	так и	12	1
70	автора и	1	1
71	в основе	9	1
72	в значительной	2	1
73	без этого	2	1
74	следовательно в	1	1
75	о ней	1	1
76	от этого	4	1
77	та и	1	1
78	того чтобы	23	1
79	и без	1	1
80	весь очерк	1	1
81	а для	2	1
82	бы в	5	1
83	не дает	1	1
84	а по	1	1
85	факты и	2	1
86	и в	37	1
87	его личности	1	1
88	видит в	2	1
89	др он	1	1
90	никогда не	8	1
91	еще одной	1	1
92	своего исследования	3	1
93	все это	9	1
94	по отношению	12	1
95	со всеми	2	1
96	на котором	1	1
97	нисколько не	2	1
98	как о	2	1
99	в них	5	1
