N	2gram	Vinokur_Ku	Problemy
1	и в	44	106
2	и не	23	90
3	как бы	11	70
4	может быть	25	66
5	т е	54	59
6	в его	16	56
7	в этом	31	52
8	в нем	7	51
9	не может	13	49
10	как и	3	44
11	что он	7	44
12	у достоевского	2	43
13	точки зрения	25	40
14	но и	13	40
15	для него	2	39
16	и его	8	39
17	а не	17	38
18	то же	12	36
19	не только	29	36
20	в пределах	8	35
21	то что	14	33
22	но в	11	33
23	прежде всего	14	32
24	он не	4	29
25	в то	4	29
26	все это	10	29
27	и все	4	28
28	в одном	4	27
29	не в	18	27
30	к себе	4	26
31	же время	4	26
32	в самом	20	25
33	и с	11	25
34	к нему	1	25
35	с точки	16	25
36	в сущности	11	25
37	и т	62	25
38	не как	2	24
39	вовсе не	18	24
40	самом деле	17	24
41	рядом с	7	23
42	и на	8	23
43	слова и	8	23
44	по себе	10	22
45	в каждом	3	22
46	что я	4	22
47	таким образом	17	22
48	там где	7	21
49	как мы	2	21
50	все же	17	20
51	никогда не	2	20
52	только в	15	20
53	потому что	40	20
54	что же	11	19
55	что в	25	19
56	достоевского в	1	19
57	с его	4	19
58	отношению к	9	19
59	слова в	7	19
60	уже не	13	18
61	по отношению	9	18
62	т п	39	18
63	в себе	4	18
64	еще не	10	18
65	о нем	2	18
66	на самом	3	18
67	но не	11	18
68	все эти	17	18
69	и к	1	17
70	с ним	5	17
71	а в	7	17
72	в том	47	17
73	это не	13	17
74	так и	10	17
75	так же	8	16
76	если бы	21	16
77	в своей	4	16
78	этом смысле	8	16
79	в другом	2	16
80	у него	3	15
81	до конца	3	15
82	и для	3	15
83	достоевского не	1	15
84	и сам	1	14
85	в своем	4	14
86	как раз	10	14
87	в конце	5	14
88	а как	1	14
89	в отношении	2	14
90	себя самого	2	14
91	так как	16	14
92	я не	5	14
93	он и	1	14
94	лишь в	6	14
95	но все	5	13
96	его в	1	13
97	большинстве случаев	3	13
98	и это	3	13
99	достоевского и	2	13
100	себя и	1	13
101	перед нами	4	13
102	в большинстве	3	13
103	в целом	5	13
104	при этом	6	12
105	даже в	4	12
106	отношении к	1	12
107	и как	3	12
108	и даже	5	12
109	и слово	1	12
110	к тому	8	12
111	во всяком	8	12
112	в котором	4	12
113	что и	5	12
114	не знает	4	12
115	так сказать	5	12
116	себе и	3	12
117	так что	5	12
118	и что	11	12
119	было бы	28	12
120	между тем	11	12
121	как в	6	12
122	том что	30	12
123	но это	4	12
124	ничего не	6	12
125	слово в	2	12
126	в одной	1	12
127	тем что	9	11
128	их в	1	11
129	с другой	14	11
130	ни одного	2	11
131	должно быть	6	11
132	это слово	7	11
133	бы в	8	11
134	мы уже	1	11
135	в форме	3	11
136	не могут	5	11
137	бы и	6	11
138	так чтобы	1	11
139	слово с	2	11
140	этого слова	8	11
141	своему предмету	1	11
142	сознания и	1	11
143	она не	1	11
144	как будто	2	11
145	конце концов	3	11
146	более того	2	11
147	слово не	1	10
148	говорит он	1	10
149	что не	10	10
150	сих пор	5	10
151	свой предмет	2	10
152	в него	1	10
153	до сих	5	10
154	для себя	1	10
155	в слове	3	10
156	приводит к	3	10
157	достоевский в	1	10
158	той же	5	10
159	в самой	6	10
160	к одному	2	10
161	слова с	2	10
162	далеко не	2	10
163	как не	4	10
164	лишь как	3	10
165	отношение к	2	10
166	ведь и	2	10
167	в той	6	9
168	другой стороны	12	9
169	в них	10	9
170	хотя бы	19	9
171	что у	3	9
172	хотя и	7	9
173	но он	2	9
174	из одного	3	9
175	могут быть	5	9
176	всяком случае	8	9
177	ни в	3	9
178	да и	5	9
179	или в	5	9
180	раз и	1	9
181	и потому	6	9
182	же и	4	8
183	в результате	8	8
184	о том	10	8
185	а что	1	8
186	мы увидим	3	8
187	все время	1	8
188	из них	4	8
189	и он	4	8
190	несмотря на	6	8
191	ни было	1	8
192	но как	2	8
193	одним из	2	8
194	здесь не	5	8
195	и у	3	8
196	я вам	1	8
197	и от	2	8
198	мы должны	2	8
199	должна быть	6	8
200	был бы	4	8
201	что это	11	8
202	никак не	5	8
203	не на	4	8
204	с ними	6	8
205	и так	1	8
206	из его	1	8
207	он есть	3	8
208	как к	2	8
209	уже в	5	8
210	того что	11	8
211	это и	6	8
212	же не	1	8
213	с их	3	8
214	менее всего	1	8
215	в стиле	1	8
216	и о	3	8
217	бы он	1	8
218	устную речь	1	7
219	тем как	1	7
220	мысли и	1	7
221	в виду	7	7
222	в жизни	1	7
223	отличается от	2	7
224	и со	1	7
225	вопрос о	11	7
226	в себя	2	7
227	из своего	1	7
228	только на	1	7
229	сказать что	5	7
230	что все	6	7
231	что она	5	7
232	от себя	3	7
233	что они	5	7
234	все его	1	7
235	это я	1	7
236	не было	6	7
237	как его	1	7
238	лишь на	1	7
239	между ними	2	7
240	в этих	5	7
241	и следовательно	2	7
242	во всех	1	7
243	то ни	2	7
244	кажется что	1	7
245	если же	1	7
246	друг другу	1	7
247	и др	1	7
248	с которым	1	7
249	его к	5	7
250	были бы	2	7
251	бы то	1	7
252	например в	5	7
253	в процессе	1	7
254	его и	1	7
255	не хочу	2	7
256	на этот	4	7
257	т д	21	7
258	точку зрения	2	7
259	тот же	7	7
260	но на	1	7
261	в их	3	7
262	все равно	4	7
263	в виде	1	7
264	к своему	2	7
265	и их	2	7
266	такой же	1	7
267	что было	2	6
