N	2gram	Trubetskoy	Literetu
1	а не	2	50
2	и не	19	47
3	не только	9	46
4	и в	14	44
5	может быть	9	43
6	при этом	5	41
7	но и	10	41
8	тогда как	2	40
9	в том	17	39
10	в этом	17	38
11	том что	9	32
12	в частности	2	30
13	то что	13	29
14	в мире	4	28
15	в качестве	3	27
16	то же	11	26
17	состоит в	2	26
18	как и	4	23
19	в то	10	23
20	себя в	4	22
21	не в	4	22
22	того что	3	22
23	так и	1	22
24	не может	22	22
25	же время	10	21
26	в себе	9	20
27	прежде всего	8	19
28	как бы	4	18
29	с другой	1	17
30	точки зрения	11	17
31	то есть	1	17
32	в его	4	17
33	в жизни	1	16
34	в этой	4	16
35	не менее	1	15
36	только в	5	15
37	со стороны	4	15
38	тем самым	2	15
39	и даже	2	14
40	по отношению	2	14
41	что он	6	14
42	уже не	2	13
43	в своем	6	13
44	как это	1	13
45	но не	4	13
46	в своей	5	12
47	о том	7	12
48	в данном	7	12
49	к себе	2	12
50	еще не	3	12
51	отношению к	1	12
52	не столько	1	11
53	в другом	3	11
54	никогда не	5	11
55	столь же	1	11
56	вместе с	4	11
57	в основе	1	11
58	данном случае	3	11
59	это не	1	11
60	а в	5	11
61	даже в	1	10
62	в принципе	1	10
63	из них	3	10
64	в ее	1	10
65	что в	4	10
66	и на	5	10
67	для себя	2	10
68	жизни в	5	10
69	потому что	5	10
70	этом отношении	1	10
71	жизни и	4	10
72	отнюдь не	7	10
73	в области	2	10
74	с этой	1	9
75	к тому	7	9
76	связи с	3	9
77	один из	1	9
78	отказ от	1	9
79	в начале	2	9
80	и т.д	4	9
81	лишь в	3	9
82	быть может	1	8
83	в своих	6	8
84	тем что	3	8
85	все же	4	8
86	исходит из	1	8
87	одна из	3	8
88	того же	1	8
89	с точки	9	8
90	на себя	2	8
91	что не	1	8
92	в конце	3	8
93	о себе	1	8
94	в глазах	2	8
95	но в	2	8
96	для него	6	8
97	по существу	5	8
98	и как	3	8
99	в самом	3	7
100	для всех	6	7
101	на свою	1	7
102	именно в	3	7
103	для этого	3	7
104	тому же	1	7
105	он не	5	7
106	и тем	2	7
107	и с	7	7
108	в нем	5	7
109	по своей	1	7
110	в сфере	1	7
111	до конца	1	7
112	друг друга	3	7
113	и для	6	7
114	в их	4	7
115	человека в	1	7
116	и других	1	7
117	это как	1	7
118	культуры в	3	6
119	казалось бы	1	6
120	как на	8	6
121	у него	2	6
122	его в	4	6
123	не было	3	6
124	во всех	5	6
125	было бы	5	6
126	с ее	1	6
127	то в	3	6
128	разумеется не	1	6
129	самом деле	7	6
130	самим собой	12	6
131	еще и	1	6
132	то и	1	6
133	тем же	1	6
134	одного из	1	6
135	и то	4	6
136	том числе	1	6
137	в ней	2	6
138	как будто	2	6
139	и только	5	6
140	и наконец	2	6
141	и к	6	5
142	самого себя	7	5
143	к этой	4	5
144	в связи	1	5
145	во имя	5	5
146	хотя бы	5	5
147	он сам	3	5
148	свое собственное	2	5
149	всего в	1	5
150	том чтобы	3	5
151	должно быть	3	5
152	несмотря на	3	5
153	ни было	1	5
154	тем не	1	5
155	и за	1	5
156	деятельности в	1	5
157	в себя	1	5
158	между тем	5	5
159	так что	2	5
160	в силу	2	5
161	в сущности	1	5
162	в россии	6	5
163	себя и	5	5
164	следует признать	1	5
165	идет о	1	5
166	и если	7	5
167	быть не	1	5
168	так как	4	5
169	мы не	1	5
170	что и	3	5
171	место в	2	5
172	или иной	5	5
173	не к	2	5
174	которая в	1	4
175	с тем	6	4
176	только для	2	4
177	во всяком	9	4
178	то это	3	4
179	входит в	1	4
180	не должен	2	4
181	для того	6	4
182	не всегда	1	4
183	в руках	1	4
184	только на	2	4
185	как мы	1	4
186	к этому	1	4
187	бы то	4	4
188	что его	1	4
189	очевидно что	1	4
190	себе и	4	4
191	в сторону	1	4
192	свое место	1	4
193	ту же	1	4
194	то ни	4	4
195	и что	2	4
196	могут быть	1	4
197	и есть	2	4
198	можно сказать	1	4
199	из этого	3	4
200	а потому	5	4
201	о которой	1	4
202	сводится к	3	4
203	от своего	1	4
204	и все	1	4
205	отношения к	2	4
206	приводит к	4	4
207	бы не	1	4
208	все они	3	4
209	ни к	7	4
210	совершенно не	2	4
211	не является	1	4
212	тех же	1	4
213	в свою	1	4
214	на том	3	4
215	при котором	3	4
216	одной из	3	4
217	но это	2	4
218	таким образом	11	4
219	и вот	2	4
220	для нас	2	4
221	и прежде	1	4
222	на его	1	4
223	вовсе не	1	4
224	ко всему	1	4
225	но при	1	4
226	русской культуры	2	4
227	а по	1	4
228	зависимость от	2	4
229	такой же	1	4
230	на то	5	4
231	все что	4	3
232	же и	1	3
233	в этих	2	3
234	по себе	2	3
235	мысль о	1	3
236	речь идет	2	3
237	и того	1	3
238	со своей	1	3
239	вопрос о	5	3
240	он был	1	3
241	во многих	2	3
242	превращается в	1	3
243	так же	2	3
244	свою очередь	1	3
245	и культуры	1	3
246	с ним	2	3
247	не просто	2	3
248	крайней мере	1	3
249	к общему	1	3
250	говорить о	3	3
251	она и	1	3
252	именно так	1	3
253	что такое	2	3
254	духовной культуры	1	3
255	а с	2	3
256	а за	1	3
257	не есть	3	3
258	во главе	2	3
259	той или	3	3
260	но как	1	3
261	же как	1	3
262	к новым	1	3
263	и является	2	3
264	но только	1	3
265	вот в	1	3
266	же это	1	3
267	однако если	1	3
268	что для	3	3
269	его личности	1	3
270	и от	2	3
271	в зависимость	2	3
272	те кто	1	3
273	в советской	1	3
274	не так	2	3
275	за ним	1	3
276	если в	6	3
277	во время	2	3
278	должна быть	2	3
279	из которых	5	3
280	мы в	1	3
281	не на	1	3
282	можно было	4	3
283	если не	2	3
284	если бы	6	3
285	с ней	1	3
286	из тех	1	3
287	и т	3	3
288	они не	1	3
