N	2gram	Nazirov_Tr	Tvorches
1	у достоевского	5	91
2	и в	18	56
3	как бы	7	41
4	в его	3	37
5	в романе	10	34
6	романах достоевского	2	32
7	в то	5	30
8	в романах	1	30
9	достоевского в	3	27
10	м м	1	26
11	то же	5	25
12	в году	9	24
13	не только	8	24
14	же время	6	24
15	но в	6	24
16	как и	5	23
17	то есть	3	23
18	и не	7	23
19	и его	6	23
20	в этом	9	22
21	и т	1	22
22	достоевского не	1	22
23	что в	4	21
24	в том	2	21
25	из подполья	1	21
26	он не	2	19
27	том что	4	19
28	может быть	7	19
29	потому что	2	19
30	в преступлении	2	19
31	у него	6	18
32	то что	4	18
33	преступлении и	2	18
34	таким образом	1	17
35	и на	7	17
36	и наказании	2	17
37	что он	6	17
38	все это	4	17
39	при этом	3	16
40	но и	4	16
41	никогда не	2	16
42	как в	3	16
43	в бесах	9	16
44	прежде всего	4	16
45	не может	5	16
46	достоевский не	4	16
47	и с	7	15
48	xix века	1	15
49	в мире	3	15
50	но это	4	15
51	в этой	4	15
52	с его	2	15
53	и даже	4	14
54	князь мышкин	2	14
55	достоевский в	7	14
56	это не	5	14
57	о том	2	13
58	времени в	2	13
59	а не	1	13
60	в котором	1	12
61	л п	1	12
62	тем самым	3	12
63	в целом	4	12
64	в своей	1	11
65	все же	5	11
66	отнюдь не	3	11
67	братьях карамазовых	1	11
68	для него	3	11
69	что достоевский	4	11
70	в самом	2	10
71	и достоевский	1	10
72	представление о	1	10
73	нашему мнению	1	10
74	он сам	7	10
75	не в	2	10
76	в конце	3	10
77	только в	1	10
78	иван карамазов	1	10
79	мире достоевского	1	10
80	в основном	3	10
81	уже в	3	10
82	так и	5	10
83	но не	1	10
84	романа достоевского	2	10
85	как будто	3	10
86	по нашему	1	10
87	в душе	2	9
88	наряду с	1	9
89	по природе	1	9
90	а затем	1	9
91	в братьях	1	9
92	по мнению	2	9
93	для достоевского	2	9
94	и от	1	9
95	один из	3	9
96	жизни в	1	9
97	в черновиках	1	9
98	в нем	4	9
99	во многом	1	9
100	в духе	1	8
101	именно в	1	8
102	не менее	1	8
103	так же	4	8
104	достоевским в	2	8
105	ивана карамазова	2	8
106	одним из	1	8
107	это уже	2	8
108	вместе с	1	8
109	тогда как	1	8
110	еще не	4	8
111	в себе	4	8
112	об этом	4	8
113	человека и	1	8
114	достоевского к	1	7
115	и сам	3	7
116	романе идиот	3	7
117	например в	1	7
118	уже не	2	7
119	в записках	2	7
120	в дальнейшем	5	7
121	что она	2	7
122	и он	3	7
123	в которой	1	7
124	в чем	1	7
125	в рассказе	2	7
126	не случайно	2	7
127	своего рода	3	7
128	человеческой личности	2	7
129	достоевского и	1	7
130	самом деле	1	7
131	во сне	2	7
132	и оскорбленных	17	7
133	униженных и	16	7
134	молодого достоевского	1	7
135	в момент	1	6
136	не столько	1	6
137	и как	3	6
138	если он	1	6
139	но у	1	6
140	болевого эффекта	1	6
141	хотя бы	1	6
142	одна из	2	6
143	достоевского но	1	6
144	его в	2	6
145	так что	2	6
146	и ее	2	6
147	и далее	1	6
148	с ним	3	6
149	и все	4	6
150	творчества достоевского	1	6
151	в книге	1	6
152	записках из	3	6
153	настасьи филипповны	1	6
154	все эти	3	6
155	xx века	1	6
156	быть может	1	5
157	в них	1	5
158	что этот	2	5
159	окончательном тексте	1	5
160	отметить что	1	5
161	в своем	3	5
162	все время	1	5
163	в петербурге	1	5
164	в ее	2	5
165	что и	2	5
166	не было	1	5
167	что не	1	5
168	в таком	2	5
169	я не	4	5
170	и это	2	5
171	героя и	1	5
172	что это	5	5
173	т п	1	5
174	между тем	1	5
175	сновидения в	1	5
176	не так	2	5
177	на деле	1	5
178	в окончательном	1	5
179	образ князя	4	5
180	романа и	3	5
181	роман достоевского	2	5
182	в россии	1	5
183	в истории	1	5
184	до конца	2	5
185	в образе	6	5
186	настасья филипповна	2	5
187	но если	1	5
188	ничего не	2	5
189	в литературе	1	5
190	как у	2	5
191	бы не	1	5
192	в виде	2	5
193	но эта	2	5
194	и по	1	5
195	что я	4	5
196	это как	1	5
197	как он	1	5
198	в известной	2	5
199	с этой	1	4
200	в финале	1	4
201	говорит о	2	4
202	с собой	1	4
203	на земле	1	4
204	тем что	2	4
205	роль в	1	4
206	в xx	1	4
207	восходит к	1	4
208	представляет собой	1	4
209	по самой	1	4
210	только на	1	4
211	говорит что	2	4
212	не вполне	1	4
213	рассказывает о	1	4
214	самого начала	1	4
215	что все	2	4
216	к нему	3	4
217	мы видим	1	4
218	и потому	1	4
219	добра и	1	4
220	великий писатель	2	4
221	больших романах	1	4
222	который в	2	4
223	так сказать	1	4
224	в такой	1	4
225	не был	2	4
226	тут же	2	4
227	к роману	1	4
228	личности и	2	4
229	не мог	2	4
230	как это	3	4
231	но только	1	4
232	и я	2	4
233	ту же	1	4
234	но без	1	4
235	могут быть	1	4
236	о его	2	4
237	и есть	1	4
238	ведет к	1	4
239	известно что	1	4
240	в человеке	1	4
241	с иваном	2	4
242	с ними	1	4
243	года и	1	4
244	перед нами	2	4
245	это и	1	4
246	сливается с	1	4
247	в отличие	2	4
248	той же	1	4
249	на улице	1	4
250	белых ночей	2	4
251	того что	1	4
252	это был	2	4
253	xix веке	2	4
254	же не	1	4
255	он же	1	4
256	было в	2	4
257	о жизни	2	4
258	к жизни	5	4
259	что ж	1	4
260	xx веке	1	4
261	в униженных	6	4
262	на свете	1	4
263	с самого	1	4
264	творческий процесс	1	4
265	отличие от	2	4
266	достоевский и	1	4
267	произведениях достоевского	1	4
268	но он	1	4
269	в частности	2	4
270	в эпилоге	1	4
271	еще в	2	4
272	в xix	1	4
273	х годов	1	4
274	считает что	1	4
275	и наконец	1	4
276	что на	1	4
277	от него	1	3
278	в настоящем	1	3
279	этого персонажа	1	3
280	только что	1	3
281	в виду	1	3
282	по себе	1	3
283	в первом	2	3
284	мысль о	1	3
285	униженные и	9	3
286	к тому	2	3
287	на все	1	3
288	во всяком	1	3
289	и оскорбленные	9	3
290	всегда с	1	3
291	вот почему	1	3
292	точно так	2	3
293	в одном	2	3
294	перед ним	1	3
295	с другим	1	3
296	и еще	1	3
297	русской литературы	2	3
298	то в	1	3
299	к себе	1	3
300	несмотря на	5	3
301	иными словами	1	3
302	к князю	1	3
303	на себя	1	3
304	я и	1	3
305	неточка незванова	2	3
306	князя и	1	3
307	не есть	1	3
308	веру в	2	3
309	заставляет вспомнить	1	3
310	на этом	1	3
311	него есть	1	3
312	всяком случае	1	3
313	эти слова	1	3
314	идей и	1	3
315	и что	4	3
316	даже не	1	3
317	мертвого дома	2	3
318	году в	2	3
319	его как	1	3
320	и др	1	3
321	и юмор	1	3
322	писателя в	1	3
323	и особенно	1	3
324	вплоть до	1	3
325	а теперь	1	3
326	на западе	1	3
327	его с	1	3
328	до этого	1	3
329	заключается в	1	3
330	сей день	2	3
331	развития в	1	3
332	петр александрович	1	3
333	вряд ли	2	3
334	никто не	3	3
335	в стихах	1	3
336	не является	1	3
337	и если	1	3
338	самого автора	1	3
339	в образах	1	3
340	в письмах	2	3
341	и до	2	3
342	к людям	3	3
343	по сей	2	3
344	как мы	1	3
345	на этот	1	3
346	друг друга	2	3
347	известной мере	1	3
348	не выдерживает	1	3
349	что оно	1	3
350	свидетельствует о	1	3
351	и вот	1	3
352	он и	2	3
353	что с	3	3
354	части романа	1	3
355	сам достоевский	3	3
356	в русском	2	3
357	князь валковский	9	3
358	но уже	1	3
359	достоевский сделал	1	3
360	но достоевский	4	3
361	в ней	1	3
362	мы узнаем	1	3
363	а по	1	3
364	и их	1	3
365	с ее	3	3
366	несколько раз	1	3
367	в другом	1	3
368	лишь в	1	3
369	отношение к	2	3
370	к ней	1	3
371	самой своей	1	3
372	в ходе	2	3
373	моральный эстетизм	2	3
374	в неточке	2	3
375	этой связи	1	3
376	в области	1	3
377	это в	1	3
378	а я	5	3
379	протест против	1	2
380	доминантой характера	1	2
381	понял что	1	2
382	достоевский никогда	1	2
383	еще раз	2	2
384	прекрасное и	1	2
385	свою личную	1	2
386	он всегда	4	2
387	собственной личности	1	2
388	сам автор	1	2
389	в результате	1	2
390	отметим что	1	2
391	проникает в	1	2
392	вот что	1	2
393	и ненормальной	1	2
