N	3gram	Trubetskoy	TeoriaLi
1	в том что	16	10
2	по отношению к	11	10
3	в то же	2	8
4	то же время	2	8
5	с другой стороны	4	6
6	более или менее	8	6
7	состоит в том	1	6
8	не может быть	4	5
9	для того чтобы	7	5
10	так или иначе	5	5
11	в данном случае	3	5
12	одного и того	3	4
13	и того же	3	4
14	в свою очередь	2	3
15	с точки зрения	8	3
16	в том числе	1	3
17	тем не менее	4	3
18	в связи с	3	3
19	с одной стороны	2	3
20	тот или иной	1	3
21	в нашем случае	2	2
22	в данный момент	1	2
23	при этом что	2	2
24	этой точки зрения	1	2
25	с этой точки	1	2
26	как и в	2	2
27	в самом деле	5	2
28	и то же	1	2
29	одно и то	1	2
30	том числе и	1	2
31	а с другой	2	2
32	том что он	2	2
33	не только не	1	2
34	то ни было	3	2
35	к тому что	1	2
36	бы то ни	3	2
37	приводит к тому	1	2
38	может быть и	4	2
39	это имеет место	1	1
40	и в жизни	1	1
41	в том и	2	1
42	том случае если	4	1
43	все то что	1	1
44	то есть в	1	1
45	иметь в виду	1	1
46	никак не может	1	1
47	на задний план	1	1
48	в противоречие с	1	1
49	по крайней мере	1	1
50	заключается в том	3	1
51	не в состоянии	3	1
52	и другими людьми	1	1
53	о том что	4	1
54	есть как бы	1	1
55	заключает в себе	2	1
56	в себе и	1	1
57	не принадлежат к	1	1
58	в целом ряде	3	1
59	к одному из	1	1
60	таким же образом	2	1
61	художественное произведение и	1	1
62	друг от друга	6	1
63	в настоящее время	3	1
64	при этом не	1	1
65	но на деле	1	1
66	на одну из	1	1
67	в себе никаких	1	1
68	в том случае	4	1
69	начало и конец	4	1
70	дело в том	1	1
71	именно потому что	2	1
72	а между тем	8	1
73	а и в	7	1
74	в то время	2	1
75	в лучшем случае	1	1
76	в зависимости от	1	1
77	в его сознании	1	1
78	из того что	1	1
79	точно так же	1	1
80	так же как	3	1
81	в том или	1	1
82	в этом случае	4	1
83	во всей своей	1	1
84	а в том	1	1
85	к тому же	5	1
86	исходит из того	1	1
87	на первый взгляд	1	1
88	при этом у	1	1
89	то же самое	1	1
90	между тем в	1	1
91	та или иная	1	1
92	том или ином	1	1
93	между людьми поэтому	1	1
94	только то что	2	1
95	что входит в	1	1
96	таким образом и	1	1
97	является одним из	1	1
98	то что входит	1	1
99	со своей стороны	1	1
100	окружающей его природы	1	1
101	что несмотря на	2	1
102	в чистом виде	1	1
103	это было бы	1	1
