N	2gram	Vygotskiy_	PoTuStor
1	может быть	34	17
2	и в	55	16
3	таким образом	35	9
4	в этом	30	9
5	прежде всего	6	9
6	мы можем	8	9
7	и проч	2	9
8	и только	5	9
9	совершенно не	11	8
10	точки зрения	15	8
11	и с	3	8
12	к матери	1	8
13	не может	15	8
14	и его	10	8
15	не только	24	7
16	в сознание	1	7
17	сказать что	14	7
18	с его	6	7
19	и к	5	6
20	при этом	11	6
21	для него	5	6
22	самом деле	17	6
23	и это	13	6
24	в бессознательное	1	6
25	конечно не	3	6
26	с точки	5	6
27	по фрейду	1	5
28	что такое	2	5
29	ни в	5	5
30	все эти	5	5
31	только для	2	5
32	в чем	1	5
33	еще не	6	5
34	сознание и	1	5
35	как бы	33	5
36	отношение к	1	5
37	нуждается в	3	5
38	в него	5	5
39	а потому	1	4
40	все что	1	4
41	и на	12	4
42	так как	20	4
43	все это	8	4
44	в его	8	4
45	мысли и	1	4
46	так и	6	4
47	на самом	9	4
48	его в	2	4
49	и даже	4	4
50	и все	15	4
51	бессознательного и	1	4
52	с ними	1	4
53	только в	12	4
54	и не	19	4
55	но мы	4	4
56	можно сказать	4	4
57	с самого	5	4
58	но и	16	4
59	хотя бы	5	4
60	и может	3	4
61	и их	3	4
62	самого начала	5	4
63	в этой	15	4
64	как мы	6	4
65	в нем	13	4
66	с ее	1	4
67	в один	1	4
68	и ее	1	4
69	и наконец	5	4
70	но в	7	4
71	и вот	7	3
72	ребенка и	1	3
73	до сих	9	3
74	на язык	2	3
75	к себе	1	3
76	в том	50	3
77	мы знаем	4	3
78	полагаем что	1	3
79	те же	3	3
80	представлений и	1	3
81	на этой	1	3
82	между ними	2	3
83	в конечном	2	3
84	их в	4	3
85	отношения к	2	3
86	этом смысле	4	3
87	учение о	1	3
88	и как	10	3
89	что в	43	3
90	и она	1	3
91	и бессознательное	1	3
92	том что	46	3
93	вместе с	16	3
94	на этом	11	3
95	в этих	3	3
96	сравнению с	4	3
97	и оно	1	3
98	матери и	1	3
99	во всех	6	3
100	но оно	1	3
101	быть это	2	3
102	во всяком	2	3
103	и потому	8	3
104	в основе	9	3
105	по сравнению	4	3
106	по крайней	1	3
107	и теперь	2	3
108	как это	16	3
109	только на	4	3
110	в одном	5	3
111	и значение	1	3
112	даже не	1	3
113	чем не	2	3
114	а в	7	3
115	то что	69	3
116	на две	1	3
117	и др	2	3
118	могут быть	8	3
119	и есть	7	3
120	сих пор	9	3
121	жизни и	8	3
122	в области	2	3
123	чувств и	6	3
124	всяком случае	1	3
125	во время	4	3
126	крайней мере	1	3
127	едва ли	3	3
128	в самом	18	2
129	мы видим	13	2
130	что оно	12	2
131	и этот	2	2
132	это делает	3	2
133	и мы	28	2
134	к другим	2	2
135	на протяжении	2	2
136	они не	3	2
137	почти не	2	2
138	ненависть к	1	2
139	мы не	8	2
140	с этой	5	2
141	ни было	1	2
142	что это	15	2
143	ее в	2	2
144	и говорить	1	2
145	для нас	9	2
146	и этим	1	2
147	но как	3	2
148	что и	11	2
149	быть может	1	2
150	сводится к	7	2
151	у него	9	2
152	не на	1	2
153	не могут	4	2
154	в душе	2	2
155	в них	7	2
156	а на	1	2
157	поэтому и	1	2
158	и других	2	2
159	все то	6	2
160	чувства и	7	2
161	не знает	2	2
162	всех его	1	2
163	так называемый	1	2
164	эмоций и	5	2
165	что не	5	2
