N	3gram	Propp_Morf	Otkroven
1	для того чтобы	3	3
2	не могут быть	4	2
3	не может быть	9	2
4	это было бы	1	2
5	хотя и не	2	1
6	о том что	3	1
7	в том что	4	1
8	друг с другом	1	1
9	в том случае	3	1
10	действующих лиц в	3	1
11	в иных случаях	2	1
12	и действительно в	1	1
13	как и в	3	1
14	то что в	2	1
15	том случае если	2	1
16	а вовсе не	2	1
17	о его судьбе	1	1
18	во всяком случае	2	1
19	бросается в глаза	1	1
20	как бы в	1	1
21	вместо того чтобы	1	1
22	дается в форме	1	1
23	прежде всего и	1	1
24	о том как	2	1
25	в этом отношении	2	1
26	может быть сопоставлен	1	1
27	потому что в	1	1
28	на то что	3	1
29	и сразу же	1	1
30	после того как	1	1
31	друг к другу	2	1
