N	4gram	Vinokur_Vv	VLabPisa
1	в то же время	6	5
2	одном и том же	1	2
3	с одной стороны и	3	2
4	большей или меньшей степени	1	2
5	в том отношении что	3	2
6	хотя бы и не	1	2
7	в большей или меньшей	1	2
8	только в том что	1	1
9	с этой точки зрения	2	1
10	не следует понимать в	1	1
11	в том смысле что	1	1
12	с теми или иными	1	1
13	теснейшим образом связана с	1	1
14	на то или иное	1	1
15	в чем же заключается	1	1
16	следует понимать в том	1	1
17	может быть и речи	1	1
18	одно и то же	2	1
19	в одном и том	1	1
20	но вместе с тем	1	1
21	но с другой стороны	1	1
22	говоря уже о том	1	1
23	не могут не быть	1	1
24	в каждой из этих	1	1
25	в той или иной	1	1
26	них не было бы	1	1
27	но в то же	3	1
28	не может быть и	1	1
29	уже о том что	1	1
30	не говоря уже о	1	1
31	мы имеем дело с	1	1
32	ответ на этот вопрос	2	1
33	понимать в том смысле	1	1
34	и т д но	5	1
35	для того чтобы понять	3	1
36	в том или ином	2	1
