N	3gram	Trubetskoy	Russkaja
1	друг с другом	5	14
2	то же время	2	10
3	в то же	2	10
4	с точки зрения	6	9
5	в том что	3	7
6	во всяком случае	6	6
7	для того чтобы	5	6
8	а между тем	1	5
9	до сих пор	5	5
10	не может быть	1	4
11	на то что	2	4
12	более или менее	5	4
13	бы то ни	2	4
14	той или иной	2	3
15	в конце концов	3	3
16	вместе с тем	8	3
17	в данном случае	1	3
18	с тем чтобы	4	3
19	не может не	1	3
20	при таких условиях	1	3
21	тот факт что	1	2
22	в этом направлении	1	2
23	в значительной мере	2	2
24	точно так же	3	2
25	и смотреть на	1	2
26	о том что	4	2
27	для обеих сторон	1	2
28	а следовательно и	1	2
29	ни к чему	1	2
30	представителя данного народа	1	2
31	в настоящее время	1	2
32	из которых каждый	1	2
33	и вместе с	4	2
34	и в индии	1	1
35	таким образом при	1	1
36	но при этом	1	1
37	в самом деле	1	1
38	в силу этого	1	1
39	с внешней стороны	1	1
40	и при жизни	1	1
41	совершенно самостоятельные и	1	1
42	указывает на то	1	1
43	русской культуры в	1	1
44	но по существу	1	1
45	смысле этого слова	1	1
46	не только для	2	1
47	выполнению этой задачи	1	1
48	но в то	1	1
49	речь идет о	1	1
50	но и от	1	1
51	к чему не	1	1
52	всем существом своим	1	1
53	он сам уже	1	1
54	но для этого	1	1
55	том числе и	4	1
56	русского гения в	1	1
57	до известной степени	1	1
58	так же как	3	1
59	и только в	1	1
60	к богу и	1	1
61	что оно является	1	1
62	и таким образом	3	1
63	по отношению к	1	1
64	произведя коренной переворот	1	1
65	одной из этих	1	1
66	с другом не	1	1
67	в этом духе	2	1
68	этот выход из	1	1
69	не только от	1	1
70	данного национального целого	1	1
71	по крайней мере	5	1
72	в том виде	2	1
73	и на то	1	1
74	принципиально отличается от	1	1
75	а в том	1	1
76	с самого начала	2	1
77	предыдущего явствует что	1	1
78	стать во главе	1	1
79	всяком случае не	3	1
80	то ни было	2	1
81	и того же	1	1
82	что касается до	1	1
83	в своем целом	1	1
84	совершенно ясно что	1	1
85	заключает в себе	2	1
86	в связи с	3	1
87	то же самое	2	1
88	и все же	1	1
89	любви к богу	1	1
90	как видно из	1	1
91	при ближайшем рассмотрении	1	1
92	к богу не	1	1
93	лишь постольку поскольку	1	1
94	в том числе	5	1
95	тем не менее	3	1
96	но все же	4	1
97	несмотря на все	1	1
98	только то что	1	1
99	может смотреть на	1	1
100	между нами и	1	1
101	из предыдущего явствует	1	1
102	в этом отношении	2	1
103	потому что и	2	1
104	в свою очередь	1	1
105	гения в сокровищницу	1	1
106	важно то что	1	1
107	это и есть	1	1
108	ввести в заблуждение	1	1
109	в этой роли	1	1
110	это как не	1	1
111	но и для	2	1
112	что это как	1	1
113	состоит в том	1	1
114	к тому же	4	1
115	одного и того	1	1
116	и в этом	2	1
117	как бы то	2	1
118	друг к другу	1	1
