N	4gram	Vygotskiy_	OGranits
1	до тех пор пока	2	3
2	не что иное как	2	2
3	мы можем поставить вопрос	1	2
4	одно и то же	3	2
5	состоит в том что	2	1
6	с этой точки зрения	3	1
7	мы все же полагаем	1	1
8	него все то что	1	1
9	в каждом отдельном случае	1	1
10	в то же время	1	1
11	в том что в	2	1
12	с его точки зрения	1	1
13	из него все то	1	1
14	но мы все же	1	1
15	но может быть это	1	1
16	то что в этом	1	1
17	те же самые слова	1	1
18	в собственном смысле слова	2	1
19	один и тот же	1	1
20	собственном смысле слова и	1	1
21	к тому что он	2	1
