N	4gram	Ircho_Kome	EvropaiE
1	в то же время	5	14
2	с этой точки зрения	1	5
3	бы то ни было	4	4
4	так же как и	1	3
5	как бы то ни	1	1
6	в том случае если	1	1
7	в том числе и	1	1
8	одна и та же	1	1
9	как это имело место	1	1
10	в тех случаях когда	1	1
11	с другой стороны в	1	1
12	только в том случае	1	1
13	именно с этой точки	1	1
14	и насколько можно судить	1	1
15	в связи с этим	1	1
16	в то время как	6	1
17	не говоря уже о	4	1
18	что само по себе	1	1
19	и не только в	1	1
20	мы не находим в	1	1
21	то же время для	1	1
