N	4gram	Bakhtin_Pr	VLabPisa
1	в то же время	3	5
2	и в то же	2	3
3	с одной стороны и	1	2
4	и не может быть	1	2
5	не в том что	1	2
6	никогда не может быть	1	1
7	именно в том что	1	1
8	в том смысле что	1	1
9	иметь в виду что	1	1
10	отнюдь не может быть	1	1
11	не чем иным как	1	1
12	в художественном творчестве и	2	1
13	ни в какой мере	1	1
14	в романе война и	1	1
15	романе война и мир	1	1
16	прежде всего следует отметить	1	1
17	не может быть признана	1	1
18	всего следует отметить что	1	1
19	но в то же	1	1
20	в то время как	1	1
21	не говоря уже о	1	1
22	то же время она	1	1
23	мы имеем дело с	1	1
24	не может обойтись без	1	1
25	хотя бы и в	1	1
26	следует однако отметить что	1	1
