N	3gram	Voloshinov	Dialekti
1	с точки зрения	6	46
2	по крайней мере	3	26
3	в том что	1	25
4	не может быть	3	18
5	не что иное	1	18
6	что иное как	1	18
7	о том что	2	12
8	ничего не говорит	1	11
9	в самом деле	2	10
10	и в этом	2	9
11	подобно тому как	1	9
12	это и есть	1	9
13	и та же	1	8
14	одна и та	1	8
15	в этом смысле	3	8
16	можно сказать что	3	7
17	в связи с	1	7
18	той или иной	1	7
19	в коем случае	1	6
20	для того чтобы	1	6
21	ни в коем	1	6
22	и прежде всего	1	6
23	не нуждается в	2	6
24	во всяком случае	3	6
25	с одной стороны	1	6
26	на самом деле	4	5
27	по сравнению с	3	5
28	в нем нет	2	5
29	на первый план	1	5
30	в том смысле	1	5
31	до сих пор	3	5
32	есть прежде всего	1	5
33	и можно сказать	1	5
34	мы уже знаем	1	4
35	можем сказать что	1	4
36	ни в чем	3	4
37	с этой точки	1	4
38	так же как	2	4
39	но даже и	1	4
40	этой точки зрения	1	4
41	может быть только	1	4
42	в данном случае	1	4
43	то же самое	1	4
44	и может быть	2	4
45	есть в сущности	1	4
46	и ни в	1	4
47	связи с этим	1	4
48	мы можем сказать	2	4
49	можно было бы	1	4
50	не могут быть	2	4
51	в этом отношении	1	4
52	ничего общего не	1	3
53	же что и	1	3
54	одних и тех	1	3
55	и говорить о	1	3
56	бы то ни	1	3
57	и притом чисто	1	3
58	то что я	1	3
59	и в чем	1	3
60	и об его	1	3
61	и тех же	1	3
62	с самого начала	4	3
63	же как и	1	3
64	и с ними	1	2
65	все что угодно	1	2
66	с теми которые	1	2
67	и пр и	3	2
68	друг с другом	1	2
69	теперь мы должны	1	2
70	и не должна	1	2
71	нечего и говорить	2	2
72	в чем не	3	2
73	уже знаем что	1	2
74	но мы уже	1	2
75	так как он	1	2
76	и пр это	1	2
77	вместе с ним	1	2
78	как это было	1	2
79	как один из	1	2
80	не лучше ли	1	2
81	к отцу и	1	2
82	мы не можем	1	2
83	свой смысл и	1	2
84	дело в том	1	2
85	и пр в	1	2
86	на своем месте	1	2
87	на первый взгляд	1	2
88	и к ним	1	2
89	в нем и	1	2
90	в каком отношении	1	1
91	в этот момент	1	1
92	а это уже	1	1
93	или что оно	1	1
94	внешний мир в	1	1
95	в применении к	1	1
96	ли все это	1	1
97	еще не знает	1	1
98	вопрос можно ли	1	1
99	и вообще всего	1	1
100	свое отношение к	1	1
101	несводимы одна на	1	1
102	не говорит и	1	1
103	в философии и	1	1
104	нам в голову	1	1
105	сравнению с ней	1	1
106	из этих трех	1	1
107	мы еще не	1	1
108	всем мире и	1	1
109	реальности и в	1	1
110	говорить о том	1	1
111	на всю жизнь	1	1
112	рано или поздно	1	1
113	друг на друга	2	1
114	указать только на	1	1
115	случае не может	1	1
116	мы только и	1	1
117	то что можно	1	1
118	никаких сомнений в	1	1
119	не чем иным	1	1
120	и может совершенно	1	1
121	самом деле есть	1	1
122	сознания ни в	1	1
123	и таким образом	1	1
124	со всем его	1	1
125	как бы второе	1	1
126	что в них	1	1
127	чем иным как	1	1
128	то ни было	1	1
129	даже не на	1	1
130	на наших глазах	1	1
131	социального и исторического	2	1
132	в конечном счете	2	1
133	а с другой	1	1
134	он не был	1	1
135	нет никаких оснований	2	1
136	пр и пр	2	1
137	говорит и о	1	1
138	таким образом и	1	1
139	его жизни в	1	1
140	другими словами мы	1	1
141	нечто третье что	1	1
142	даже тогда когда	1	1
143	только одна из	1	1
144	а в конце	1	1
145	вместе с тем	1	1
146	как учение о	1	1
147	и даже более	1	1
148	и говорить об	1	1
149	может быть даже	1	1
150	и что он	1	1
151	со всеми его	1	1
152	имеем в виду	1	1
153	а иногда и	1	1
154	может быть очень	1	1
155	в свое время	1	1
156	в основе их	1	1
157	эти понятия и	1	1
158	что есть в	1	1
159	именно то что	1	1
160	в этом и	1	1
161	одна на другую	1	1
162	в себя и	1	1
163	зависит от того	1	1
164	нет ничего удивительного	1	1
165	уже не может	1	1
166	со всех сторон	1	1
167	а потом и	1	1
168	на этом моменте	1	1
169	полной самостоятельности и	1	1
170	очень плохо если	1	1
171	и вот она	1	1
172	а на самом	1	1
173	в глубине ее	1	1
174	sine qua non	1	1
175	сказать что эти	1	1
176	и к отцу	2	1
177	только для того	1	1
178	мы имеем в	1	1
179	а вместе с	1	1
180	однако сказать что	1	1
181	с ним и	1	1
182	конечно с точки	1	1
183	она может быть	1	1
184	это быть может	1	1
185	жизни и наконец	1	1
186	обратим внимание на	1	1
187	же самое и	1	1
