N	3gram	Nazirov_Tv	FransuaR
1	то же время	18	55
2	в то же	19	55
3	мы уже говорили	2	43
4	в том что	8	27
5	в том числе	1	27
6	до сих пор	1	27
7	но в то	5	20
8	том числе и	1	17
9	о том что	6	17
10	в связи с	2	16
11	нужно сказать что	1	14
12	в ту эпоху	2	14
13	и прежде всего	1	14
14	не может быть	2	13
15	дело в том	4	13
16	уже говорили что	1	13
17	с одной стороны	1	13
18	на самом деле	2	13
19	в известной мере	2	12
20	и в то	3	12
21	с другой стороны	2	12
22	в другом месте	1	12
23	в отличие от	2	11
24	можно сказать что	2	11
25	самом же деле	1	10
26	таким образом и	1	10
27	той или иной	1	10
28	как и в	2	10
29	на самом же	1	10
30	в данном случае	2	10
31	в конце концов	1	10
32	не только в	2	10
33	по отношению к	3	9
34	так и в	2	9
35	на протяжении всего	2	8
36	в мировой литературе	1	7
37	в самом деле	2	7
38	о том как	1	7
39	и в романе	1	7
40	в чем же	1	7
41	можно было бы	1	7
42	и в других	1	7
43	в своей книге	1	7
44	в настоящее время	1	7
45	в отрыве от	1	7
46	то есть о	1	6
47	к тому же	1	6
48	имеем в виду	1	6
49	это прежде всего	3	6
50	в xix веке	3	6
51	за то что	1	6
52	в свою очередь	2	6
53	это одна из	1	6
54	с самого начала	3	6
55	и в литературе	1	6
56	это как бы	3	5
57	в применении к	1	5
58	некоторые из них	1	5
59	то же самое	1	5
60	в одной из	4	5
61	со всеми его	1	5
62	но все это	1	5
63	мы имеем в	1	5
64	во всяком случае	2	5
65	все это в	1	5
66	в том же	3	5
67	на первом плане	2	5
68	только то что	1	5
69	это и есть	1	5
70	то что в	1	4
71	имеет в виду	1	4
72	том что в	3	4
73	в одном из	2	4
74	не только для	1	4
75	прежде всего на	1	4
76	на этот вопрос	2	4
77	в первой части	3	4
78	так же как	1	4
79	в нем и	1	4
80	в году в	3	4
81	так например в	1	4
82	это вовсе не	1	4
83	и не может	2	4
84	это уже не	2	4
85	и в самом	1	4
86	и как бы	1	3
87	здесь нет ни	1	3
88	он вовсе не	1	3
89	он видит в	1	3
90	у него в	1	3
91	не только с	1	3
92	и того же	1	3
93	уже говорили о	1	3
94	но это не	2	3
95	со всех сторон	1	3
96	вместе с тем	1	3
97	это своего рода	1	3
98	в целом ряде	1	3
99	как один из	1	3
100	все же не	1	3
101	является одним из	3	3
102	в ту же	1	3
103	что все это	3	3
104	целый ряд других	1	3
105	одного и того	1	3
106	именно потому что	1	3
107	те и другие	1	3
108	один из самых	1	3
109	а с другой	1	3
110	бы то ни	1	3
111	образом и в	1	3
112	и в том	1	3
113	и в этом	1	3
114	с одной из	1	3
115	в году и	1	3
116	заключается в том	1	3
117	не что иное	1	3
118	еще далеко не	1	3
119	и те и	1	3
120	что иное как	1	3
121	в предисловии к	1	3
122	нет и не	1	3
123	может быть в	1	2
124	как и всякая	1	2
125	святых и праведников	1	2
126	мы все время	1	2
127	и в другом	1	2
128	при этом что	1	2
129	как и его	1	2
130	в первый раз	1	2
131	и превращается в	1	2
132	но при этом	1	2
133	особое внимание на	1	2
134	друг за другом	1	2
135	в конце жизни	1	2
136	и далеко не	1	2
137	мы узнаем что	2	2
138	он в сущности	1	2
139	имел в виду	1	2
140	прежде всего его	1	2
141	то ни было	1	2
142	или во всяком	1	2
143	на другой день	1	2
144	и в ряде	1	2
145	в античной литературе	1	2
146	но он дает	1	2
147	не мог не	1	2
148	это связано с	1	2
149	в более широком	1	2
150	в литературе в	1	2
151	там же с	10	2
152	в г в	1	2
153	да и в	1	2
154	тесно связан с	1	2
155	именно в этом	1	2
156	но уже в	1	2
157	небесных светил и	1	2
158	рядом с ним	1	2
159	одним из древнейших	1	2
160	с самим собой	1	2
161	не могут быть	2	2
162	он говорит об	1	2
163	и как раз	1	2
164	он еще не	2	2
165	в конечном счете	4	2
166	время в его	1	2
167	к этой теме	1	2
168	так и от	1	2
169	и будущего в	1	2
170	мы знаем что	1	2
171	все более и	1	2
