N	2gram	Savitsky_E	Psycholo
1	то что	6	193
2	и в	37	190
3	в том	11	163
4	что в	21	123
5	потому что	3	114
6	том что	6	113
7	и что	2	108
8	может быть	6	107
9	таким образом	2	102
10	в этом	12	100
11	то есть	6	97
12	в самом	4	82
13	как бы	6	80
14	для того	6	78
15	того чтобы	6	78
16	не только	18	75
17	на то	6	73
18	и не	14	73
19	точки зрения	23	69
20	и т	1	69
21	не может	9	68
22	если мы	1	66
23	так же	9	63
24	так как	7	63
25	было бы	8	56
26	если бы	2	55
27	то же	15	54
28	о том	3	54
29	и мы	3	54
30	при этом	1	52
31	как и	7	51
32	что и	3	50
33	а не	2	50
34	что это	2	49
35	сказать что	4	46
36	по себе	4	46
37	только в	9	46
38	заключается в	2	46
39	к тому	8	45
40	не в	5	45
41	в этой	2	43
42	никогда не	3	42
43	и все	2	42
44	вместе с	2	41
45	как это	4	40
46	но и	14	40
47	с и	10	40
48	при помощи	2	39
49	того что	7	39
50	и это	1	37
51	мы видим	2	37
52	и как	2	36
53	с тем	3	35
54	вовсе не	6	34
55	как на	3	34
56	и если	2	34
57	и его	1	34
58	тому что	1	33
59	все же	1	33
60	что все	2	33
61	когда он	3	33
62	в себе	9	32
63	он не	2	31
64	мы не	4	31
65	в его	2	31
66	для нас	4	31
67	в ней	4	31
68	мы увидим	1	30
69	как будто	2	30
70	как в	3	30
71	с одной	8	29
72	и для	3	29
73	одной стороны	8	29
74	с точки	17	29
75	в нем	1	29
76	увидим что	1	28
77	и когда	1	28
78	мы можем	3	28
79	и то	2	28
80	что мы	1	28
81	в своих	2	27
82	в основе	1	27
83	и на	6	27
84	а в	2	27
85	с другой	7	27
86	жизни и	2	25
87	с таким	1	24
88	тем что	3	24
89	в своем	14	23
90	один из	1	23
91	что если	2	23
92	целый ряд	2	23
93	что оно	1	23
94	для этого	1	23
95	могут быть	2	23
96	казалось бы	1	22
97	с этим	2	22
98	из них	3	22
99	между тем	8	22
100	и даже	6	22
101	когда мы	1	22
102	т д	1	22
103	в котором	2	21
104	в двух	1	21
105	в которых	3	21
106	той же	1	21
107	в своей	8	21
