N	4gram	Tiupa_Hudo	StatiiOP
1	дело в том что	1	9
2	в то же время	11	9
3	заключается в том что	1	6
4	в том что в	1	4
5	и в самом деле	4	3
6	не имеет ничего общего	1	3
7	в том что он	1	3
8	имеет ничего общего с	1	3
9	и в этом случае	1	2
10	состоит в том что	3	2
11	в том что она	1	2
12	связано с тем что	1	2
13	в том числе и	1	2
14	и в то же	2	2
15	одних и тех же	2	2
16	о том что в	3	2
17	том что он не	1	2
18	но в то же	3	2
19	но с другой стороны	1	2
20	все более и более	1	2
21	и в этом смысле	1	2
22	не в том что	1	2
23	и в этом отношении	1	2
24	что он не знает	1	1
25	до сих пор еще	1	1
26	во что бы то	1	1
27	том смысле как мы	1	1
28	не потому что он	1	1
29	и о том что	2	1
30	в том смысле как	1	1
31	не только потому что	1	1
32	как в классической трагедии	1	1
33	только в том случае	1	1
34	не требует особых доказательств	1	1
35	с этой точки зрения	1	1
36	можно было бы подумать	1	1
37	что бы то ни	1	1
38	в связи с этим	2	1
39	ответить на вопрос что	1	1
40	только в том что	3	1
41	в самом деле не	1	1
42	не только в том	2	1
43	о том что я	1	1
44	в самом деле в	1	1
45	и по отношению к	1	1
46	в одном из них	1	1
47	не укладывается в рамки	1	1
48	дело не только в	2	1
49	и тот и другой	1	1
50	здесь речь идет о	1	1
51	то же время не	1	1
52	и т п по	1	1
53	это в равной мере	1	1
54	бы то ни стало	1	1
55	приводит к тому что	2	1
56	так же как и	1	1
57	можно судить по его	1	1
58	так или иначе в	1	1
59	мы имеем дело с	1	1
60	в течение всей жизни	1	1
61	точно так же как	1	1
