N	2gram	Medvedev_V	Poddanst
1	и в	2	14
2	и не	1	12
3	в этом	1	10
4	в том	2	9
5	то же	1	9
6	хотя бы	1	8
7	только в	1	7
8	в которых	1	5
9	том что	2	4
10	потому что	1	3
11	сводится к	1	3
12	столь же	1	3
13	более чем	1	2
14	время в	1	2
15	в значительной	1	2
16	не будем	1	2
17	в частности	1	2
18	все это	1	2
19	для них	1	2
20	к чему	1	2
21	главным образом	1	2
22	именно в	1	2
23	с о	1	2
24	да и	1	2
25	тем более	1	2
26	чем к	1	1
27	ни к	1	1
28	и то	1	1
29	в самом	1	1
30	одно и	1	1
31	на заре	1	1
32	далеко не	1	1
33	ясно что	1	1
34	это способно	1	1
35	от многих	1	1
36	и только	1	1
37	гораздо более	1	1
38	совершенно ясно	1	1
