N	3gram	Medvedev_F	EvropaiC
1	в том что	3	16
2	до сих пор	7	15
3	по отношению к	4	11
4	с точки зрения	17	8
5	более или менее	7	8
6	для того чтобы	3	7
7	мы знаем что	1	7
8	на самом деле	7	7
9	друг от друга	2	6
10	что касается до	1	6
11	лишь в том	1	5
12	по сравнению с	1	5
13	в самом деле	5	5
14	так или иначе	1	5
15	не может быть	11	4
16	тем не менее	2	4
17	с другой стороны	4	4
18	в своем развитии	1	4
19	в том случае	2	4
20	в конце концов	2	4
21	в этом случае	1	4
22	том случае если	1	4
23	в этой области	1	4
24	может быть и	4	4
25	вместе с тем	5	3
26	заключается в том	1	3
27	в целом ряде	2	3
28	в настоящее время	11	3
29	таким образом в	1	3
30	все же не	1	3
31	так же как	1	3
32	то ни было	1	3
33	в данном случае	2	3
34	не может не	1	3
35	в связи с	9	3
36	бы то ни	4	3
37	в том и	1	2
38	в свою очередь	6	2
39	так и для	1	2
40	но вместе с	1	2
41	во всяком случае	6	2
42	и может быть	1	2
43	во всех этих	1	2
44	каждый из этих	1	2
45	что же касается	1	2
46	как и в	1	2
47	в то же	13	2
48	ничего общего с	2	2
49	как и все	2	2
50	между этими двумя	2	2
51	что при таких	1	2
52	в высшей степени	4	2
53	но все же	2	2
54	только то что	1	2
55	в своем целом	2	2
56	с одной стороны	5	2
57	то же время	13	2
58	и в том	1	2
59	может показаться что	1	1
60	и в сознании	1	1
61	таким образом мы	1	1
62	широком смысле слова	1	1
63	все то что	1	1
64	которого они так	1	1
65	бы при этом	1	1
66	по этому поводу	1	1
67	мы уже знаем	1	1
68	становится как бы	1	1
69	на своем пути	1	1
70	мы видим что	1	1
71	та или иная	1	1
72	как мы знаем	2	1
73	по крайней мере	1	1
74	социальная жизнь и	1	1
75	и в дальнейшем	1	1
76	это не так	1	1
77	этой точки зрения	1	1
78	и для другой	1	1
79	том или ином	1	1
80	еще далеко не	1	1
81	с этой точки	1	1
82	так и от	1	1
83	это может быть	1	1
84	но и ко	1	1
85	в общих чертах	1	1
86	в том числе	1	1
87	быть и не	2	1
88	только в том	1	1
89	что в данном	1	1
90	социальной жизни и	3	1
91	не в том	3	1
92	только с точки	1	1
93	для другой стороны	1	1
94	при этом не	2	1
95	с лица земли	1	1
96	но и с	2	1
97	вместе с ними	1	1
98	той так и	1	1
99	до тех пор	1	1
100	к дальнейшему развитию	1	1
101	как для той	1	1
102	как в его	1	1
103	состоит в том	1	1
104	как общее правило	1	1
105	может быть вполне	1	1
106	говоря уже о	1	1
107	не говоря уже	1	1
108	и культуры в	1	1
109	и некоторые другие	1	1
110	но при этом	1	1
111	в самом широком	1	1
112	и в конце	1	1
113	и до сих	2	1
114	и в в	1	1
115	и с точки	1	1
116	в других областях	1	1
117	иметь в виду	1	1
118	смысле этого слова	4	1
119	не тем что	1	1
120	в этом пункте	4	1
121	в лучшем случае	3	1
122	как мы видели	5	1
123	в зависимости от	4	1
124	между тем как	1	1
125	элементов входящих в	1	1
126	с тем и	2	1
127	в то что	1	1
128	таким образом оказывается	1	1
129	но для этого	1	1
130	том числе и	1	1
131	и от всех	1	1
132	все эти вопросы	1	1
133	это по существу	1	1
134	как бы ни	3	1
135	в том или	1	1
136	и в нашем	1	1
137	не менее в	1	1
138	что они не	1	1
139	с самого начала	2	1
140	они вовсе не	1	1
141	но из всего	1	1
142	но самые эти	1	1
143	самом деле ведь	1	1
144	не только не	2	1
145	хотя бы в	4	1
146	может быть признана	1	1
147	уже знаем что	1	1
148	все-таки не в	1	1
149	во всех их	1	1
150	из этих элементов	1	1
151	в широком смысле	2	1
152	науки в частности	1	1
153	между тем в	1	1
154	для той так	1	1
155	и сам он	1	1
156	по этому вопросу	1	1
157	в самой природе	1	1
158	к тому что	3	1
159	вместо того чтобы	1	1
160	не только с	1	1
161	из того что	1	1
162	от нее и	1	1
163	является одним из	1	1
164	ко всем вообще	1	1
165	нет и не	2	1
166	тот или иной	1	1
167	и ко всем	1	1
168	по тем же	1	1
169	и не может	5	1
170	в этом последнем	1	1
171	именно в том	2	1
